Title,Stock Number,Price,Dia. (mm),Dimensions (mm),Dimensional Tolerance (mm),Cut-On Wavelength (nm),Reflection Wavelength (nm),Transmission Wavelength (nm),Thickness (mm),Thickness Tolerance (mm),Wavelength Range (nm),Wavelength Range (?m),AOI (°),Coating,Substrate,Reflection (%),Surface Quality,Transmission (%),Type,Transmitted Wavefront Tolerance,Cut-On Tolerance (%),Slope Factor (%)
"600nm, 25.2 x 35.6mm, Dichroic Longpass Filter ",69-901,$135,,25.2 x 35.6 ,+0.0/-0.1 ,600 ,460 - 570 ,625 - 1600 ,1.05 ,±0.05 ,460 - 1600 ,0.46 - 1.6 ,45 ,Hard Coated ,Fused Silica ,">97, Average Polarization   >95, Absolute Polarization ",40-20 ,">85, Average Polarization  >80, Absolute Polarization ",Longpass Filter ,?/4 ,±2 ,3.00 
"650nm, 25.2 x 35.6mm, Dichroic Longpass Filter",69-902,$135,,25.2 x 35.6 ,+0.0/-0.1 ,650 ,495 - 610 ,675 - 1600 ,1.05 ,±0.05 ,495 - 1600 ,0.495 - 1.6 ,45 ,Hard Coated ,Fused Silica ,">97, Average Polarization   >95, Absolute Polarization ",40-20 ,">85, Average Polarization  >80, Absolute Polarization ",Longpass Filter ,?/4 ,±2 ,3.00 
"700nm, 25.2 x 35.6mm, Dichroic Longpass Filter",69-903,$135,,25.2 x 35.6 ,+0.0/-0.1 ,700 ,535 - 660 ,725 - 1600 ,1.05 ,±0.05 ,535 - 1600 ,0.535 - 1.6 ,45 ,Hard Coated ,Fused Silica ,">97, Average Polarization   >95, Absolute Polarization ",40-20 ,">85, Average Polarization  >80, Absolute Polarization ",Longpass Filter ,?/4 ,±2 ,3.00 
"750nm, 25.2 x 35.6mm, Dichroic Longpass Filter",69-904,$135,,25.2 x 35.6 ,+0.0/-0.1 ,750 ,565 - 715 ,780 - 1600 ,1.05 ,±0.05 ,565 - 1600 ,0.565 - 1.6 ,45 ,Hard Coated ,Fused Silica ,">97, Average Polarization   >95, Absolute Polarization ",40-20 ,">85, Average Polarization  >80, Absolute Polarization ",Longpass Filter ,?/4 ,±2 ,3.00 
"800nm, 25.2 x 35.6mm, Dichroic Longpass Filter ",69-905,$135,,25.2 x 35.6 ,+0.0/-0.1 ,800 ,600 - 760 ,830 - 1600 ,1.05 ,±0.05 ,600 - 1600 ,0.6 - 1.6 ,45 ,Hard Coated ,Fused Silica ,">97, Average Polarization   >95, Absolute Polarization ",40-20 ,">85, Average Polarization  >80, Absolute Polarization ",Longpass Filter ,?/4 ,±2 ,3.00 
"850nm, 25.2 x 35.6mm, Dichroic Longpass Filter ",69-906,$135,,25.2 x 35.6 ,+0.0/-0.1 ,850 ,635 - 805 ,880 - 1600 ,1.05 ,±0.05 ,635 - 1600 ,0.635 - 1.6 ,45 ,Hard Coated ,Fused Silica ,">97, Average Polarization   >95, Absolute Polarization ",40-20 ,">85, Average Polarization  >80, Absolute Polarization ",Longpass Filter ,?/4 ,±2 ,3.00 
"900nm, 25.2 x 35.6mm, Dichroic Longpass Filter ",69-907,$135,,25.2 x 35.6 ,+0.0/-0.1 ,900 ,675 - 855 ,935 - 1600 ,1.05 ,±0.05 ,675 - 1600 ,0.675 - 1.6 ,45 ,Hard Coated ,Fused Silica ,">97, Average Polarization   >95, Absolute Polarization ",40-20 ,">85, Average Polarization  >80, Absolute Polarization ",Longpass Filter ,?/4 ,±2 ,3.00 
"950nm, 12.5mm Diameter, Dichroic Longpass Filter",87-027,$99,12.50 +0.0/-0.1,,+0.0/-0.1 ,950 ,715 - 900 ,985 - 1600 ,1.05 ,±0.05 ,715 - 1600 ,0.715 - 1.6 ,45 ,Hard Coated ,Fused Silica ,">97, Average Polarization   >95, Absolute Polarization ",40-20 ,">85, Average Polarization  >80, Absolute Polarization ",Longpass Filter ,?/4 ,±2 ,3.00 
"1000nm, 12.5mm Diameter, Dichroic Longpass Filter",87-028,$99,12.50 +0.0/-0.1,,+0.0/-0.1 ,1000 ,750 - 950 ,1035 - 1600 ,1.05 ,±0.05 ,750 - 1600 ,0.75 - 1.6 ,45 ,Hard Coated ,Fused Silica ,">97, Average Polarization   >95, Absolute Polarization ",40-20 ,">85, Average Polarization  >80, Absolute Polarization ",Longpass Filter ,?/4 ,±2 ,3.00 
"1050nm, 12.5mm Diameter, Dichroic Longpass Filter",87-029,$99,12.50 +0.0/-0.1,,+0.0/-0.1 ,1050 ,790 - 1000 ,1085 - 1600 ,1.05 ,±0.05 ,790 - 1600 ,0.79 - 1.6 ,45 ,Hard Coated ,Fused Silica ,">97, Average Polarization   >95, Absolute Polarization ",40-20 ,">85, Average Polarization  >80, Absolute Polarization ",Longpass Filter ,?/4 ,±2 ,3.00 
