Title,Stock Number,Price,Dia. (mm),CWL (nm),FWHM (nm),Transmission (%),Blocking Wavelength Range (nm),Compatible Fluorophore,Bandwidth (nm),Optical Density OD,CA (mm),Surface Quality,AOI (°),AOI Tolerance (°),Coating,Manufacturer,Mount Thickness (mm),OD 5 Blocking Wavelength Range (nm) ,OD 6 Blocking Wavelength Range (nm),Substrate,Thickness Tolerance (mm),"Transmitted Wavefront, RMS",Type
"624nm CWL, 50mm Dia, 40nm Bandwidth, OD 6 Fluorescence Filter",67-049,$675,50.00 +0.00/-0.10,624 ,46.00 ,93.00 ,250 - 1100 ,Texas Red Emission / Cy5 Excitation ,40.00 ,?6.0 ,45.0 ,60-40 ,0.00 ,±5.0 ,Hard Coated ,EO ,3.5 ,,445 - 595 & 663 - 818 ,UV Grade Fused Silica ,±0.1 ,?/4 ,Bandpass Filter 
"625nm CWL, 12.5mm Dia, 15nm Bandwidth, OD 6 Fluorescence Filter",86-346,$195,12.50 +0.00/-0.10,625 ,25.00 ,>93 ,250 - 1100 ,Qdot® 625 Emission ,15.00 ,?6.0 ,8.8 ,60-40 ,0.00 ,±5.0 ,Hard Coated ,EO ,3.5 ,,403 - 455 ,UV Grade Fused Silica ,±0.1 ,?/4 ,Bandpass Filter 
"625nm CWL, 25mm Dia, 15nm Bandwidth, OD 6 Fluorescence Filter",86-357,$260,25.00 +0.00/-0.10,625 ,25.00 ,>93 ,250 - 1100 ,Qdot® 625 Emission ,15.00 ,?6.0 ,22.0 ,60-40 ,0.00 ,±5.0 ,Hard Coated ,EO ,3.5 ,,403 - 455 ,UV Grade Fused Silica ,±0.1 ,?/4 ,Bandpass Filter 
"625nm CWL, 50mm Dia, 15nm Bandwidth, OD 6 Fluorescence Filter",86-368,$675,50.00 +0.00/-0.10,625 ,25.00 ,>93 ,250 - 1100 ,Qdot® 625 Emission ,15.00 ,?6.0 ,45.0 ,60-40 ,0.00 ,±5.0 ,Hard Coated ,EO ,3.5 ,,403 - 455 ,UV Grade Fused Silica ,±0.1 ,?/4 ,Bandpass Filter 
"628nm CWL, 12.5mm Dia, 32nm Bandwidth, OD 6 Fluorescence Filter",84-087,$195,12.50 +0.00/-0.10,628 ,38.00 ,93.00 ,250 - 1100 ,SpectrumRed™ Emission / Cy5 Excitation ,32.00 ,?6.0 ,8.8 ,60-40 ,0.00 ,±5.0 ,Hard Coated ,EO ,3.5 ,,250 - 598 & 659 - 925 ,UV Grade Fused Silica ,±0.1 ,?/4 ,Bandpass Filter 
"628nm CWL, 25mm Dia, 32nm Bandwidth, OD 6 Fluorescence Filter",84-103,$260,25.00 +0.00/-0.10,628 ,38.00 ,93.00 ,250 - 1100 ,SpectrumRed™ Emission / Cy5 Excitation ,32.00 ,?6.0 ,22.0 ,60-40 ,0.00 ,±5.0 ,Hard Coated ,EO ,3.5 ,,250 - 598 & 659 - 925 ,UV Grade Fused Silica ,±0.1 ,?/4 ,Bandpass Filter 
"628nm CWL, 50mm Dia, 32nm Bandwidth, OD 6 Fluorescence Filter",84-119,$675,50.00 +0.00/-0.10,628 ,38.00 ,93.00 ,250 - 1100 ,SpectrumRed™ Emission / Cy5 Excitation ,32.00 ,?6.0 ,45.0 ,60-40 ,0.00 ,±5.0 ,Hard Coated ,EO ,3.5 ,,250 - 598 & 659 - 925 ,UV Grade Fused Silica ,±0.1 ,?/4 ,Bandpass Filter 
"631nm CWL, 12.5mm Dia, 21nm Bandwidth, OD 6 Fluorescence Filter",33-326,$195,12.50 +0.00/-0.10,631 ,28.00 ,93.00 ,250 - 1100 ,Alexa Fluor® 633 Excitation ,21.00 ,?6.0 ,8.8 ,60-40 ,0.00 ,±5.0 ,Hard Coated ,EO ,3.5 ,652 - 699 & 800 - 925 ,300 - 597 & 699 - 800 ,UV Grade Fused Silica ,±0.1 ,?/4 ,Bandpass Filter 
"631nm CWL, 25mm Dia, 21nm Bandwidth, OD 6 Fluorescence Filter",33-327,$260,25.00 +0.00/-0.10,631 ,28.00 ,93.00 ,250 - 1100 ,Alexa Fluor® 633 Excitation ,21.00 ,?6.0 ,22.0 ,60-40 ,0.00 ,±5.0 ,Hard Coated ,EO ,3.5 ,652 - 699 & 800 - 925 ,300 - 597 & 699 - 800 ,UV Grade Fused Silica ,±0.1 ,?/4 ,Bandpass Filter 
"631nm CWL, 50mm Dia, 21nm Bandwidth, OD 6 Fluorescence Filter",33-328,$675,50.00 +0.00/-0.10,631 ,28.00 ,93.00 ,250 - 1100 ,Alexa Fluor® 633 Excitation ,21.00 ,?6.0 ,45.0 ,60-40 ,0.00 ,±5.0 ,Hard Coated ,EO ,3.5 ,652 - 699 & 800 - 925 ,300 - 597 & 699 - 800 ,UV Grade Fused Silica ,±0.1 ,?/4 ,Bandpass Filter 
