Title,Stock Number,Price,Dia. (mm),CWL (nm),FWHM (nm),Transmission (%),Blocking Wavelength Range (nm),Compatible Fluorophore,Bandwidth (nm),Optical Density OD,CA (mm),Surface Quality,AOI (°),AOI Tolerance (°),Coating,Manufacturer,Mount Thickness (mm),OD 5 Blocking Wavelength Range (nm) ,OD 6 Blocking Wavelength Range (nm),Substrate,Thickness Tolerance (mm),"Transmitted Wavefront, RMS",Type
"710nm CWL, 25mm Dia, 40nm Bandwidth, OD 6 Fluorescence Filter",84-104,$260,25.00 +0.00/-0.10,710 ,47.00 ,93.00 ,250 - 1100 ,Cy7 Excitation ,40.00 ,?6.0 ,22.0 ,60-40 ,0.00 ,±5.0 ,Hard Coated ,EO ,3.5 ,,250 - 666 & 745 - 940 ,UV Grade Fused Silica ,±0.1 ,?/4 ,Bandpass Filter 
"710nm CWL, 50mm Dia, 40nm Bandwidth, OD 6 Fluorescence Filter",84-120,$675,50.00 +0.00/-0.10,710 ,47.00 ,93.00 ,250 - 1100 ,Cy7 Excitation ,40.00 ,?6.0 ,45.0 ,60-40 ,0.00 ,±5.0 ,Hard Coated ,EO ,3.5 ,,250 - 666 & 745 - 940 ,UV Grade Fused Silica ,±0.1 ,?/4 ,Bandpass Filter 
"716nm CWL, 12.5mm Dia, 40nm Bandwidth, OD 6 Fluorescence Filter",67-025,$195,12.50 +0.00/-0.10,716 ,47.00 ,93.00 ,250 - 1100 ,Cy5 Emission ,40.00 ,?6.0 ,8.8 ,60-40 ,0.00 ,±5.0 ,Hard Coated ,EO ,3.5 ,,535 - 682 & 758 - 900 ,UV Grade Fused Silica ,±0.1 ,?/4 ,Bandpass Filter 
"716nm CWL, 25mm Dia, 40nm Bandwidth, OD 6 Fluorescence Filter",67-039,$260,25.00 +0.00/-0.10,716 ,47.00 ,93.00 ,250 - 1100 ,Cy5 Emission ,40.00 ,?6.0 ,22.0 ,60-40 ,0.00 ,±5.0 ,Hard Coated ,EO ,3.5 ,,535 - 682 & 758 - 900 ,UV Grade Fused Silica ,±0.1 ,?/4 ,Bandpass Filter 
"716nm CWL, 50mm Dia, 40nm Bandwidth, OD 6 Fluorescence Filter",67-053,$675,50.00 +0.00/-0.10,716 ,47.00 ,93.00 ,250 - 1100 ,Cy5 Emission ,40.00 ,?6.0 ,45.0 ,60-40 ,0.00 ,±5.0 ,Hard Coated ,EO ,3.5 ,,535 - 682 & 758 - 900 ,UV Grade Fused Silica ,±0.1 ,?/4 ,Bandpass Filter 
"732nm CWL, 12.5mm Dia, 68nm Bandwidth, OD 6 Fluorescence Filter",87-744,$195,12.50 +0.00/-0.10,732 ,76.00 ,93.00 ,250 - 1100 ,Cy7 Excitation / DY-732 Excitation ,68.00 ,?6.0 ,8.8 ,60-40 ,0.00 ,±5.0 ,Hard Coated ,EO ,3.5 ,,300 - 683 & 795 - 1100 ,UV Grade Fused Silica ,±0.1 ,?/4 ,Bandpass Filter 
"732nm CWL, 25mm Dia, 68nm Bandwidth, OD 6 Fluorescence Filter",87-758,$260,25.00 +0.00/-0.10,732 ,76.00 ,93.00 ,250 - 1100 ,Cy7 Excitation / DY-732 Excitation ,68.00 ,?6.0 ,22.00 ,60-40 ,0.00 ,±5.0 ,Hard Coated ,EO ,3.5 ,,300 - 683 & 795 - 1100 ,UV Grade Fused Silica ,±0.1 ,?/4 ,Bandpass Filter 
"732nm CWL, 50mm Dia, 68nm Bandwidth, OD 6 Fluorescence Filter",87-772,$675,50.00 +0.00/-0.10,732 ,76.00 ,93.00 ,250 - 1100 ,Cy7 Excitation / DY-732 Excitation ,68.00 ,?6.0 ,45.00 ,60-40 ,0.00 ,±5.0 ,Hard Coated ,EO ,3.5 ,,300 - 683 & 795 - 1100 ,UV Grade Fused Silica ,±0.1 ,?/4 ,Bandpass Filter 
"769nm CWL, 12.5mm Dia, 41nm Bandwidth, OD 6 Fluorescence Filter",84-089,$195,12.50 +0.00/-0.10,769 ,48.00 ,93.00 ,250 - 1100 ,ICG-A Excitation ,41.00 ,?6.0 ,8.8 ,60-40 ,0.00 ,±5.0 ,Hard Coated ,EO ,3.5 ,,250 - 724 & 808 - 1025 ,UV Grade Fused Silica ,±0.1 ,?/4 ,Bandpass Filter 
"769nm CWL, 25mm Dia, 41nm Bandwidth, OD 6 Fluorescence Filter",84-105,$260,25.00 +0.00/-0.10,769 ,48.00 ,93.00 ,250 - 1100 ,ICG-A Excitation ,41.00 ,?6.0 ,22.0 ,60-40 ,0.00 ,±5.0 ,Hard Coated ,EO ,3.5 ,,250 - 724 & 808 - 1025 ,UV Grade Fused Silica ,±0.1 ,?/4 ,Bandpass Filter 
"769nm CWL, 50mm Dia, 41nm Bandwidth, OD 6 Fluorescence Filter",84-121,$675,50.00 +0.00/-0.10,769 ,48.00 ,93.00 ,250 - 1100 ,ICG-A Excitation ,41.00 ,?6.0 ,45.0 ,60-40 ,0.00 ,±5.0 ,Hard Coated ,EO ,3.5 ,,250 - 724 & 808 - 1025 ,UV Grade Fused Silica ,±0.1 ,?/4 ,Bandpass Filter 
"775nm CWL, 12.5mm Dia, 46nm Bandwidth, OD 6 Fluorescence Filter",84-090,$195,12.50 +0.00/-0.10,775 ,54.00 ,93.00 ,250 - 1100 ,Cy7 Emission ,46.00 ,?6.0 ,8.8 ,60-40 ,0.00 ,±5.0 ,Hard Coated ,EO ,3.5 ,,"250 - 350, 550 - 737, & 837 - 975 ",UV Grade Fused Silica ,±0.1 ,?/4 ,Bandpass Filter 
"775nm CWL, 25mm Dia, 46nm Bandwidth, OD 6 Fluorescence Filter",84-106,$260,25.00 +0.00/-0.10,775 ,54.00 ,93.00 ,250 - 1100 ,Cy7 Excitation ,46.00 ,?6.0 ,22.0 ,60-40 ,0.00 ,±5.0 ,Hard Coated ,EO ,3.5 ,,"250 - 350, 550 - 737, & 837 - 975 ",UV Grade Fused Silica ,±0.1 ,?/4 ,Bandpass Filter 
"775nm CWL, 50mm Dia, 46nm Bandwidth, OD 6 Fluorescence Filter",84-122,$675,50.00 +0.00/-0.10,775 ,54.00 ,93.00 ,250 - 1100 ,Cy7 Excitation ,46.00 ,?6.0 ,45.0 ,60-40 ,0.00 ,±5.0 ,Hard Coated ,EO ,3.5 ,,"250 - 350, 550 - 737, & 837 - 975 ",UV Grade Fused Silica ,±0.1 ,?/4 ,Bandpass Filter 
"785nm CWL, 12.5mm Dia, 62nm Bandwidth, OD 6 Fluorescence Filter",87-745,$195,12.50 +0.00/-0.10,785 ,71.00 ,93.00 ,250 - 1100 ,Alexa Fluor® 790 Excitation / IRDye 800RS Emission ,62.00 ,?6.0 ,8.8 ,60-40 ,0.00 ,±5.0 ,Hard Coated ,EO ,3.5 ,,450 - 738 & 830 - 1050 ,UV Grade Fused Silica ,±0.1 ,?/4 ,Bandpass Filter 
"785nm CWL, 25mm Dia, 62nm Bandwidth, OD 6 Fluorescence Filter",87-759,$260,25.00 +0.00/-0.10,785 ,71.00 ,93.00 ,250 - 1100 ,Alexa Fluor® 790 Excitation / IRDye 800RS Emission ,62.00 ,?6.0 ,22.00 ,60-40 ,0.00 ,±5.0 ,Hard Coated ,EO ,3.5 ,,450 - 738 & 830 - 1050 ,UV Grade Fused Silica ,±0.1 ,?/4 ,Bandpass Filter 
"785nm CWL, 50mm Dia, 62nm Bandwidth, OD 6 Fluorescence Filter",87-773,$675,50.00 +0.00/-0.10,785 ,71.00 ,93.00 ,250 - 1100 ,Alexa Fluor® 790 Excitation / IRDye 800RS Emission ,62.00 ,?6.0 ,45.00 ,60-40 ,0.00 ,±5.0 ,Hard Coated ,EO ,3.5 ,,450 - 738 & 830 - 1050 ,UV Grade Fused Silica ,±0.1 ,?/4 ,Bandpass Filter 
"832nm CWL, 12.5mm Dia, 37nm Bandwidth, OD 6 Fluorescence Filter",84-091,$195,12.50 +0.00/-0.10,832 ,45.00 ,93.00 ,250 - 1100 ,ICG-A Excitation ,37.00 ,?6.0 ,8.8 ,60-40 ,0.00 ,±5.0 ,Hard Coated ,EO ,3.5 ,,550 - 794 & 878 - 1075 ,UV Grade Fused Silica ,±0.1 ,?/4 ,Bandpass Filter 
"832nm CWL, 25mm Dia, 37nm Bandwidth, OD 6 Fluorescence Filter",84-107,$260,25.00 +0.00/-0.10,832 ,45.00 ,93.00 ,250 - 1100 ,ICG-A Excitation ,37.00 ,?6.0 ,22.0 ,60-40 ,0.00 ,±5.0 ,Hard Coated ,EO ,3.5 ,,550 - 794 & 878 - 1075 ,UV Grade Fused Silica ,±0.1 ,?/4 ,Bandpass Filter 
"832nm CWL, 50mm Dia, 37nm Bandwidth, OD 6 Fluorescence Filter",84-123,$675,50.00 +0.00/-0.10,832 ,45.00 ,93.00 ,250 - 1100 ,ICG-A Excitation ,37.00 ,?6.0 ,45.0 ,60-40 ,0.00 ,±5.0 ,Hard Coated ,EO ,3.5 ,,550 - 794 & 878 - 1075 ,UV Grade Fused Silica ,±0.1 ,?/4 ,Bandpass Filter 
