Title,Stock Number,Price,AOI (°),Coating,Cut-Off Wavelength (nm),Dia. (mm),Substrate,Optical Density OD,Rejection Wavelength (nm),Surface Quality,Thickness (mm),Thickness Tolerance (mm),Transmission (%),Transmission Wavelength (nm),Type,CA (%),"Transmitted Wavefront, P-V",Slope Factor (%),Cut-Off Tolerance (%),Wavelength Range (nm)
"850nm 12.5mm Diameter, OD 2 Shortpass Filter",47-819,$89,0 ,Traditional Coated ,850.00 ,12.50 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,910 - 1110 ,40-20 ,1.50 ,±0.1 ,>85 ,400 - 820 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,400 - 1110 
"850nm 25mm Diameter, OD 2 Shortpass Filter",47-587,$125,0 ,Traditional Coated ,850.00 ,25.00 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,910 - 1110 ,40-20 ,3.00 ,±0.1 ,>85 ,400 - 820 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,400 - 1110 
"850nm 50mm Diameter, OD 2 Shortpass Filter",64-670,$195,0 ,Traditional Coated ,850.00 ,50.00 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,910 - 1110 ,40-20 ,5.00 ,±0.1 ,>85 ,400 - 820 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,400 - 1110 
"875nm 12.5mm Diameter, OD 2 Shortpass Filter",64-641,$89,0 ,Traditional Coated ,875.00 ,12.50 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,935 - 1135 ,40-20 ,1.50 ,±0.1 ,>85 ,425 - 845 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,425 - 1135 
"875nm 25mm Diameter, OD 2 Shortpass Filter",64-648,$125,0 ,Traditional Coated ,875.00 ,25.00 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,935 - 1135 ,40-20 ,3.00 ,±0.1 ,>85 ,425 - 845 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,425 - 1135 
"875nm 50mm Diameter, OD 2 Shortpass Filter",64-655,$195,0 ,Traditional Coated ,875.00 ,50.00 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,935 - 1135 ,40-20 ,5.00 ,±0.1 ,>85 ,425 - 845 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,425 - 1135 
"900nm 12.5mm Diameter, OD 2 Shortpass Filter",47-820,$89,0 ,Traditional Coated ,900.00 ,12.50 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,960 - 1170 ,40-20 ,1.50 ,±0.1 ,>85 ,425 - 865 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,425 - 1170 
"900nm 25mm Diameter, OD 2 Shortpass Filter",47-588,$125,0 ,Traditional Coated ,900.00 ,25.00 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,960 - 1170 ,40-20 ,3.00 ,±0.1 ,>85 ,425 - 865 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,425 - 1170 
"900nm 50mm Diameter, OD 2 Shortpass Filter",64-671,$195,0 ,Traditional Coated ,900.00 ,50.00 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,960 - 1170 ,40-20 ,5.00 ,±0.1 ,>85 ,425 - 865 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,425 - 1170 
"925nm 12.5mm Diameter, OD 2 Shortpass Filter",64-642,$89,0 ,Traditional Coated ,925.00 ,12.50 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,990 - 1200 ,40-20 ,1.50 ,±0.1 ,>85 ,450 - 890 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,450 - 1200 
"925nm 25mm Diameter, OD 2 Shortpass Filter",64-649,$125,0 ,Traditional Coated ,925.00 ,25.00 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,990 - 1200 ,40-20 ,3.00 ,±0.1 ,>85 ,450 - 890 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,450 - 1200 
"925nm 50mm Diameter, OD 2 Shortpass Filter",64-656,$195,0 ,Traditional Coated ,925.00 ,50.00 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,990 - 1200 ,40-20 ,5.00 ,±0.1 ,>85 ,450 - 890 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,450 - 1200 
"950nm 12.5mm Diameter, OD 2 Shortpass Filter",47-821,$89,0 ,Traditional Coated ,950.00 ,12.50 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,1025 - 1235 ,40-20 ,1.50 ,±0.1 ,>85 ,450 - 910 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,450 - 1235 
"950nm 25mm Diameter, OD 2 Shortpass Filter",47-589,$125,0 ,Traditional Coated ,950.00 ,25.00 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,1025 - 1235 ,40-20 ,3.00 ,±0.1 ,>85 ,450 - 910 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,450 - 1235 
"950nm 50mm Diameter, OD 2 Shortpass Filter",64-672,$195,0 ,Traditional Coated ,950.00 ,50.00 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,1025 - 1235 ,40-20 ,5.00 ,±0.1 ,>85 ,450 - 910 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,450 - 1235 
"975nm 12.5mm Diameter, OD 2 Shortpass Filter",64-643,$89,0 ,Traditional Coated ,975.00 ,12.50 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,1050 - 1265 ,40-20 ,1.50 ,±0.1 ,>85 ,450 - 935 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,450 - 1265 
"975nm 25mm Diameter, OD 2 Shortpass Filter",64-650,$125,0 ,Traditional Coated ,975.00 ,25.00 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,1050 - 1265 ,40-20 ,3.00 ,±0.1 ,>85 ,450 - 935 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,450 - 1265 
"975nm 50mm Diameter, OD 2 Shortpass Filter",64-657,$195,0 ,Traditional Coated ,975.00 ,50.00 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,1050 - 1265 ,40-20 ,5.00 ,±0.1 ,>85 ,450 - 935 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,450 - 1265 
"1000nm 12.5mm Diameter, OD 2 Shortpass Filter",47-822,$89,0 ,Traditional Coated ,1000.00 ,12.50 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,1085 - 1305 ,40-20 ,1.50 ,±0.1 ,>85 ,465 - 940 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,465 - 1305 
"1000nm 25mm Diameter, OD 2 Shortpass Filter",47-590,$125,0 ,Traditional Coated ,1000.00 ,25.00 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,1085 - 1305 ,40-20 ,3.00 ,±0.1 ,>85 ,465 - 940 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,465 - 1305 
"1000nm 50mm Diameter, OD 2 Shortpass Filter",64-673,$195,0 ,Traditional Coated ,1000.00 ,50.00 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,1085 - 1305 ,40-20 ,5.00 ,±0.1 ,>85 ,465 - 940 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,465 - 1305 
"1025nm 12.5mm Diameter, OD 2 Shortpass Filter",64-644,$89,0 ,Traditional Coated ,1025.00 ,12.50 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,1110 - 1340 ,40-20 ,1.50 ,±0.1 ,>85 ,475 - 975 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,475 - 1340 
"1025nm 25mm Diameter, OD 2 Shortpass Filter",64-651,$125,0 ,Traditional Coated ,1025.00 ,25.00 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,1110 - 1340 ,40-20 ,3.00 ,±0.1 ,>85 ,475 - 975 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,475 - 1340 
"1025nm 50mm Diameter, OD 2 Shortpass Filter",64-658,$195,0 ,Traditional Coated ,1025.00 ,50.00 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,1110 - 1340 ,40-20 ,5.00 ,±0.1 ,>85 ,475 - 975 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,475 - 1340 
"1050nm 12.5mm Diameter, OD 2 Shortpass Filter",47-823,$89,0 ,Traditional Coated ,1050.00 ,12.50 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,1130 - 1370 ,40-20 ,1.50 ,±0.1 ,>85 ,485 - 1000 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,485 - 1370 
