Title,Stock Number,Price,Dia. (mm),Dia. (inches),Dimensions (mm),Dimensions (inches),Dimensional Tolerance (mm),Thickness (mm),Coating,Color,Density (g/cm3),Substrate,Operating Temperature (°C),Index of Refraction nd,Transmission (%),Type,Abbe Number (vd)
"1"" Diameter, Optical Cast Plastic IR Longpass Filter",43-948,$10.5,25.40 ,1.00 ,,,±0.3 ,1.50 Nominal,Uncoated ,Black ,1.320 at 20°C ,Thermoset ADC (CR-39®) ,"100 Continuous, 130 One Hour Max ",1.501 @ 20°C ,>90 ,Longpass Filter ,57.00 
"1"" x 1"", Optical Cast Plastic IR Longpass Filter",43-952,$11.5,,,25.4 x 25.4 ,1 x 1 ,±0.3 ,1.50 Nominal,Uncoated ,Black ,1.320 at 20°C ,Thermoset ADC (CR-39®) ,"100 Continuous, 130 One Hour Max ",1.501 @ 20°C ,>90 ,Longpass Filter ,57.00 
"2"" Diameter, Optical Cast Plastic IR Longpass Filter",43-949,$13.5,50.80 ,2.00 ,,,±0.3 ,1.50 Nominal,Uncoated ,Black ,1.320 at 20°C ,Thermoset ADC (CR-39®) ,"100 Continuous, 130 One Hour Max ",1.501 @ 20°C ,>90 ,Longpass Filter ,57.00 
"2"" x 2"", Optical Cast Plastic IR Longpass Filter",43-953,$14.5,,,50.8 x 50.8 ,2 x 2 ,±0.3 ,1.50 Nominal,Uncoated ,Black ,1.320 at 20°C ,Thermoset ADC (CR-39®) ,"100 Continuous, 130 One Hour Max ",1.501 @ 20°C ,>90 ,Longpass Filter ,57.00 
"3"" Diameter, Optical Cast Plastic IR Longpass Filter",43-950,$16.5,76.20 ,3.00 ,,,±0.3 ,1.50 Nominal,Uncoated ,Black ,1.320 at 20°C ,Thermoset ADC (CR-39®) ,"100 Continuous, 130 One Hour Max ",1.501 @ 20°C ,>90 ,Longpass Filter ,57.00 
"4"" x 5"", Optical Cast Plastic IR Longpass Filter",43-954,$25.75,,,101.6 x 127.0 ,4 x 5 ,±0.3 ,1.50 Nominal,Uncoated ,Black ,1.320 at 20°C ,Thermoset ADC (CR-39®) ,"100 Continuous, 130 One Hour Max ",1.501 @ 20°C ,>90 ,Longpass Filter ,57.00 
"5.5"" Diameter, Optical Cast Plastic IR Longpass Filter",43-951,$38.5,139.70 ,5.5 ,,,±0.3 ,1.50 Nominal,Uncoated ,Black ,1.320 at 20°C ,Thermoset ADC (CR-39®) ,"100 Continuous, 130 One Hour Max ",1.501 @ 20°C ,>90 ,Longpass Filter ,57.00 
"5"" x 7"", Optical Cast Plastic IR Longpass Filter",46-620,$40,,,127.0 x 177.8 ,5 x 7 ,±0.3 ,1.50 Nominal,Uncoated ,Black ,1.320 at 20°C ,Thermoset ADC (CR-39®) ,"100 Continuous, 130 One Hour Max ",1.501 @ 20°C ,>90 ,Longpass Filter ,57.00 
"8"" x 10"", Optical Cast Plastic IR Longpass Filter",46-621,$97.5,,,203.2 x 254.0 ,8 x 10 ,±0.3 ,1.50 Nominal,Uncoated ,Black ,1.320 at 20°C ,Thermoset ADC (CR-39®) ,"100 Continuous, 130 One Hour Max ",1.501 @ 20°C ,>90 ,Longpass Filter ,57.00 
