Title,Stock Number,Price,AOI (°),Coating,Cut-Off Wavelength (nm),Dia. (mm),Substrate,Optical Density OD,Rejection Wavelength (nm),Surface Quality,Thickness (mm),Thickness Tolerance (mm),Transmission (%),Transmission Wavelength (nm),Type,CA (%),Durability,"Transmitted Wavefront, RMS",Slope Factor (%),Cut-Off Tolerance (%),Wavelength Range (nm),Manufacturer
"750nm 50mm Diameter, OD 4 Shortpass Filter",84-728,$450,0.00 ,Hard Coated ,750.00 ,50.00 +0.0/-0.2,UV Grade Fused Silica ,?4.0 ,775 - 1125 ,60-40 ,5.00 ,±0.1 ,?91 ,400 - 740 ,Shortpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,<1 ,±1 ,400 - 1125 ,EO 
"775nm 12.5mm Diameter, OD 4 Shortpass Filter",86-096,$150,0.00 ,Hard Coated ,775.00 ,12.50 +0.0/-0.2,UV Grade Fused Silica ,?4.0 ,795 - 1155 ,60-40 ,1.50 ,±0.1 ,?91 ,400 - 760 ,Shortpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,<1 ,±1 ,400 - 1155 ,EO 
"775nm 25mm Diameter, OD 4 Shortpass Filter",86-104,$220,0.00 ,Hard Coated ,775.00 ,25.00 +0.0/-0.2,UV Grade Fused Silica ,?4.0 ,795 - 1155 ,60-40 ,3.00 ,±0.1 ,?91 ,400 - 760 ,Shortpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,<1 ,±1 ,400 - 1155 ,EO 
"775nm 50mm Diameter, OD 4 Shortpass Filter",86-112,$450,0.00 ,Hard Coated ,775.00 ,50.00 +0.0/-0.2,UV Grade Fused Silica ,?4.0 ,795 - 1155 ,60-40 ,5.00 ,±0.1 ,?91 ,400 - 760 ,Shortpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,<1 ,±1 ,400 - 1155 ,EO 
"800nm 12.5mm Diameter, OD 4 Shortpass Filter",64-325,$150,0.00 ,Hard Coated ,800.00 ,12.50 +0.0/-0.2,UV Grade Fused Silica ,?4.0 ,825 - 1190 ,60-40 ,1.50 ,±0.1 ,?91 ,400 - 790 ,Shortpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,<1 ,±1 ,400 - 1190 ,EO 
"800nm 25mm Diameter, OD 4 Shortpass Filter",64-333,$220,0.00 ,Hard Coated ,800.00 ,25.00 +0.0/-0.2,UV Grade Fused Silica ,?4.0 ,825 - 1190 ,60-40 ,3.00 ,±0.1 ,?91 ,400 - 790 ,Shortpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,<1 ,±1 ,400 - 1190 ,EO 
"800nm 50mm Diameter, OD 4 Shortpass Filter",84-729,$450,0.00 ,Hard Coated ,800.00 ,50.00 +0.0/-0.2,UV Grade Fused Silica ,?4.0 ,825 - 1190 ,60-40 ,5.00 ,±0.1 ,?91 ,400 - 790 ,Shortpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,<1 ,±1 ,400 - 1119 ,EO 
"825nm 12.5mm Diameter, OD 4 Shortpass Filter",86-097,$150,0.00 ,Hard Coated ,825.00 ,12.50 +0.0/-0.2,UV Grade Fused Silica ,?4.0 ,850 - 1190 ,60-40 ,1.50 ,±0.1 ,?91 ,400 - 810 ,Shortpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,<1 ,±1 ,400 - 1190 ,EO 
"825nm 25mm Diameter, OD 4 Shortpass Filter",86-105,$220,0.00 ,Hard Coated ,825.00 ,25.00 +0.0/-0.2,UV Grade Fused Silica ,?4.0 ,850 - 1190 ,60-40 ,3.00 ,±0.1 ,?91 ,400 - 810 ,Shortpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,<1 ,±1 ,400 - 1190 ,EO 
"825nm 50mm Diameter, OD 4 Shortpass Filter",86-113,$450,0.00 ,Hard Coated ,825.00 ,50.00 +0.0/-0.2,UV Grade Fused Silica ,?4.0 ,850 - 1190 ,60-40 ,5.00 ,±0.1 ,?91 ,400 - 810 ,Shortpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,<1 ,±1 ,400 - 1119 ,EO 
"850nm 12.5mm Diameter, OD 4 Shortpass Filter",64-326,$150,0.00 ,Hard Coated ,850.00 ,12.50 +0.0/-0.2,UV Grade Fused Silica ,?4.0 ,880 - 1190 ,60-40 ,1.50 ,±0.1 ,?91 ,400 - 840 ,Shortpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,<1 ,±1 ,400 - 1190 ,EO 
"850nm 25mm Diameter, OD 4 Shortpass Filter",64-334,$220,0.00 ,Hard Coated ,850.00 ,25.00 +0.0/-0.2,UV Grade Fused Silica ,?4.0 ,880 - 1190 ,60-40 ,3.00 ,±0.1 ,?91 ,400 - 840 ,Shortpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,<1 ,±1 ,400 - 1190 ,EO 
"850nm 50mm Diameter, OD 4 Shortpass Filter",84-730,$450,0.00 ,Hard Coated ,850.00 ,50.00 +0.0/-0.2,UV Grade Fused Silica ,?4.0 ,880 - 1190 ,60-40 ,5.00 ,±0.1 ,?91 ,400 - 840 ,Shortpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,<1 ,±1 ,400 - 1119 ,EO 
"875nm 12.5mm Diameter, OD 4 Shortpass Filter",86-098,$150,0.00 ,Hard Coated ,875.00 ,12.50 +0.0/-0.2,UV Grade Fused Silica ,?4.0 ,905 - 1220 ,60-40 ,1.50 ,±0.1 ,?91 ,425 - 860 ,Shortpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,<1 ,±1 ,425 - 1220 ,EO 
"875nm 25mm Diameter, OD 4 Shortpass Filter",86-106,$220,0.00 ,Hard Coated ,875.00 ,25.00 +0.0/-0.2,UV Grade Fused Silica ,?4.0 ,905 - 1220 ,60-40 ,3.00 ,±0.1 ,?91 ,425 - 860 ,Shortpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,<1 ,±1 ,425 - 1220 ,EO 
"875nm 50mm Diameter, OD 4 Shortpass Filter",86-114,$450,0.00 ,Hard Coated ,875.00 ,50.00 +0.0/-0.2,UV Grade Fused Silica ,?4.0 ,905 - 1220 ,60-40 ,5.00 ,±0.1 ,?91 ,425 - 860 ,Shortpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,<1 ,±1 ,425 - 1220 ,EO 
"900nm 12.5mm Diameter, OD 4 Shortpass Filter",64-327,$150,0.00 ,Hard Coated ,900.00 ,12.50 +0.0/-0.2,UV Grade Fused Silica ,?4.0 ,930 - 1250 ,60-40 ,1.50 ,±0.1 ,?91 ,425 - 890 ,Shortpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,<1 ,±1 ,425 - 1250 ,EO 
"900nm 25mm Diameter, OD 4 Shortpass Filter",64-335,$220,0.00 ,Hard Coated ,900.00 ,25.00 +0.0/-0.2,UV Grade Fused Silica ,?4.0 ,930 - 1250 ,60-40 ,3.00 ,±0.1 ,?91 ,425 - 890 ,Shortpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,<1 ,±1 ,425 - 1250 ,EO 
"900nm 50mm Diameter, OD 4 Shortpass Filter",84-731,$450,0.00 ,Hard Coated ,900.00 ,50.00 +0.0/-0.2,UV Grade Fused Silica ,?4.0 ,930 - 1250 ,60-40 ,5.00 ,±0.1 ,?91 ,425 - 890 ,Shortpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,<1 ,±1 ,425 - 1250 ,EO 
"925nm 12.5mm Diameter, OD 4 Shortpass Filter",86-099,$150,0.00 ,Hard Coated ,925.00 ,12.50 +0.0/-0.2,UV Grade Fused Silica ,?4.0 ,955 - 1290 ,60-40 ,1.50 ,±0.1 ,?91 ,445 - 910 ,Shortpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,<1 ,±1 ,445 - 1290 ,EO 
"925nm 25mm Diameter, OD 4 Shortpass Filter",86-107,$220,0.00 ,Hard Coated ,925.00 ,25.00 +0.0/-0.2,UV Grade Fused Silica ,?4.0 ,955 - 1290 ,60-40 ,3.00 ,±0.1 ,?91 ,445 - 910 ,Shortpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,<1 ,±1 ,445 - 1290 ,EO 
"925nm 50mm Diameter, OD 4 Shortpass Filter",86-115,$450,0.00 ,Hard Coated ,925.00 ,50.00 +0.0/-0.2,UV Grade Fused Silica ,?4.0 ,955 - 1290 ,60-40 ,5.00 ,±0.1 ,?91 ,445 - 910 ,Shortpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,<1 ,±1 ,445 - 1290 ,EO 
"950nm 12.5mm Diameter, OD 4 Shortpass Filter",64-328,$150,0.00 ,Hard Coated ,950.00 ,12.50 +0.0/-0.2,UV Grade Fused Silica ,?4.0 ,980 - 1325 ,60-40 ,1.50 ,±0.1 ,?91 ,450 - 939 ,Shortpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,<1 ,±1 ,450 - 1325 ,EO 
"950nm 25mm Diameter, OD 4 Shortpass Filter",64-336,$220,0.00 ,Hard Coated ,950.00 ,25.00 +0.0/-0.2,UV Grade Fused Silica ,?4.0 ,980 - 1325 ,60-40 ,3.00 ,±0.1 ,?91 ,450 - 939 ,Shortpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,<1 ,±1 ,450 - 1325 ,EO 
"950nm 50mm Diameter, OD 4 Shortpass Filter",84-732,$450,0.00 ,Hard Coated ,950.00 ,50.00 +0.0/-0.2,UV Grade Fused Silica ,?4.0 ,980 - 1325 ,60-40 ,5.00 ,±0.1 ,?91 ,450 - 939 ,Shortpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,<1 ,±1 ,450 - 1325 ,EO 
"975nm 12.5mm Diameter, OD 4 Shortpass Filter",86-100,$150,0.00 ,Hard Coated ,975.00 ,12.50 +0.0/-0.2,UV Grade Fused Silica ,?4.0 ,1005 - 1365 ,60-40 ,1.50 ,±0.1 ,?91 ,465 - 960 ,Shortpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,<1 ,±1 ,465 - 1365 ,EO 
"975nm 25mm Diameter, OD 4 Shortpass Filter",86-108,$220,0.00 ,Hard Coated ,975.00 ,25.00 +0.0/-0.2,UV Grade Fused Silica ,?4.0 ,1005 - 1365 ,60-40 ,3.00 ,±0.1 ,?91 ,465 - 960 ,Shortpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,<1 ,±1 ,465 - 1365 ,EO 
"975nm 50mm Diameter, OD 4 Shortpass Filter",86-116,$450,0.00 ,Hard Coated ,975.00 ,50.00 +0.0/-0.2,UV Grade Fused Silica ,?4.0 ,1005 - 1365 ,60-40 ,5.00 ,±0.1 ,?91 ,465 - 960 ,Shortpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,<1 ,±1 ,465 - 1365 ,EO 
"1000nm 12.5mm Diameter, OD 4 Shortpass Filter",64-329,$165,0.00 ,Hard Coated ,1000.00 ,12.50 +0.0/-0.2,UV Grade Fused Silica ,?4.0 ,1035 - 1400 ,60-40 ,1.50 ,±0.1 ,?91 ,465 - 988 ,Shortpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,<1 ,±1 ,465 - 1400 ,EO 
"1000nm 25mm Diameter, OD 4 Shortpass Filter",64-337,$235,0.00 ,Hard Coated ,1000.00 ,25.00 +0.0/-0.2,UV Grade Fused Silica ,?4.0 ,1035 - 1400 ,60-40 ,3.00 ,±0.1 ,?91 ,465 - 988 ,Shortpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,<1 ,±1 ,465 - 1400 ,EO 
"1000nm 50mm Diameter, OD 4 Shortpass Filter",84-733,$475,0.00 ,Hard Coated ,1000.00 ,50.00 +0.0/-0.2,UV Grade Fused Silica ,?4.0 ,1035 - 1400 ,60-40 ,5.00 ,±0.1 ,?91 ,465 - 988 ,Shortpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,<1 ,±1 ,465 - 1400 ,EO 
"1025nm 12.5mm Diameter, OD 4 Shortpass Filter",86-101,$165,0.00 ,Hard Coated ,1025.00 ,12.50 +0.0/-0.2,UV Grade Fused Silica ,?4.0 ,1060 - 1430 ,60-40 ,1.50 ,±0.1 ,?91 ,490 - 1010 ,Shortpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,<1 ,±1 ,490 - 1430 ,EO 
"1025nm 25mm Diameter, OD 4 Shortpass Filter",86-109,$235,0.00 ,Hard Coated ,1025.00 ,25.00 +0.0/-0.2,UV Grade Fused Silica ,?4.0 ,1060 - 1430 ,60-40 ,3.00 ,±0.1 ,?91 ,490 - 1010 ,Shortpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,<1 ,±1 ,490 - 1430 ,EO 
"1025nm 50mm Diameter, OD 4 Shortpass Filter",86-117,$475,0.00 ,Hard Coated ,1025.00 ,50.00 +0.0/-0.2,UV Grade Fused Silica ,?4.0 ,1060 - 1430 ,60-40 ,5.00 ,±0.1 ,?91 ,490 - 1010 ,Shortpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,<1 ,±1 ,490 - 1430 ,EO 
"1050nm 12.5mm Diameter, OD 4 Shortpass Filter",64-330,$165,0.00 ,Hard Coated ,1050.00 ,12.50 +0.0/-0.2,UV Grade Fused Silica ,?4.0 ,1085 - 1460 ,60-40 ,1.50 ,±0.1 ,?91 ,485 - 1036 ,Shortpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,<1 ,±1 ,485 - 1460 ,EO 
"1050nm 25mm Diameter, OD 4 Shortpass Filter",64-338,$235,0.00 ,Hard Coated ,1050.00 ,25.00 +0.0/-0.2,UV Grade Fused Silica ,?4.0 ,1085 - 1460 ,60-40 ,3.00 ,±0.1 ,?91 ,485 - 1036 ,Shortpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,<1 ,±1 ,485 - 1460 ,EO 
"1050nm 50mm Diameter, OD 4 Shortpass Filter",84-734,$475,0.00 ,Hard Coated ,1050.00 ,50.00 +0.0/-0.2,UV Grade Fused Silica ,?4.0 ,1085 - 1460 ,60-40 ,5.00 ,±0.1 ,?91 ,485 - 1036 ,Shortpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,<1 ,±1 ,485 - 1460 ,EO 
"1075nm 12.5mm Diameter, OD 4 Shortpass Filter",86-102,$165,0.00 ,Hard Coated ,1075.00 ,12.50 +0.0/-0.2,UV Grade Fused Silica ,?4.0 ,1110 - 1495 ,60-40 ,1.50 ,±0.1 ,?91 ,505 - 1060 ,Shortpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,<1 ,±1 ,505 - 1495 ,EO 
"1075nm 25mm Diameter, OD 4 Shortpass Filter",86-110,$235,0.00 ,Hard Coated ,1075.00 ,25.00 +0.0/-0.2,UV Grade Fused Silica ,?4.0 ,1110 - 1495 ,60-40 ,3.00 ,±0.1 ,?91 ,505 - 1060 ,Shortpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,<1 ,±1 ,505 - 1495 ,EO 
"1075nm 50mm Diameter, OD 4 Shortpass Filter",86-118,$475,0.00 ,Hard Coated ,1075.00 ,50.00 +0.0/-0.2,UV Grade Fused Silica ,?4.0 ,1110 - 1495 ,60-40 ,5.00 ,±0.1 ,?91 ,505 - 1060 ,Shortpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,<1 ,±1 ,505 - 1495 ,EO 
