Title,Stock Number,Price,CA (mm),Coating,Dia. (mm),Filter Thread,Substrate,Optical Density OD,Transmission (%),Type,Blocking Wavelength Range (nm),Stock No. of Unmounted Filter,Mount Thickness (mm)
"400-700nm OD 0.6, M30.5 x 0.5 Absorptive ND Filter",66-720,$59,22.0 ,Uncoated ,33.50 ,M30.5 x 0.5 ,ND Filter Glass ,0.6 ,25.00 ,Neutral Density Filter ,400 - 700 ,#46-214 ,9.2 
"400-700nm OD 0.7, M30.5 x 0.5 Absorptive ND Filter",66-721,$59,22.0 ,Uncoated ,33.50 ,M30.5 x 0.5 ,ND Filter Glass ,0.7 ,20.00 ,Neutral Density Filter ,400 - 700 ,#63-462 ,9.2 
"400-700nm OD 0.9, M30.5 x 0.5 Absorptive ND Filter",66-722,$59,22.0 ,Uncoated ,33.50 ,M30.5 x 0.5 ,ND Filter Glass ,0.9 ,12.50 ,Neutral Density Filter ,400 - 700 ,#46-215 ,9.2 
"400-700nm OD 1.0, M30.5 x 0.5 Absorptive ND Filter",66-723,$59,22.0 ,Uncoated ,33.50 ,M30.5 x 0.5 ,ND Filter Glass ,1.0 ,10.00 ,Neutral Density Filter ,400 - 700 ,#48-090 ,9.2 
"400-700nm OD 1.3, M30.5 x 0.5 Absorptive ND Filter",66-724,$59,22.0 ,Uncoated ,33.50 ,M30.5 x 0.5 ,ND Filter Glass ,1.3 ,5.00 ,Neutral Density Filter ,400 - 700 ,#63-463 ,9.2 
"400-700nm OD 1.5, M30.5 x 0.5 Absorptive ND Filter",66-725,$59,22.0 ,Uncoated ,33.50 ,M30.5 x 0.5 ,ND Filter Glass ,1.5 ,3.20 ,Neutral Density Filter ,400 - 700 ,#48-091 ,9.2 
"400-700nm OD 2.0, M30.5 x 0.5 Absorptive ND Filter",66-726,$59,22.0 ,Uncoated ,33.50 ,M30.5 x 0.5 ,ND Filter Glass ,2.0 ,1.00 ,Neutral Density Filter ,400 - 700 ,#48-092 ,9.2 
"400-700nm OD 2.5, M30.5 x 0.5 Absorptive ND Filter",66-727,$59,22.0 ,Uncoated ,33.50 ,M30.5 x 0.5 ,ND Filter Glass ,2.5 ,0.30 ,Neutral Density Filter ,400 - 700 ,#46-216 ,9.2 
"400-700nm OD 3.0, M30.5 x 0.5 Absorptive ND Filter",66-728,$59,22.0 ,Uncoated ,33.50 ,M30.5 x 0.5 ,ND Filter Glass ,3.0 ,0.10 ,Neutral Density Filter ,400 - 700 ,#48-093 ,9.2 
"700-1200nm OD 0.3, M25.5 x 0.5 Non-Reflective ND Filter",66-729,$119,22.0 ,Non-Reflective ND ,28.00 ,M25.5 x 0.5 ,B270 ,0.3 ,50.00 ,Neutral Density Filter ,700 - 1200 ,#63-406 ,9.9 
