Title,Stock Number,Price,Dia. (mm),CWL (nm),CWL Tolerance (nm),FWHM (nm),FWHM Tolerance (nm),Minimum Transmission (%),Blocking Wavelength Range (nm),Optical Density OD,CA (mm),Surface Quality,Angle Sensitivity,Coating,Construction,Mount Thickness (mm),Operating Temperature (°C),Thickness Tolerance (mm),Type,Typical Applications
"320nm CWL, 10nm FWHM, 50mm Mounted Diameter",67-888,$399,50.00 +0.00/-0.25,320 ,+3.0/-0.0 ,10.00 ,±2 ,>25 ,200 - 10000 ,?4.0 ,45.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,6.9 ,-50 to +50 ,,Bandpass Filter ,General Filtering 
"326nm CWL, 10nm FWHM, 12.5mm Mounted Diameter",67-755,$135,12.50 +0.00/-0.25,326 ,+2.0/-0.0 ,10.00 ,±2 ,>25 ,200 - 10000 ,?4.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,6.9 ,-50 to +50 ,,Bandpass Filter ,Cd Emission Line 
"326nm CWL, 10nm FWHM, 25mm Mounted Diameter",67-822,$209,25.00 +0.00/-0.25,326 ,+3.0/-0.0 ,10.00 ,±2 ,>25 ,200 - 10000 ,?4.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,6.9 ,-50 to +50 ,,Bandpass Filter ,Cd Emission Line 
"326nm CWL, 10nm FWHM, 50mm Mounted Diameter",67-889,$399,50.00 +0.00/-0.25,326 ,+2.0/-0.0 ,10.00 ,±2 ,>25 ,200 - 10000 ,?4.0 ,45.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,6.9 ,-50 to +50 ,,Bandpass Filter ,Cd Emission Line 
"330nm CWL, 10nm FWHM, 12.5mm Mounted Diameter",67-756,$135,12.50 +0.00/-0.25,330 ,+3.0/-0.0 ,10.00 ,±2 ,>25 ,200 - 10000 ,?4.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,6.9 ,-50 to +50 ,,Bandpass Filter ,General Filtering 
"330nm CWL, 10nm FWHM, 25mm Mounted Diameter",67-823,$209,25.00 +0.00/-0.25,330 ,+3.0/-0.0 ,10.00 ,±2 ,>25 ,200 - 10000 ,?4.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,6.9 ,-50 to +50 ,,Bandpass Filter ,General Filtering 
"330nm CWL, 10nm FWHM, 50mm Mounted Diameter",67-890,$399,50.00 +0.00/-0.25,330 ,+3.0/-0.0 ,10.00 ,±2 ,>25 ,200 - 10000 ,?4.0 ,45.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,6.9 ,-50 to +50 ,,Bandpass Filter ,General Filtering 
"334nm CWL, 10nm FWHM, 12.5mm Mounted Diameter",65-612,$135,12.50 +0.0/-0.2,334 ,±2 ,10.00 ,±2 ,?25 ,200 - 1200 ,?3.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,7.5 ,-50 to +75 ,±0.10 ,Bandpass Filter ,Mercury Emission 
"334nm CWL, 10nm FWHM, 25mm Mounted Diameter",65-672,$209,25.00 +0.0/-0.2,334 ,±2 ,10.00 ,±2 ,?25 ,200 - 1200 ,?3.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,7.5 ,-50 to +75 ,±0.10 ,Bandpass Filter ,Mercury Emission 
"337nm CWL, 10nm FWHM, 12.5mm Mounted Diameter",65-613,$135,12.50 +0.0/-0.2,337 ,±2 ,10.00 ,±2 ,?25 ,200 - 1200 ,?3.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,7.5 ,-50 to +75 ,±0.10 ,Bandpass Filter ,N Laser Line 
"337nm CWL, 10nm FWHM, 25mm Mounted Diameter",65-673,$209,25.00 +0.0/-0.2,337 ,±2 ,10.00 ,±2 ,?25 ,200 - 1200 ,?3.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,7.5 ,-50 to +75 ,±0.10 ,Bandpass Filter ,N Laser Line 
"340nm CWL, 10nm FWHM, 12.5mm Mounted Diameter",65-614,$135,12.50 +0.0/-0.2,340 ,±2 ,10.00 ,±2 ,?25 ,200 - 1200 ,?3.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,7.5 ,-50 to +75 ,±0.10 ,Bandpass Filter ,FURA Excitation 
"340nm CWL, 10nm FWHM, 25mm Mounted Diameter",65-674,$209,25.00 +0.0/-0.2,340 ,±2 ,10.00 ,±2 ,?25 ,200 - 1200 ,?3.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,7.5 ,-50 to +75 ,±0.10 ,Bandpass Filter ,FURA Excitation 
"350nm CWL, 10nm FWHM, 12.5mm Mounted Diameter",67-757,$95,12.50 +0.00/-0.25,350 ,+3.0/-0.0 ,10.00 ,±2 ,>25 ,200 - 10000 ,?4.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,6.9 ,-50 to +50 ,,Bandpass Filter ,General Filtering 
"350nm CWL, 40nm FWHM, 12.5mm Mounted Diameter",67-758,$95,12.50 +0.00/-0.25,350 ,±5 ,40.00 ,±8 ,>25 ,200 - 10000 ,?4.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,4.9 ,-50 to +50 ,,Bandpass Filter ,General Filtering 
"350nm CWL, 10nm FWHM, 25mm Mounted Diameter",67-824,$179,25.00 +0.00/-0.25,350 ,+3.0/-0.0 ,10.00 ,±2 ,>25 ,200 - 10000 ,?4.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,6.9 ,-50 to +50 ,,Bandpass Filter ,General Filtering 
"350nm CWL, 40nm FWHM, 25mm Mounted Diameter",67-825,$179,25.00 +0.00/-0.25,350 ,±5 ,40.00 ,±8 ,>25 ,200 - 10000 ,?4.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,4.9 ,-50 to +50 ,,Bandpass Filter ,General Filtering 
"350nm CWL, 10nm FWHM, 50mm Mounted Diameter",67-891,$365,50.00 +0.00/-0.25,350 ,+3.0/-0.0 ,10.00 ,±2 ,>25 ,200 - 10000 ,?4.0 ,45.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,6.9 ,-50 to +50 ,,Bandpass Filter ,General Filtering 
"350nm CWL, 40nm FWHM, 50mm Mounted Diameter",67-892,$365,50.00 +0.00/-0.25,350 ,±5 ,40.00 ,±8 ,>25 ,200 - 10000 ,?4.0 ,45.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,4.9 ,-50 to +50 ,,Bandpass Filter ,General Filtering 
"355nm CWL, 10nm FWHM, 12.5mm Mounted Diameter",67-759,$95,12.50 +0.00/-0.25,355 ,+2.0/-0.0 ,10.00 ,±2 ,>25 ,200 - 10000 ,?4.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.4 ,-50 to +50 ,,Bandpass Filter ,Nd:YAG Laser Line 
"355nm CWL, 10nm FWHM, 25mm Mounted Diameter",67-826,$179,25.00 +0.00/-0.25,355 ,+2.0/-0.0 ,10.00 ,±2 ,>25 ,200 - 10000 ,?4.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.4 ,-50 to +50 ,,Bandpass Filter ,Nd:YAG Laser Line 
"355nm CWL, 10nm FWHM, 50mm Mounted Diameter",67-893,$365,50.00 +0.00/-0.25,355 ,+2.0/-0.0 ,10.00 ,±2 ,>25 ,200 - 10000 ,?4.0 ,45.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.4 ,-50 to +50 ,,Bandpass Filter ,Nd:YAG Laser Line 
"360nm CWL, 10nm FWHM, 12.5mm Mounted Diameter",67-760,$95,12.50 +0.00/-0.25,360 ,+3.0/-0.0 ,10.00 ,±2 ,>25 ,200 - 10000 ,?4.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.4 ,-50 to +50 ,,Bandpass Filter ,General Filtering 
"360nm CWL, 10nm FWHM, 25mm Mounted Diameter",67-827,$179,25.00 +0.00/-0.25,360 ,+3.0/-0.0 ,10.00 ,±2 ,>25 ,200 - 10000 ,?4.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.4 ,-50 to +50 ,,Bandpass Filter ,General Filtering 
"360nm CWL, 10nm FWHM, 50mm Mounted Diameter",67-894,$365,50.00 +0.00/-0.25,360 ,+3.0/-0.0 ,10.00 ,±2 ,>25 ,200 - 10000 ,?4.0 ,45.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.4 ,-50 to +50 ,,Bandpass Filter ,General Filtering 
"365nm CWL, 10nm FWHM, 12.5mm Mounted Diameter",65-615,$95,12.50 +0.0/-0.2,365 ,±2 ,10.00 ,±2 ,?25 ,200 - 1200 ,?3.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,7.5 ,-50 to +75 ,±0.10 ,Bandpass Filter ,Hg Emission/Ar Laser Line 
"365nm CWL, 10nm FWHM, 25mm Mounted Diameter",65-675,$179,25.00 +0.0/-0.2,365 ,±2 ,10.00 ,±2 ,?25 ,200 - 1200 ,?3.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,7.5 ,-50 to +75 ,±0.10 ,Bandpass Filter ,Hg Emission/Ar Laser Line 
"365nm CWL, 10nm FWHM, 50mm Mounted Diameter",86-997,$365,50.00 +0.0/-0.2,365 ,±2  ,10.00 ,±2 ,?25 ,200 - 1200 ,?3.0 ,45.0 ,80-50 ,Intended for Collimated Input  ,Traditional Coated ,Mounted in Black Anodized Ring ,7.5 ,-50 to +75  ,±0.10 ,Bandpass Filter ,Hg Emission/Ar Laser Line 
"370nm CWL, 10nm FWHM, 12.5mm Mounted Diameter",67-761,$95,12.50 +0.00/-0.25,370 ,+3.0/-0.0 ,10.00 ,±2 ,>25 ,200 - 10000 ,?4.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.4 ,-50 to +50 ,,Bandpass Filter ,General Filtering 
"370nm CWL, 10nm FWHM, 25mm Mounted Diameter",67-828,$179,25.00 +0.00/-0.25,370 ,+3.0/-0.0 ,10.00 ,±2 ,>25 ,200 - 10000 ,?4.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.4 ,-50 to +50 ,,Bandpass Filter ,General Filtering 
"370nm CWL, 10nm FWHM, 50mm Mounted Diameter",67-895,$365,50.00 +0.00/-0.25,370 ,+3.0/-0.0 ,10.00 ,±2 ,>25 ,200 - 10000 ,?4.0 ,45.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.4 ,-50 to +50 ,,Bandpass Filter ,General Filtering 
"380nm CWL, 10nm FWHM, 12.5mm Mounted Diameter",67-762,$95,12.50 +0.00/-0.25,380 ,+3.0/-0.0 ,10.00 ,±2 ,>25 ,200 - 10000 ,?4.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.9 ,-50 to +50 ,,Bandpass Filter ,General Filtering 
"380nm CWL, 10nm FWHM, 25mm Mounted Diameter",67-829,$179,25.00 +0.00/-0.25,380 ,+3.0/-0.0 ,10.00 ,±2 ,>25 ,200 - 10000 ,?4.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.9 ,-50 to +50 ,,Bandpass Filter ,General Filtering 
"380nm CWL, 10nm FWHM, 50mm Mounted Diameter",67-896,$365,50.00 +0.00/-0.25,380 ,+3.0/-0.0 ,10.00 ,±2 ,>25 ,200 - 10000 ,?4.0 ,45.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.9 ,-50 to +50 ,,Bandpass Filter ,General Filtering 
"390nm CWL, 10nm FWHM, 12.5mm Mounted Diameter",67-763,$95,12.50 +0.00/-0.25,390 ,+3.0/-0.0 ,10.00 ,±2 ,>40 ,200 - 10000 ,?4.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.9 ,-50 to +50 ,,Bandpass Filter ,General Filtering 
"390nm CWL, 10nm FWHM, 25mm Mounted Diameter",67-830,$179,25.00 +0.00/-0.25,390 ,+3.0/-0.0 ,10.00 ,±2 ,>40 ,200 - 10000 ,?4.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.9 ,-50 to +50 ,,Bandpass Filter ,General Filtering 
"390nm CWL, 10nm FWHM, 50mm Mounted Diameter",67-897,$365,50.00 +0.00/-0.25,390 ,+3.0/-0.0 ,10.00 ,±2 ,>40 ,200 - 10000 ,?4.0 ,45.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.9 ,-50 to +50 ,,Bandpass Filter ,General Filtering 
"394nm CWL, 10nm FWHM, 12.5mm Mounted Diameter",65-616,$95,12.50 +0.0/-0.2,394 ,±2 ,10.00 ,±2 ,?30 ,200 - 1200 ,?3.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,7.5 ,-50 to +75 ,±0.10 ,Bandpass Filter ,S Emission Line 
"394nm CWL, 10nm FWHM, 25mm Mounted Diameter",65-676,$179,25.00 +0.0/-0.2,394 ,±2 ,10.00 ,±2 ,?30 ,200 - 1200 ,?3.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,7.5 ,-50 to +75 ,±0.10 ,Bandpass Filter ,S Emission Line 
