Title,Stock Number,Price,Dia. (mm),CWL (nm),CWL Tolerance (nm),FWHM (nm),FWHM Tolerance (nm),Minimum Transmission (%),Blocking Wavelength Range (nm),Optical Density OD,CA (mm),Surface Quality,Angle Sensitivity,Coating,Construction,Mount Thickness (mm),Operating Temperature (°C),Thickness Tolerance (mm),Type,Typical Applications
"228nm CWL, 10nm FWHM, 50mm Mounted Diameter",67-870,$425,50.00 +0.00/-0.25,228 ,+3.0/-0.0 ,10.00 ,±2 ,>15 ,200 - 10000 ,?4.0 ,45.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,3.5 ,-50 to +50 ,,Bandpass Filter ,Cd Emission Line 
"228nm CWL, 25nm FWHM, 12.5mm Mounted Diameter",68-336,$165,12.50 +0.00/-0.25,228 ,±3 ,25.00 ,±5 ,>20 ,200 - 10000 ,?4.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,3.5 ,-50 to +50 ,,Bandpass Filter ,Cd Emission Line 
"228nm CWL, 25nm FWHM, 25mm Mounted Diameter",68-337,$265,25.00 +0.00/-0.25,228 ,±3 ,25.00 ,±5 ,>20 ,200 - 10000 ,?4.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,3.5 ,-50 to +50 ,,Bandpass Filter ,Cd Emission Line 
"228nm CWL, 25nm FWHM, 50mm Mounted Diameter",68-338,$425,50.00 +0.00/-0.25,228 ,±3 ,25.00 ,±5 ,>20 ,200 - 10000 ,?4.0 ,45.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,3.5 ,-50 to +50 ,,Bandpass Filter ,Cd Emission Line 
"232nm CWL, 10nm FWHM, 12.5mm Mounted Diameter",67-737,$165,12.50 +0.00/-0.25,232 ,+3.0/-0.0 ,10.00 ,±2 ,>15 ,200 - 10000 ,?4.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,3.5 ,-50 to +50 ,,Bandpass Filter ,Ni Emission Line 
"232nm CWL, 10nm FWHM, 25mm Mounted Diameter",67-804,$265,25.00 +0.00/-0.25,232 ,+3.0/-0.0 ,10.00 ,±2 ,>15 ,200 - 10000 ,?4.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,3.5 ,-50 to +50 ,,Bandpass Filter ,Ni Emission Line 
"232nm CWL, 10nm FWHM, 50mm Mounted Diameter",67-871,$425,50.00 +0.00/-0.25,232 ,+3.0/-0.0 ,10.00 ,±2 ,>15 ,200 - 10000 ,?4.0 ,45.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,3.5 ,-50 to +50 ,,Bandpass Filter ,Ni Emission Line 
"239nm CWL, 10nm FWHM, 12.5mm Mounted Diameter",67-738,$165,12.50 +0.00/-0.25,239 ,+3.0/-0.0 ,10.00 ,±2 ,>15 ,200 - 10000 ,?4.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,3.5 ,-50 to +50 ,,Bandpass Filter ,Co Emission Line 
"239nm CWL, 10nm FWHM, 25mm Mounted Diameter",67-805,$265,25.00 +0.00/-0.25,239 ,+3.0/-0.0 ,10.00 ,±2 ,>15 ,200 - 10000 ,?4.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,3.5 ,-50 to +50 ,,Bandpass Filter ,Co Emission Line 
"239nm CWL, 10nm FWHM, 50mm Mounted Diameter",67-872,$425,50.00 +0.00/-0.25,239 ,+3.0/-0.0 ,10.00 ,±2 ,>15 ,200 - 10000 ,?4.0 ,45.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,3.5 ,-50 to +50 ,,Bandpass Filter ,Co Emission Line 
"248nm CWL, 10nm FWHM, 12.5mm Mounted Diameter",67-739,$165,12.50 +0.00/-0.25,248 ,+3.0/-0.0 ,10.00 ,±2 ,>12 ,200 - 10000 ,?4.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,3.5 ,-50 to +50 ,,Bandpass Filter ,KrF Laser Line 
"248nm CWL, 10nm FWHM, 25mm Mounted Diameter",67-806,$265,25.00 +0.00/-0.25,248 ,+3.0/-0.0 ,10.00 ,±2 ,>12 ,200 - 10000 ,?4.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,3.5 ,-50 to +50 ,,Bandpass Filter ,KrF Laser Line 
"248nm CWL, 10nm FWHM, 50mm Mounted Diameter",67-873,$425,50.00 +0.00/-0.25,239 ,+3.0/-0.0 ,10.00 ,±2 ,>12 ,200 - 10000 ,?4.0 ,45.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,3.5 ,-50 to +50 ,,Bandpass Filter ,KrF Laser Line 
"250nm CWL, 10nm FWHM, 12.5mm Mounted Diameter",67-740,$135,12.50 +0.00/-0.25,250 ,+3.0/-0.0 ,10.00 ,±2 ,>12 ,200 - 10000 ,?4.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,3.5 ,-50 to +50 ,,Bandpass Filter ,General Filtering 
"250nm CWL, 10nm FWHM, 25mm Mounted Diameter",67-807,$209,25.00 +0.00/-0.25,250 ,+3.0/-0.0 ,10.00 ,±2 ,>12 ,200 - 10000 ,?4.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,3.5 ,-50 to +50 ,,Bandpass Filter ,General Filtering 
"250nm CWL, 10nm FWHM, 50mm Mounted Diameter",67-874,$399,50.00 +0.00/-0.25,250 ,+3.0/-0.0 ,10.00 ,±2 ,>12 ,200 - 10000 ,?4.0 ,45.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,3.5 ,-50 to +50 ,,Bandpass Filter ,General Filtering 
"254nm CWL, 10nm FWHM, 12.5mm Mounted Diameter",67-741,$135,12.50 +0.00/-0.25,254 ,+3.0/-0.0 ,10.00 ,±2 ,>12 ,200 - 10000 ,?4.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,3.5 ,-50 to +50 ,,Bandpass Filter ,Mercury Emission 
"254nm CWL, 10nm FWHM, 25mm Mounted Diameter",67-808,$209,25.00 +0.00/-0.25,254 ,+3.0/-0.0 ,10.00 ,±2 ,>12 ,200 - 10000 ,?4.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,3.5 ,-50 to +50 ,,Bandpass Filter ,Mercury Emission 
"254nm CWL, 10nm FWHM, 50mm Mounted Diameter",67-875,$399,50.00 +0.00/-0.25,254 ,+3.0/-0.0 ,10.00 ,±2 ,>12 ,200 - 10000 ,?4.0 ,45.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,3.5 ,-50 to +50 ,,Bandpass Filter ,Mercury Emission 
"254nm CWL, 40nm FWHM, 12.5mm Mounted Diameter",67-742,$135,12.50 +0.00/-0.25,254 ,+10.0/-0.0 ,40.00 ,±8 ,>20 ,200 - 10000 ,?4.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,3.5 ,-50 to +50 ,,Bandpass Filter ,Mercury Emission 
