Title,Stock Number,Price,Dia. (mm),CWL (nm),CWL Tolerance (nm),FWHM (nm),FWHM Tolerance (nm),Minimum Transmission (%),Blocking Wavelength Range (nm),Optical Density OD,CA (mm),Surface Quality,Angle Sensitivity,Coating,Construction,Mount Thickness (mm),Operating Temperature (°C),Thickness Tolerance (mm),Type,Typical Applications
"400nm CWL, 12.5mm Dia., 10nm FWHM, Interference Filter",65-617,$95,12.50 +0.00/-0.25,400 ,±2 ,10.00 ,±2 ,?30 ,200 - Far IR ,?3.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,7.5 ,-50 to +75 ,±0.1 ,Bandpass Filter ,Clinical Chemistry 
"400nm CWL, 12.5mm Dia., 50nm FWHM, Interference Filter",65-732,$95,12.50 +0.00/-0.25,400 ,±15 ,50.00 ,±15 ,?55 ,200 - Far IR ,?3.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,7.5 ,-50 to +75 ,±0.1 ,Bandpass Filter ,Clinical Chemistry 
"400nm CWL, 25mm Dia., 10nm FWHM, Interference Filter",65-677,$179,25.00 +0.00/-0.25,400 ,±2 ,10.00 ,±2 ,?30 ,200 - Far IR ,?3.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,7.5 ,-50 to +75 ,±0.1 ,Bandpass Filter ,Clinical Chemistry 
"400nm CWL, 25mm Dia., 50nm FWHM, Interference Filter",65-741,$179,25.00 +0.00/-0.25,400 ,±15 ,50.00 ,±15 ,?55 ,200 - Far IR ,?3.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,7.5 ,-50 to +75 ,±0.1 ,Bandpass Filter ,Clinical Chemistry 
"405nm CWL, 12.5mm Dia., 10nm FWHM, Interference Filter",65-618,$79,12.50 +0.00/-0.25,405 ,±2 ,10.00 ,±2 ,?40 ,200 - Far IR ,?3.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,7.5 ,-50 to +75 ,±0.1 ,Bandpass Filter ,Laser Diode Cleanup 
"405nm CWL, 25mm Dia., 10nm FWHM, Interference Filter",65-678,$120,25.00 +0.00/-0.25,405 ,±2 ,10.00 ,±2 ,?40 ,200 - Far IR ,?3.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,7.5 ,-50 to +75 ,±0.1 ,Bandpass Filter ,Laser Diode Cleanup 
"405nm CWL, 50mm Dia., 10nm FWHM, Interference Filter",86-622,$265,50.00 +0.00/-0.25 ,405 ,±2  ,10.00 ,±2  ,?40  ,200 - Far IR ,?3.0 ,45.0 ,80-50  ,Intended for Collimated Input  ,Traditional Coated ,Mounted in Black Anodized Ring ,7.5  ,-50 to +75  ,±0.1  ,Bandpass Filter ,Laser Diode Cleanup 
"410nm CWL, 12.5mm Dia., 10nm FWHM, Interference Filter",65-619,$79,12.50 +0.00/-0.25,410 ,±2 ,10.00 ,±2 ,?40 ,200 - Far IR ,?3.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,7.5 ,-50 to +75 ,±0.1 ,Bandpass Filter ,Clinical Chemistry 
"410nm CWL, 25mm Dia., 10nm FWHM, Interference Filter",65-679,$120,25.00 +0.00/-0.25,410 ,±2 ,10.00 ,±2 ,?40 ,200 - Far IR ,?3.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,7.5 ,-50 to +75 ,±0.1 ,Bandpass Filter ,Clinical Chemistry 
"415nm CWL, 12.5mm Dia., 10nm FWHM, Interference Filter",65-620,$79,12.50 +0.00/-0.25,415 ,±2 ,10.00 ,±2 ,?40 ,200 - Far IR ,?3.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,7.5 ,-50 to +75 ,±0.1 ,Bandpass Filter ,Ar Emission 
"415nm CWL, 25mm Dia., 10nm FWHM, Interference Filter",65-680,$120,25.00 +0.00/-0.25,415 ,±2 ,10.00 ,±2 ,?40 ,200 - Far IR ,?3.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,7.5 ,-50 to +75 ,±0.1 ,Bandpass Filter ,Ar Emission 
"420nm CWL, 12.5mm Dia., 10nm FWHM, Interference Filter",65-621,$79,12.50 +0.00/-0.25,420 ,±2 ,10.00 ,±2 ,?40 ,200 - Far IR ,?3.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,7.5 ,-50 to +75 ,±0.1 ,Bandpass Filter ,Ar Emission 
"420nm CWL, 25mm Dia., 10nm FWHM, Interference Filter",65-681,$120,25.00 +0.00/-0.25,420 ,±2 ,10.00 ,±2 ,?40 ,200 - Far IR ,?3.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,7.5 ,-50 to +75 ,±0.1 ,Bandpass Filter ,Ar Emission 
"420nm CWL, 50mm Dia., 10nm FWHM, Interference Filter",86-623,$265,50.00 +0.00/-0.25 ,420 ,±2  ,10.00 ,±2  ,?40  ,200 - Far IR ,?3.0 ,45.0 ,80-50  ,Intended for Collimated Input  ,Traditional Coated ,Mounted in Black Anodized Ring ,7.5  ,-50 to +75  ,±0.1  ,Bandpass Filter ,Ar Emission 
"430nm CWL, 12.5mm Dia., 10nm FWHM, Interference Filter",65-622,$79,12.50 +0.00/-0.25,430 ,±2 ,10.00 ,±2 ,?40 ,200 - Far IR ,?3.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,7.5 ,-50 to +75 ,±0.1 ,Bandpass Filter ,Ar Emission 
