Title,Stock Number,Price,AOI (°),Coating,Cut-Off Wavelength (nm),Dia. (mm),Substrate,P-Polarization Transmission (%),Reflection (%),Reflection Wavelength (nm),S-Polarization Transmission (%),Dimensions (mm),Surface Quality,Thickness (mm),Thickness Tolerance (mm),Transmission (%),Transmission Wavelength (nm),Type,Dimensional Tolerance (mm),"Transmitted Wavefront, RMS",Slope Factor (%),Cut-Off Tolerance (%),S-Polarization Reflection (%),P-Polarization Reflection (%),Coating Specification,Wavelength Range (nm)
"1150nm, 12.5 x 17.6mm, Dichroic Shortpass Filter",86-686,$99,45 ,Hard Coated ,1150 ,,Fused Silica ,>80 ,>97 Average Polarization ,1207 - 1495 ,>80 ,12.5 x 17.6 ,40-20 ,1.05 ,±0.05 ,>85 Average Polarization ,598 - 1104 ,Shortpass Filter ,+0.0/-0.1 ,?/4 ,,±2 ,>95 ,>95 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 ,598 - 1495 
"1200nm, 12.5 x 17.6mm, Dichroic Shortpass Filter",86-687,$99,45 ,Hard Coated ,1200 ,,Fused Silica ,>80 ,>97 Average Polarization ,1260 - 1560 ,>80 ,12.5 x 17.6 ,40-20 ,1.05 ,±0.05 ,>85 Average Polarization ,624 - 1152 ,Shortpass Filter ,+0.0/-0.1 ,?/4 ,,±2 ,>95 ,>95 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 ,624 - 1560 
"950nm, 25mm Diameter, Dichroic Shortpass Filter",86-688,$135,45 ,Hard Coated ,950 ,25.00 ,Fused Silica ,>80 ,>97 Average Polarization ,997 - 1235 ,>80 ,,40-20 ,1.05 ,±0.05 ,>85 Average Polarization ,495 - 912 ,Shortpass Filter ,+0.0/-0.1 ,?/4 ,,±2 ,>95 ,>95 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 ,495 - 1325 
"1000nm, 25mm Diameter, Dichroic Shortpass Filter",86-689,$135,45 ,Hard Coated ,1000 ,25.00 ,Fused Silica ,>80 ,>97 Average Polarization ,1050 - 1300 ,>80 ,,40-20 ,1.05 ,±0.05 ,>85 Average Polarization ,520 - 960 ,Shortpass Filter ,+0.0/-0.1 ,?/4 ,,±2 ,>95 ,>95 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 ,520 - 1300 
"1050nm, 25mm Diameter, Dichroic Shortpass Filter",86-690,$135,45 ,Hard Coated ,1050 ,25.00 ,Fused Silica ,>80 ,>97 Average Polarization ,1102 - 1365 ,>80 ,,40-20 ,1.05 ,±0.05 ,>85 Average Polarization ,546 - 1008 ,Shortpass Filter ,+0.0/-0.1 ,?/4 ,,±2 ,>95 ,>95 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 ,546 - 1365 
"1100nm, 25mm Diameter, Dichroic Shortpass Filter",86-691,$135,45 ,Hard Coated ,1100 ,25.00 ,Fused Silica ,>80 ,>97 Average Polarization ,1155 - 1430 ,>80 ,,40-20 ,1.05 ,±0.05 ,>85 Average Polarization ,572 - 1056 ,Shortpass Filter ,+0.0/-0.1 ,?/4 ,,±2 ,>95 ,>95 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 ,572 - 1430 
"1150nm, 25mm Diameter, Dichroic Shortpass Filter",86-692,$135,45 ,Hard Coated ,1150 ,25.00 ,Fused Silica ,>80 ,>97 Average Polarization ,1207 - 1495 ,>80 ,,40-20 ,1.05 ,±0.05 ,>85 Average Polarization ,598 - 1104 ,Shortpass Filter ,+0.0/-0.1 ,?/4 ,,±2 ,>95 ,>95 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 ,598 - 1495 
"1200nm, 25mm Diameter, Dichroic Shortpass Filter",86-693,$135,45 ,Hard Coated ,1200 ,25.00 ,Fused Silica ,>80 ,>97 Average Polarization ,1260 - 1560 ,>80 ,,40-20 ,1.05 ,±0.05 ,>85 Average Polarization ,624 - 1152 ,Shortpass Filter ,+0.0/-0.1 ,?/4 ,,±2 ,>95 ,>95 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 ,624 - 1560 
"950nm, 25.2 x 35.6mm, Dichroic Shortpass Filter",86-694,$135,45 ,Hard Coated ,950 ,,Fused Silica ,>80 ,>97 Average Polarization ,997 - 1235 ,>80 ,25.2 x 35.6 ,40-20 ,1.05 ,±0.05 ,>85 Average Polarization ,495 - 912 ,Shortpass Filter ,+0.0/-0.1 ,?/4 ,,±2 ,>95 ,>95 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 ,495 - 1235 
"1000nm, 25.2 x 35.6mm, Dichroic Shortpass Filter",86-695,$135,45 ,Hard Coated ,1000 ,,Fused Silica ,>80 ,>97 Average Polarization ,1050 - 1300 ,>80 ,25.2 x 35.6 ,40-20 ,1.05 ,±0.05 ,>85 Average Polarization ,520 - 960 ,Shortpass Filter ,+0.0/-0.1 ,?/4 ,,±2 ,>95 ,>95 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 ,520 - 1300 
"1050nm, 25.2 x 35.6mm, Dichroic Shortpass Filter",86-696,$135,45 ,Hard Coated ,1050 ,,Fused Silica ,>80 ,>97 Average Polarization ,1102 - 1365 ,>80 ,25.2 x 35.6 ,40-20 ,1.05 ,±0.05 ,>85 Average Polarization ,546 - 1008 ,Shortpass Filter ,+0.0/-0.1 ,?/4 ,,±2 ,>95 ,>95 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 ,546 - 1365 
"1100nm, 25.2 x 35.6mm, Dichroic Shortpass Filter",86-697,$135,45 ,Hard Coated ,1100 ,,Fused Silica ,>80 ,>97 Average Polarization ,1155 - 1430 ,>80 ,25.2 x 35.6 ,40-20 ,1.05 ,±0.05 ,>85 Average Polarization ,572 - 1056 ,Shortpass Filter ,+0.0/-0.1 ,?/4 ,,±2 ,>95 ,>95 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 ,572 - 1430 
"1150nm, 25.2 x 35.6mm, Dichroic Shortpass Filter",86-698,$135,45 ,Hard Coated ,1150 ,,Fused Silica ,>80 ,>97 Average Polarization ,1207 - 1495 ,>80 ,25.2 x 35.6 ,40-20 ,1.05 ,±0.05 ,>85 Average Polarization ,598 - 1104 ,Shortpass Filter ,+0.0/-0.1 ,?/4 ,,±2 ,>95 ,>95 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 ,598 - 1495 
"1200nm, 25.2 x 35.6mm, Dichroic Shortpass Filter",86-699,$135,45 ,Hard Coated ,1200 ,,Fused Silica ,>80 ,>97 Average Polarization ,1260 - 1560 ,>80 ,25.2 x 35.6 ,40-20 ,1.05 ,±0.05 ,>85 Average Polarization ,624 - 1152 ,Shortpass Filter ,+0.0/-0.1 ,?/4 ,,±2 ,>95 ,>95 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 ,624 - 1560 
