Title,Stock Number,Price,AOI (°),CA (mm),Coating,Cut-Off Wavelength (nm),Cut-On Wavelength (nm),Dia. (mm),Filter Thread,Substrate,Optical Density OD,Rejection Wavelength (nm),Thickness with Mount (mm),Surface Quality,Transmission (%),Transmission Wavelength (nm),Type,Stock No. of Unmounted Filter,Slope Factor (%),Cut-Off Tolerance (%),Coating Specification,Wavelength Range (nm)
650nm M30.5 x 0.5 Mounted Shortpass Filter,66-659,$125,0.00 ,22.0 ,Traditional Coated ,650.00 ,,33.50 ,M30.5 x 0.5 ,Fused Silica ,?2.0 ,675 - 850 ,9.2 ,40-20 ,>85 ,400 - 630 ,Mounted Imaging Filter ,#47-290 ,±3 ,±2 ,,400 - 850 
700nm M30.5 x 0.5 Mounted Shortpass Filter,66-660,$125,0.00 ,22.0 ,Traditional Coated ,700.00 ,,33.50 ,M30.5 x 0.5 ,Fused Silica ,?2.0 ,725 - 900 ,9.2 ,40-20 ,>85 ,400 - 680 ,Mounted Imaging Filter ,#47-291 ,±3 ,±2 ,,400 - 900 
750nm M30.5 x 0.5 Mounted Shortpass Filter,66-661,$125,0.00 ,22.0 ,Traditional Coated ,750.00 ,,33.50 ,M30.5 x 0.5 ,Fused Silica ,?2.0 ,800 - 990 ,9.2 ,40-20 ,>85 ,400 - 725 ,Mounted Imaging Filter ,#47-585 ,±3 ,±2 ,,400 - 990 
800nm M30.5 x 0.5 Mounted Shortpass Filter,66-662,$125,0.00 ,22.0 ,Traditional Coated ,800.00 ,,33.50 ,M30.5 x 0.5 ,Fused Silica ,?2.0 ,850 - 1050 ,9.2 ,40-20 ,>85 ,400 - 775 ,Mounted Imaging Filter ,#47-586 ,±3 ,±2 ,,400 - 1050 
850nm M30.5 x 0.5 Mounted Shortpass Filter,66-663,$125,0.00 ,22.0 ,Traditional Coated ,850.00 ,,33.50 ,M30.5 x 0.5 ,Fused Silica ,?2.0 ,910 - 1110 ,9.2 ,40-20 ,>85 ,400 - 820 ,Mounted Imaging Filter ,#47-587 ,±3 ,±2 ,,400 - 1110 
900nm M30.5 x 0.5 Mounted Shortpass Filter,66-664,$125,0.00 ,22.0 ,Traditional Coated ,900.00 ,,33.50 ,M30.5 x 0.5 ,Fused Silica ,?2.0 ,960 - 1170 ,9.2 ,40-20 ,>85 ,425 - 865 ,Mounted Imaging Filter ,#47-588 ,±3 ,±2 ,,425 - 1170 
950nm M30.5 x 0.5 Mounted Shortpass Filter,66-665,$125,0.00 ,22.0 ,Traditional Coated ,950.00 ,,33.50 ,M30.5 x 0.5 ,Fused Silica ,?2.0 ,1025 - 1235 ,9.2 ,40-20 ,>85 ,450 - 910 ,Mounted Imaging Filter ,#47-589 ,±3 ,±2 ,,450 - 1235 
400nm M25.5 x 0.5 Mounted Longpass Filter,66-669,$125,,22.0 ,Traditional Coated ,,400.00 ,28.00 ,M25.5 x 0.5 ,Fused Silica ,?2.0 ,200 - 375 ,9.9 ,40-20 ,>85 ,420 - 2000 ,Mounted Imaging Filter ,#47-614 ,,,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 ,200 - 2000 
450nm M25.5 x 0.5 Mounted Longpass Filter,66-670,$125,,22.0 ,Traditional Coated ,,450.00 ,28.00 ,M25.5 x 0.5 ,Fused Silica ,?2.0 ,200 - 430 ,9.9 ,40-20 ,>85 ,470 - 2000 ,Mounted Imaging Filter ,#47-615 ,,,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 ,200 - 2000 
500nm M25.5 x 0.5 Mounted Longpass Filter,66-671,$125,,22.0 ,Traditional Coated ,,500.00 ,28.00 ,M25.5 x 0.5 ,Fused Silica ,?2.0 ,200 - 480 ,9.9 ,40-20 ,>85 ,520 - 2000 ,Mounted Imaging Filter ,#47-616 ,,,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 ,200 - 2000 
