Title,Stock Number,Price,Dia. (mm),Cut-On Wavelength (nm),Rejection Wavelength (nm),Transmission Wavelength (nm),Thickness (mm),Thickness Tolerance (mm),Wavelength Range (nm),AOI (°),Coating,Substrate,Optical Density OD,Surface Quality,Transmission (%),Type,CA (%),"Transmitted Wavefront, P-V",Cut-On Tolerance (%),Slope Factor (%),Coating Specification
"475nm 25mm Diameter, OD 2 Longpass Filter",64-625,$125,25.00 +0.00/-0.20,475 ,200 - 455 ,495 - 2000 ,3.00 ,±0.1 ,200 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"475nm 50mm Diameter, OD 2 Longpass Filter",64-633,$195,50.00 +0.00/-0.20,475 ,200 - 455 ,495 - 2000 ,5.00 ,±0.1 ,200 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"500nm 12.5mm Diameter, OD 2 Longpass Filter",49-026,$89,12.50 +0.00/-0.20,500 ,200 - 480 ,520 - 2000 ,1.50 ,±0.1 ,200 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"500nm 25.0mm Diameter, OD 2 Longpass Filter",47-616,$125,25.00 +0.00/-0.20,500 ,200 - 480 ,520 - 2000 ,3.00 ,±0.1 ,200 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"500nm 50mm Diameter, OD 2 Longpass Filter",64-699,$195,50.00 +0.00/-0.20,500 ,200 - 480 ,520 - 2000 ,5.00 ,±0.1 ,200 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"525nm 12.5mm Diameter, OD 2 Longpass Filter",64-618,$89,12.50 +0.00/-0.20,525 ,200 - 505 ,545 - 2000 ,1.50 ,±0.1 ,200 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"525nm 25mm Diameter, OD 2 Longpass Filter",64-626,$125,25.00 +0.00/-0.20,525 ,200 - 505 ,545 - 2000 ,3.00 ,±0.1 ,200 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"525nm 50mm Diameter, OD 2 Longpass Filter",64-634,$195,50.00 +0.00/-0.20,525 ,200 - 505 ,545 - 2000 ,5.00 ,±0.1 ,200 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"550nm 12.5mm Diameter, OD 2 Longpass Filter",49-027,$89,12.50 +0.00/-0.20,550 ,415 - 515 ,575 - 2000 ,1.50 ,±0.1 ,415 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"550nm 25.0mm Diameter, OD 2 Longpass Filter",47-617,$125,25.00 +0.00/-0.20,550 ,415 - 515 ,575 - 2000 ,3.00 ,±0.1 ,415 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"550nm 50mm Diameter, OD 2 Longpass Filter",64-700,$195,50.00 +0.00/-0.20,550 ,415 - 515 ,575 - 2000 ,5.00 ,±0.1 ,415 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"575nm 12.5mm Diameter, OD 2 Longpass Filter",64-619,$89,12.50 +0.00/-0.20,575 ,440 - 540 ,600 - 2000 ,1.50 ,±0.1 ,440 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"575nm 25mm Diameter, OD 2 Longpass Filter",64-627,$125,25.00 +0.00/-0.20,575 ,440 - 540 ,600 - 2000 ,3.00 ,±0.1 ,440 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"575nm 50mm Diameter, OD 2 Longpass Filter",64-635,$195,50.00 +0.00/-0.20,575 ,440 - 540 ,600 - 2000 ,5.00 ,±0.1 ,440 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"600nm 12.5mm Diameter, OD 2 Longpass Filter",49-028,$89,12.50 +0.00/-0.20,600 ,460 - 570 ,625 - 2000 ,1.50 ,±0.1 ,460 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"600nm 25.0mm Diameter, OD 2 Longpass Filter",47-618,$125,25.00 +0.00/-0.20,600 ,460 - 570 ,625 - 2000 ,3.00 ,±0.1 ,460 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
