Title,Stock Number,Price,Dia. (mm),CWL (nm),FWHM (nm),Minimum Transmission (%),Blocking Wavelength Range (nm),Optical Density OD,CA (mm),Surface Quality,Coating,Mount Thickness (mm),Substrate,Substrate Thickness (mm),Type,Typical Applications
"532nm CWL, 12.5mm Dia., Hard Coated OD 4.0 5nm Bandpass Filter",39-332,$175,12.50 +0.0/-0.1,532 ±1.0,5 ±1.0,>85 ,200 - 1200 ,?4.0 ,8.8 ,80-50 ,Hard Coated ,5.0 ±0.1,Optical Glass ,3.5 ±0.5 typical,Bandpass Filter ,2nd Harmonic Nd:YAG Laser 
"532nm CWL, 25mm Dia., Hard Coated OD 4.0 5nm Bandpass Filter",39-356,$275,25.00 +0.0/-0.1,532 ±1.0,5 ±1.0,>85 ,200 - 1200 ,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ±0.1,Optical Glass ,3.5 ±0.5 typical,Bandpass Filter ,2nd Harmonic Nd:YAG Laser 
"532nm CWL, 50mm Dia., Hard Coated OD 4.0 5nm Bandpass Filter",39-378,$795,50.00 +0.0/-0.1,532 ±1.0,5 ±1.0,>85 ,200 - 1200 ,?4.0 ,45.3 ,80-50 ,Hard Coated ,5.0 ±0.1,Optical Glass ,3.5 ±0.5 typical,Bandpass Filter ,2nd Harmonic Nd:YAG Laser 
"633nm CWL, 12.5mm Dia., Hard Coated OD 4.0 5nm Bandpass Filter",39-333,$175,12.50 +0.0/-0.1,633 ±1.0,5 ±1.0,>85 ,200 - 1200 ,?4.0 ,8.8 ,80-50 ,Hard Coated ,5.0 ±0.1,Optical Glass ,3.5 ±0.5 typical,Bandpass Filter ,HeNe Laser 
"633nm CWL, 25mm Dia., Hard Coated OD 4.0 5nm Bandpass Filter",39-359,$275,25.00 +0.0/-0.1,633 ±1.0,5 ±1.0,>85 ,200 - 1200 ,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ±0.1,Optical Glass ,3.5 ±0.5 typical,Bandpass Filter ,HeNe Laser 
"633nm CWL, 50mm Dia., Hard Coated OD 4.0 5nm Bandpass Filter",39-379,$795,50.00 +0.0/-0.1,633 ±1.0,5 ±1.0,>85 ,200 - 1200 ,?4.0 ,45.3 ,80-50 ,Hard Coated ,5.0 ±0.1,Optical Glass ,3.5 ±0.5 typical,Bandpass Filter ,HeNe Laser 
"785nm CWL, 12.5mm Dia., Hard Coated OD 4.0 5nm Bandpass Filter",39-334,$175,12.50 +0.0/-0.1,785 ±1.0,5 ±1.0,>85 ,200 - 1200 ,?4.0 ,8.8 ,80-50 ,Hard Coated ,5.0 ±0.1,Optical Glass ,3.5 ±0.5 typical,Bandpass Filter ,Diode Laser 
"785nm CWL, 25mm Dia., Hard Coated OD 4.0 5nm Bandpass Filter",39-360,$275,25.00 +0.0/-0.1,785 ±1.0,5 ±1.0,>85 ,200 - 1200 ,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ±0.1,Optical Glass ,3.5 ±0.5 typical,Bandpass Filter ,Diode Laser 
"785nm CWL, 50mm Dia., Hard Coated OD 4.0 5nm Bandpass Filter",39-380,$795,50.00 +0.0/-0.1,785 ±1.0,5 ±1.0,>85 ,200 - 1200 ,?4.0 ,45.3 ,80-50 ,Hard Coated ,5.0 ±0.1,Optical Glass ,3.5 ±0.5 typical,Bandpass Filter ,Diode Laser 
"808nm CWL, 12.5mm Dia., Hard Coated OD 4.0 5nm Bandpass Filter",39-336,$175,12.50 +0.0/-0.1,808 ±1.0,5 ±1.0,>85 ,200 - 1200 ,?4.0 ,8.8 ,80-50 ,Hard Coated ,5.0 ±0.1,Optical Glass ,3.5 ±0.5 typical,Bandpass Filter ,Diode Laser 
"808nm CWL, 25mm Dia., Hard Coated OD 4.0 5nm Bandpass Filter",39-363,$275,25.00 +0.0/-0.1,808 ±1.0,5 ±1.0,>85 ,200 - 1200 ,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ±0.1,Optical Glass ,3.5 ±0.5 typical,Bandpass Filter ,Diode Laser 
"808nm CWL, 50mm Dia., Hard Coated OD 4.0 5nm Bandpass Filter",39-381,$795,50.00 +0.0/-0.1,808 ±1.0,5 ±1.0,>85 ,200 - 1200 ,?4.0 ,45.3 ,80-50 ,Hard Coated ,5.0 ±0.1,Optical Glass ,3.5 ±0.5 typical,Bandpass Filter ,Diode Laser 
"1064nm CWL, 12.5mm Dia., Hard Coated OD 4.0 5nm Bandpass Filter",39-337,$175,12.50 +0.0/-0.1,1064 ±1.0,5 ±1.0,>85 ,200 - 1200 ,?4.0 ,8.8 ,80-50 ,Hard Coated ,5.0 ±0.1,Optical Glass ,3.5 ±0.5 typical,Bandpass Filter ,Nd:YLF Laser 
"1064nm CWL, 25mm Dia., Hard Coated OD 4.0 5nm Bandpass Filter",39-364,$275,25.00 +0.0/-0.1,1064 ±1.0,5 ±1.0,>85 ,200 - 1200 ,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ±0.1,Optical Glass ,3.5 ±0.5 typical,Bandpass Filter ,Nd:YLF Laser 
"1064nm CWL, 50mm Dia., Hard Coated OD 4.0 5nm Bandpass Filter",39-382,$795,50.00 +0.0/-0.1,1064 ±1.0,5 ±1.0,>85 ,200 - 1200 ,?4.0 ,45.3 ,80-50 ,Hard Coated ,5.0 ±0.1,Optical Glass ,3.5 ±0.5 typical,Bandpass Filter ,Nd:YLF Laser 
