Title,Stock Number,Price,CA (mm),Coating,CWL (nm),Dia. (mm),FWHM (nm),FWHM Tolerance (nm),Optical Density OD,Surface Quality,Thickness (mm),Thickness Tolerance (mm),Transmission (%),Transmission Wavelength (nm),Type,Construction,Reflection at CWL (%),"Transmitted Wavefront, RMS",Mount Thickness (mm)
"532nm, 25mm Diameter, OD 4 Notch Filter",67-119,$335,21.3 ,Hard Coated ,532 ,25.00 +0.00/-0.10,26.6 ,±2.7 ,?4.0 ,60-40 ,5.00 ,±0.1 ,90 ,400 - 700 ,Notch Filter ,Mounted in Black Anodized Ring ,99 ,<1? ,5.0 
"632.8nm, 25mm Diameter, OD 4 Notch Filter",67-120,$335,21.3 ,Hard Coated ,632.8 ,25.00 +0.00/-0.10,31.6 ,±3.2 ,?4.0 ,60-40 ,5.00 ,±0.1 ,90 ,475 - 845 ,Notch Filter ,Mounted in Black Anodized Ring ,99 ,<1? ,5.0 
"785nm, 25mm Diameter, OD 4 Notch Filter",67-121,$335,21.3 ,Hard Coated ,785 ,25.00 +0.00/-0.10,39.2 ,±3.9 ,?4.0 ,60-40 ,5.00 ,±0.1 ,90 ,585 - 1045 ,Notch Filter ,Mounted in Black Anodized Ring ,99 ,<1? ,5.0 
"808nm, 25mm Diameter, OD 4 Notch Filter",86-702,$335,21.3 ,Hard Coated ,808 ,25.00 +0.00/-0.10,40.00 ,±6.0  ,?4.0 ,60-40  ,5.00 ,±0.1 ,90 ,600 - 1070  ,Notch Filter ,Mounted in Black Anodized Ring  ,99 ,<1? ,5.0 
"830nm, 25mm Diameter, OD 4 Notch Filter",86-703,$335,21.3 ,Hard Coated ,830 ,25.00 +0.00/-0.10,42.00 ,±6.0  ,?4.0 ,60-40  ,5.00 ,±0.1 ,90 ,625 - 1100  ,Notch Filter ,Mounted in Black Anodized Ring  ,99 ,<1? ,5.0 
"980nm, 25mm Diameter, OD 4 Notch Filter",67-122,$335,21.3 ,Hard Coated ,980 ,25.00 +0.00/-0.10,49.00 ,±4.9 ,?4.0 ,60-40 ,5.00 ,±0.1 ,90 ,735 - 1300 ,Notch Filter ,Mounted in Black Anodized Ring ,99 ,<1? ,5.0 
"1030nm, 25mm Diameter, OD 4 Notch Filter",39-384,$335,21.3 ,Hard Coated ,1030 ,25.00 +0.00/-0.10,51.5 ,±5.2 ,?4.0 ,60-40 ,5.00 ,±0.1 ,90 ,800 - 1400 ,Notch Filter ,Mounted in Black Anodized Ring ,99 ,<1? ,5.0 
"1064nm, 25mm Diameter, OD 4 Notch Filter",67-123,$335,21.3 ,Hard Coated ,1064 ,25.00 +0.00/-0.10,53.2 ,±5.3 ,?4.0 ,60-40 ,5.00 ,±0.1 ,90 ,800 - 1400 ,Notch Filter ,Mounted in Black Anodized Ring ,99 ,<1? ,5.0 
"355nm, 50mm Diameter, OD 4 Notch Filter",67-124,$750,42.5 ,Hard Coated ,355 ,50.00 +0.00/-0.10,17.8 ,±1.8 ,?4.0 ,60-40 ,5.00 ,±0.1 ,90 ,325 - 475 ,Notch Filter ,Mounted in Black Anodized Ring ,99 ,<1? ,5.0 
"405nm, 50mm Diameter, OD 4 Notch Filter",67-125,$750,42.5 ,Hard Coated ,405 ,50.00 +0.00/-0.10,20.2 ,±2.0 ,?4.0 ,60-40 ,5.00 ,±0.1 ,90 ,325 - 540 ,Notch Filter ,Mounted in Black Anodized Ring ,99 ,<1? ,5.0 
"488nm, 50mm Diameter, OD 4 Notch Filter",67-126,$750,42.5 ,Hard Coated ,488 ,50.00 +0.00/-0.10,24.4 ,±2.4 ,?4.0 ,60-40 ,5.00 ,±0.1 ,90 ,365 - 650 ,Notch Filter ,Mounted in Black Anodized Ring ,99 ,<1? ,5.0 
"514.5nm, 50mm Diameter, OD 4 Notch Filter",67-127,$750,42.5 ,Hard Coated ,514.5 ,50.00 +0.00/-0.10,25.7 ,±2.6 ,?4.0 ,60-40 ,5.00 ,±0.1 ,90 ,385 - 685 ,Notch Filter ,Mounted in Black Anodized Ring ,99 ,<1? ,5.0 
"532nm, 50mm Diameter, OD 4 Notch Filter",67-128,$750,42.5 ,Hard Coated ,532 ,50.00 +0.00/-0.10,26.6 ,±2.7 ,?4.0 ,60-40 ,5.00 ,±0.1 ,90 ,400 - 700 ,Notch Filter ,Mounted in Black Anodized Ring ,99 ,<1? ,5.0 
"632.8nm, 50mm Diameter, OD 4 Notch Filter",67-129,$750,42.5 ,Hard Coated ,632.8 ,50.00 +0.00/-0.10,31.6 ,±3.2 ,?4.0 ,60-40 ,5.00 ,±0.1 ,90 ,475 - 845 ,Notch Filter ,Mounted in Black Anodized Ring ,99 ,<1? ,5.0 
"785nm, 50mm Diameter, OD 4 Notch Filter",67-130,$750,42.5 ,Hard Coated ,785 ,50.00 +0.00/-0.10,39.2 ,±3.9 ,?4.0 ,60-40 ,5.00 ,±0.1 ,90 ,585 - 1045 ,Notch Filter ,Mounted in Black Anodized Ring ,99 ,<1? ,5.0 
"808nm, 50mm Diameter, OD 4 Notch Filter",86-704,$750,42.5 ,Hard Coated ,808 ,50.00 +0.00/-0.10,40.00 ,±6.0  ,?4.0 ,60-40  ,5.00 ,±0.1 ,90 ,600 - 1070  ,Notch Filter ,Mounted in Black Anodized Ring  ,99 ,<1? ,5.0 
"830nm, 50mm Diameter, OD 4 Notch Filter",86-705,$750,42.5 ,Hard Coated ,830 ,50.00 +0.00/-0.10,42.00 ,±6.0  ,?4.0 ,60-40  ,5.00 ,±0.1 ,90 ,625 - 1100  ,Notch Filter ,Mounted in Black Anodized Ring  ,99 ,<1? ,5.0 
"980nm, 50mm Diameter, OD 4 Notch Filter",67-131,$750,42.5 ,Hard Coated ,980 ,50.00 +0.00/-0.10,49.00 ,±4.9 ,?4.0 ,60-40 ,5.00 ,±0.1 ,90 ,735 - 1300 ,Notch Filter ,Mounted in Black Anodized Ring ,99 ,<1? ,5.0 
"1030nm, 50mm Diameter, OD 4 Notch Filter",39-385,$750,42.5 ,Hard Coated ,1030 ,50.00 +0.00/-0.10,51.5 ,±5.2 ,?4.0 ,60-40 ,5.00 ,±0.1 ,90 ,800 - 1400 ,Notch Filter ,Mounted in Black Anodized Ring ,99 ,<1? ,5.0 
"1064nm, 50mm Diameter, OD 4 Notch Filter",67-132,$750,42.5 ,Hard Coated ,1064 ,50.00 +0.00/-0.10,53.2 ,±5.3 ,?4.0 ,60-40 ,5.00 ,±0.1 ,90 ,800 - 1400 ,Notch Filter ,Mounted in Black Anodized Ring ,99 ,<1? ,5.0 
