Title,Stock Number,Price,Dia. (mm),Cut-On Wavelength (nm),Rejection Wavelength (nm),Transmission Wavelength (nm),Thickness (mm),Thickness Tolerance (mm),Wavelength Range (nm),AOI (°),Coating,Substrate,Optical Density OD,Surface Quality,Transmission (%),Type,CA (%),Durability,"Transmitted Wavefront, RMS",Cut-On Tolerance (%),Slope Factor (%),Coating Specification
"375nm 50mm Dia., High Performance Longpass Filter",34-303,$475,50.00 +0/-0.2,375 ,200 - 365 ,383 - 1600 ,1.50 ,±0.1 ,200 - 1600 ,0.00 ,Hard Coated ,UV Grade Fused Silica ,?4.0 ,60-40 ,>91 ,Longpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,±1 ,1.00 ,"Surface 1: Hard Dielectric Sputtered, Surface 2: MgF2 "
"400nm 50mm Dia., High Performance Longpass Filter",84-754,$450,50.00 +0.0/-0.2,400 ,200 - 390 ,408 - 1650 ,5.00 ,±0.1 ,200 - 1650 ,0.00 ,Hard Coated ,UV Grade Fused Silica ,?4.0 ,60-40 ,?91 ,Longpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,±1 ,<1 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 
"425nm 50mm Dia., High Performance Longpass Filter",84-748,$450,50.00 +0.0/-0.2,425 ,200 - 415 ,433 - 1650 ,5.00 ,±0.1 ,200 - 1650 ,0.00 ,Hard Coated ,UV Grade Fused Silica ,?4.0 ,60-40 ,?91 ,Longpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,±1 ,<1 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 
"450nm 50mm Dia., High Performance Longpass Filter",84-755,$450,50.00 +0.0/-0.2,450 ,200 - 440 ,458 - 1650 ,5.00 ,±0.1 ,200 - 1650 ,0.00 ,Hard Coated ,UV Grade Fused Silica ,?4.0 ,60-40 ,?91 ,Longpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,±1 ,<1 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 
"475nm 50mm Dia., High Performance Longpass Filter",84-749,$450,50.00 +0.0/-0.2,475 ,200 - 465 ,483 - 1650 ,5.00 ,±0.1 ,200 - 1650 ,0.00 ,Hard Coated ,UV Grade Fused Silica ,?4.0 ,60-40 ,?91 ,Longpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,±1 ,<1 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 
"500nm 50mm Dia., High Performance Longpass Filter",84-756,$450,50.00 +0.0/-0.2,500 ,200 - 490 ,508 - 1650 ,5.00 ,±0.1 ,200 - 1650 ,0.00 ,Hard Coated ,UV Grade Fused Silica ,?4.0 ,60-40 ,?91 ,Longpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,±1 ,<1 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 
"525nm 50mm Dia., High Performance Longpass Filter",84-750,$450,50.00 +0.0/-0.2,525 ,200 - 515 ,534 - 1650 ,5.00 ,±0.1 ,200 - 1650 ,0.00 ,Hard Coated ,UV Grade Fused Silica ,?4.0 ,60-40 ,?91 ,Longpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,±1 ,<1 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 
"550nm 50mm Dia., High Performance Longpass Filter",84-757,$450,50.00 +0.0/-0.2,550 ,200 - 539 ,560 - 1650 ,5.00 ,±0.1 ,200 - 1650 ,0.00 ,Hard Coated ,UV Grade Fused Silica ,?4.0 ,60-40 ,?91 ,Longpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,±1 ,<1 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 
"575nm 50mm Dia., High Performance Longpass Filter",84-751,$450,50.00 +0.0/-0.2,575 ,200 - 564 ,585 - 1650 ,5.00 ,±0.1 ,200 - 1650 ,0.00 ,Hard Coated ,UV Grade Fused Silica ,?4.0 ,60-40 ,?91 ,Longpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,±1 ,<1 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 
"600nm 50mm Dia., High Performance Longpass Filter",84-758,$450,50.00 +0.0/-0.2,600 ,200 - 588 ,610 - 1650 ,5.00 ,±0.1 ,200 - 1650 ,0.00 ,Hard Coated ,UV Grade Fused Silica ,?4.0 ,60-40 ,?91 ,Longpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,±1 ,<1 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 
"625nm 50mm Dia., High Performance Longpass Filter",84-752,$450,50.00 +0.0/-0.2,625 ,200 - 613 ,635 - 1650 ,5.00 ,±0.1 ,200 - 1650 ,0.00 ,Hard Coated ,UV Grade Fused Silica ,?4.0 ,60-40 ,?91 ,Longpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,±1 ,<1 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 
"650nm 50mm Dia., High Performance Longpass Filter",84-759,$450,50.00 +0.0/-0.2,650 ,200 - 637 ,660 - 1650 ,5.00 ,±0.1 ,200 - 1650 ,0.00 ,Hard Coated ,UV Grade Fused Silica ,?4.0 ,60-40 ,?91 ,Longpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,±1 ,<1 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 
"675nm 50mm Dia., High Performance Longpass Filter",84-753,$450,50.00 +0.0/-0.2,675 ,200 - 662 ,685 - 1650 ,5.00 ,±0.1 ,200 - 1650 ,0.00 ,Hard Coated ,UV Grade Fused Silica ,?4.0 ,60-40 ,?91 ,Longpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,±1 ,<1 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 
"700nm 50mm Dia., High Performance Longpass Filter",84-760,$450,50.00 +0.0/-0.2,700 ,200 - 686 ,710 - 1650 ,5.00 ,±0.1 ,200 - 1650 ,0.00 ,Hard Coated ,UV Grade Fused Silica ,?4.0 ,60-40 ,?91 ,Longpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,±1 ,<1 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 
"725nm 50mm Dia., High Performance Longpass Filter",86-076,$450,50.00 +0.0/-0.2,725 ,200 - 705 ,735 - 1650 ,5.00 ,±0.1 ,200 - 1650 ,0.00 ,Hard Coated ,UV Grade Fused Silica ,?4.0 ,60-40 ,?91 ,Longpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,±1 ,<1 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 
"750nm 50mm Dia., High Performance Longpass Filter",84-761,$450,50.00 +0.0/-0.2,750 ,200 - 735 ,765 - 1650 ,5.00 ,±0.1 ,200 - 1650 ,0.00 ,Hard Coated ,UV Grade Fused Silica ,?4.0 ,60-40 ,?91 ,Longpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,±1 ,<1 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 
"775nm 50mm Dia., High Performance Longpass Filter",86-077,$450,50.00 +0.0/-0.2,775 ,200 - 760 ,790 - 1650 ,5.00 ,±0.1 ,200 - 1650 ,0.00 ,Hard Coated ,UV Grade Fused Silica ,?4.0 ,60-40 ,?91 ,Longpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,±1 ,<1 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 
"800nm 50mm Dia., High Performance Longpass Filter",84-762,$450,50.00 +0.0/-0.2,800 ,200 - 785 ,815 - 1650 ,5.00 ,±0.1 ,200 - 1650 ,0.00 ,Hard Coated ,UV Grade Fused Silica ,?4.0 ,60-40 ,?91 ,Longpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,±1 ,<1 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 
"825nm 50mm Dia., High Performance Longpass Filter",86-078,$450,50.00 +0.0/-0.2,825 ,200 - 805 ,840 - 1650 ,5.00 ,±0.1 ,200 - 1650 ,0.00 ,Hard Coated ,UV Grade Fused Silica ,?4.0 ,60-40 ,?91 ,Longpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,±1 ,<1 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 
"850nm 50mm Dia., High Performance Longpass Filter",84-763,$450,50.00 +0.0/-0.2,850 ,200 - 835 ,865 - 1650 ,5.00 ,±0.1 ,200 - 1650 ,0.00 ,Hard Coated ,UV Grade Fused Silica ,?4.0 ,60-40 ,?91 ,Longpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,±1 ,<1 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 
"875nm 50mm Dia., High Performance Longpass Filter",86-079,$450,50.00 +0.0/-0.2,875 ,200 - 860 ,890 - 1650 ,5.00 ,±0.1 ,200 - 1650 ,0.00 ,Hard Coated ,UV Grade Fused Silica ,?4.0 ,60-40 ,?91 ,Longpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,±1 ,<1 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 
"900nm 50mm Dia., High Performance Longpass Filter",84-764,$450,50.00 +0.0/-0.2,900 ,200 - 880 ,915 - 1650 ,5.00 ,±0.1 ,200 - 1650 ,0.00 ,Hard Coated ,UV Grade Fused Silica ,?4.0 ,60-40 ,?91 ,Longpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,±1 ,<1 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 
"925nm 50mm Dia, High Performance Longpass Filter",86-080,$450,50.00 +0.0/-0.2,925 ,200 - 905 ,940 - 1650 ,5.00 ,±0.1 ,200 - 1650 ,0.00 ,Hard Coated ,UV Grade Fused Silica ,?4.0 ,60-40 ,?91 ,Longpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,±1 ,<1 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 
"950nm 50mm Dia., High Performance Longpass Filter",84-765,$450,50.00 +0.0/-0.2,950 ,200 - 930 ,965 - 1650 ,5.00 ,±0.1 ,200 - 1650 ,0.00 ,Hard Coated ,UV Grade Fused Silica ,?4.0 ,60-40 ,?91 ,Longpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,±1 ,<1 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 
"975nm 50mm Dia., High Performance Longpass Filter",86-081,$450,50.00 +0.0/-0.2,975 ,200 - 955 ,990 - 1650 ,5.00 ,±0.1 ,200 - 1650 ,0.00 ,Hard Coated ,UV Grade Fused Silica ,?4.0 ,60-40 ,?91 ,Longpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,±1 ,<1 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 
"1000nm 50mm Dia., High Performance Longpass Filter",84-766,$475,50.00 +0.0/-0.2,1000 ,200 - 980 ,1020 - 1650 ,5.00 ,±0.1 ,200 - 1650 ,0.00 ,Hard Coated ,UV Grade Fused Silica ,?4.0 ,60-40 ,?91 ,Longpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,±1 ,<1 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 
"1025nm 50mm Dia., High Performance Longpass Filter",86-082,$475,50.00 +0.0/-0.2,1025 ,200 - 1005 ,1045 - 1650 ,5.00 ,±0.1 ,200 - 1650 ,0.00 ,Hard Coated ,UV Grade Fused Silica ,?4.0 ,60-40 ,?91 ,Longpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,±1 ,<1 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 
"1050nm 50mm Dia., High Performance Longpass Filter",84-767,$475,50.00 +0.0/-0.2,1050 ,200 - 1030 ,1070 - 1650 ,5.00 ,±0.1 ,200 - 1650 ,0.00 ,Hard Coated ,UV Grade Fused Silica ,?4.0 ,60-40 ,?91 ,Longpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,±1 ,<1 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 
"1075nm 50mm Dia., High Performance Longpass Filter",86-083,$475,50.00 +0.0/-0.2,1075 ,200 - 1055 ,1095 - 1650 ,5.00 ,±0.1 ,200 - 1650 ,0.00 ,Hard Coated ,UV Grade Fused Silica ,?4.0 ,60-40 ,?91 ,Longpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,±1 ,<1 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 
"1100nm 50mm Dia., High Performance Longpass Filter",84-768,$475,50.00 +0.0/-0.2,1100 ,200 - 1080 ,1120 - 1650 ,5.00 ,±0.1 ,200 - 1650 ,0.00 ,Hard Coated ,UV Grade Fused Silica ,?4.0 ,60-40 ,?91 ,Longpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,±1 ,<1 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 
"1150nm 50.0mm Dia, High Performance Longpass Filter",89-665,$475,50.00  +0.0/-0.2,1150 ,200 - 1130 ,1170 - 1650 ,3.00 ,±0.1 ,200 - 1650 ,0.00 ,Hard Coated ,UV Grade Fused Silica ,?4.0 ,60-40 ,?91 ,Longpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,±1 ,<1 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 
"1200nm 50.0mm Dia, High Performance Longpass Filter",89-666,$475,50.00  +0.0/-0.2,1200 ,200 - 1180 ,1220 - 1650 ,3.00 ,±0.1 ,200 - 1650 ,0.00 ,Hard Coated ,UV Grade Fused Silica ,?4.0 ,60-40 ,?91 ,Longpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,±1 ,<1 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 
"1250nm 50.0mm Dia, High Performance Longpass Filter",89-667,$475,50.00  +0.0/-0.2,1250 ,200 - 1230 ,1270 - 1650 ,3.00 ,±0.1 ,200 - 1650 ,0.00 ,Hard Coated ,UV Grade Fused Silica ,?4.0 ,60-40 ,?91 ,Longpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,±1 ,<1 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 
"1300nm 50.0mm Dia, High Performance Longpass Filter",89-668,$475,50.00  +0.0/-0.2,1300 ,200 - 1280 ,1320 - 1650 ,3.00 ,±0.1 ,200 - 1650 ,0.00 ,Hard Coated ,UV Grade Fused Silica ,?4.0 ,60-40 ,?91 ,Longpass Filter ,>80 ,"MIL-C-48497A, Section 3.4.1 ",??/4 @ 633nm ,±1 ,<1 ,Surface 1: Hard Dielectric Sputtered Surface 2: MgF2 
