Title,Stock Number,Price,Dia. (mm),Dimensions (mm),Dimensional Tolerance (mm),Cut-On Wavelength (nm),Reflection Wavelength (nm),Transmission Wavelength (nm),Thickness (mm),Thickness Tolerance (mm),Wavelength Range (nm),AOI (°),Coating,Substrate,Reflection (%),Surface Quality,Transmission (%),Type,"Transmitted Wavefront, RMS",AOI Tolerance (°)
"403, 497 & 574nm, 25.2 x 35.6mm, Multi-Edge Dichroic Filter",87-284,$150,,25.2 x 35.6 ,+0.00/-0.10 ,"403, 497, & 574 ","375 - 393, 466 - 490, & 546 - 565 ","414 - 450, 505 - 528, & 584 - 700 ",1.05 ,±1.0 ,375 - 700 ,45.00 ,Hard Coated ,Fused Silica ,>95 ,60-40 ,>90 ,Dichroic Filter ,1? ,±1.0 
"436, 514 & 604nm, 12.5 x 17.6mm, Multi-Edge Dichroic Filter",87-269,$150,,12.5 x 17.6 ,+0.00/-0.10 ,"436, 514, & 604 ","375 - 414, 484 - 504, & 566 - 586 ","446 - 468, 520 - 540, & 614 - 700 ",1.05 ,±1.0 ,375 - 700 ,45.00 ,Hard Coated ,Fused Silica ,>95 ,60-40 ,>90 ,Dichroic Filter ,1? ,±1.0 
"436, 514 & 604nm, 25.0mm Dia., Multi-Edge Dichroic Filter",87-277,$150,25.00 ,,+0.00/-0.10 ,"436, 514, & 604 ","375 - 414, 484 - 504, & 566 - 586 ","446 - 468, 520 - 540, & 614 - 700 ",1.05 ,±1.0 ,375 - 700 ,45.00 ,Hard Coated ,Fused Silica ,>95 ,60-40 ,>90 ,Dichroic Filter ,1? ,±1.0 
"436, 514 & 604nm, 25.2 x 35.6mm, Multi-Edge Dichroic Filter",87-285,$150,,25.2 x 35.6 ,+0.00/-0.10 ,"436, 514, & 604 ","375 - 414, 484 - 504, & 566 - 586 ","446 - 468, 520 - 540, & 614 - 700 ",1.05 ,±1.0 ,375 - 700 ,45.00 ,Hard Coated ,Fused Silica ,>95 ,60-40 ,>90 ,Dichroic Filter ,1? ,±1.0 
"444, 521 & 608nm, 12.5mm Dia., Multi-Edge Dichroic Filter",87-262,$150,12.50 ,,+0.00/-0.10 ,"444, 521, & 608 ","400 - 430, 496 - 510, & 579 - 596 ","451 - 480, 530 - 561, & 618 - 700 ",1.05 ,±1.0 ,400 - 700 ,45.00 ,Hard Coated ,Fused Silica ,>95 ,60-40 ,>90 ,Dichroic Filter ,1? ,±1.0 
"444, 521 & 608nm, 12.5 x 17.6mm, Multi-Edge Dichroic Filter",87-270,$150,,12.5 x 17.6 ,+0.00/-0.10 ,"444, 521, & 608 ","400 - 430, 496 - 510, & 579 - 596 ","451 - 480, 530 - 561, & 618 - 700 ",1.05 ,±1.0 ,400 - 700 ,45.00 ,Hard Coated ,Fused Silica ,>95 ,60-40 ,>90 ,Dichroic Filter ,1? ,±1.0 
"444, 521 & 608nm, 25.0mm Dia., Multi-Edge Dichroic Filter",87-278,$150,25.00 ,,+0.00/-0.10 ,"444, 521, & 608 ","400 - 430, 496 - 510, & 579 - 596 ","451 - 480, 530 - 561, & 618 - 700 ",1.05 ,±1.0 ,400 - 700 ,45.00 ,Hard Coated ,Fused Silica ,>95 ,60-40 ,>90 ,Dichroic Filter ,1? ,±1.0 
"444, 521 & 608nm, 25.2 x 35.6mm, Multi-Edge Dichroic Filter",87-286,$150,,25.2 x 35.6 ,+0.00/-0.10 ,"444, 521, & 608 ","400 - 430, 496 - 510, & 579 - 596 ","451 - 480, 530 - 561, & 618 - 700 ",1.05 ,±1.0 ,400 - 700 ,45.00 ,Hard Coated ,Fused Silica ,>95 ,60-40 ,>90 ,Dichroic Filter ,1? ,±1.0 
"410, 504, 582 & 669nm, 12.5mm Dia., Multi-Edge Dichroic Filter",87-263,$125,12.50 ,,+0.00/-0.10 ,"410, 504, 582, & 669 ","375 - 392.5, 475 - 495, 547 - 572, & 643 - 656 ","420 - 460, 510 - 531, 590 - 624, & 677 - 725 ",1.05 ,±1.0 ,375 - 725 ,45.00 ,Hard Coated ,Fused Silica ,>95 ,60-40 ,>90 ,Dichroic Filter ,1? ,±1.0 
"410, 504, 582 & 669nm, 12.5 x 17.6mm, Multi-Edge Dichroic Filter",87-271,$125,,12.5 x 17.6 ,+0.00/-0.10 ,"410, 504, 582, & 669 ","375 - 392.5, 475 - 495, 547 - 572, & 643 - 656 ","420 - 460, 510 - 531, 590 - 624, & 677 - 725 ",1.05 ,±1.0 ,375 - 725 ,45.00 ,Hard Coated ,Fused Silica ,>95 ,60-40 ,>90 ,Dichroic Filter ,1? ,±1.0 
"410, 504 / 582 & 669nm, 25.0mm Dia., Multi-Edge Dichroic Filter",87-279,$150,25.00 ,,+0.00/-0.10 ,"410, 504, 582, & 669 ","375 - 392.5, 475 - 495, 547 - 572, & 643 - 656 ","420 - 460, 510 - 531, 590 - 624, & 677 - 725 ",1.05 ,±1.0 ,375 - 725 ,45.00 ,Hard Coated ,Fused Silica ,>95 ,60-40 ,>90 ,Dichroic Filter ,1? ,±1.0 
"410, 504, 582 & 669nm, 25.2 x 35.6mm, Multi-Edge Dichroic Filter",87-287,$150,,25.2 x 35.6 ,+0.00/-0.10 ,"410, 504, 582, & 669 ","375 - 392.5, 475 - 495, 547 - 572, & 643 - 656 ","420 - 460, 510 - 531, 590 - 624, & 677 - 725 ",1.05 ,±1.0 ,375 - 725 ,45.00 ,Hard Coated ,Fused Silica ,>95 ,60-40 ,>90 ,Dichroic Filter ,1? ,±1.0 
