Title,Stock Number,Price,Dia. (mm),CWL (nm),CWL Tolerance (nm),FWHM (nm),FWHM Tolerance (nm),Minimum Transmission (%),Blocking Wavelength Range (nm),Compatible Fluorophore,Optical Density OD,CA (mm),Surface Quality,Coating,Durability,Mount Thickness (mm),Substrate,Substrate Thickness (mm),Type
"900nm CWL, 25mm Dia. Hard Coated OD 4 25nm Bandpass Filter",86-662,$205,25.00 +0.0/-0.1,900.00 ,±3 ,25.00 ,±3 ,?90 ,200 - 1200 ,,?4.0 ,21.0 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"900nm CWL, 50mm Dia. Hard Coated OD 4 25nm Bandpass Filter",86-674,$495,50.00 +0.0/-0.1,900.00 ,±3 ,25.00 ,±3 ,?90 ,200 - 1200 ,,?4.0 ,45.0 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"925nm CWL, 12.5mm Dia. Hard Coated OD 4 25nm Bandpass Filter",87-785,$130,12.50 +0.0/-0.1,925.00 ,±3 ,25.00 ,±3 ,>90 ,200 - 1200 ,,?4.0 ,8.5 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"925nm CWL, 25mm Dia. Hard Coated OD 4 25nm Bandpass Filter",87-797,$205,25.00 +0.0/-0.1,925.00 ,±3 ,25.00 ,±3 ,>90 ,200 - 1200 ,,?4.0 ,21.0 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"925nm CWL, 50mm Dia. Hard Coated OD 4 25nm Bandpass Filter",87-809,$495,50.00 +0.0/-0.1,925.00 ,±3 ,25.00 ,±3 ,>90 ,200 - 1200 ,,?4.0 ,45.0 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"950nm CWL, 12.5mm Dia. Hard Coated OD 4 25nm Bandpass Filter",86-651,$130,12.50 +0.0/-0.1,950.00 ,±3 ,25.00 ,±3 ,?90 ,200 - 1200 ,,?4.0 ,8.5 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"950nm CWL, 25mm Dia. Hard Coated OD 4 25nm Bandpass Filter",86-663,$205,25.00 +0.0/-0.1,950.00 ,±3 ,25.00 ,±3 ,?90 ,200 - 1200 ,,?4.0 ,21.0 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"950nm CWL, 50mm Dia. Hard Coated OD 4 25nm Bandpass Filter",86-675,$495,50.00 +0.0/-0.1,950.00 ,±3 ,25.00 ,±3 ,?90 ,200 - 1200 ,,?4.0 ,45.0 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"975nm CWL, 12.5mm Dia. Hard Coated OD 4 25nm Bandpass Filter",87-786,$130,12.50 +0.0/-0.1,975.00 ,±3 ,25.00 ,±3 ,>90 ,200 - 1200 ,,?4.0 ,8.5 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"975nm CWL, 25mm Dia. Hard Coated OD 4 25nm Bandpass Filter",87-798,$205,25.00 +0.0/-0.1,975.00 ,±3 ,25.00 ,±3 ,>90 ,200 - 1200 ,,?4.0 ,21.0 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"975nm CWL, 50mm Dia. Hard Coated OD 4 25nm Bandpass Filter",87-810,$495,50.00 +0.0/-0.1,975.00 ,±3 ,25.00 ,±3 ,>90 ,200 - 1200 ,,?4.0 ,45.0 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"1000nm CWL, 12.5mm Dia. Hard Coated OD 4 25nm Bandpass Filter",87-811,$155,12.50 +0.0/-0.1,1000.00 ,±3 ,25.00 ,±3 ,>90 ,200 - 1500 ,,?4.0 ,8.5 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"1000nm CWL, 25mm Dia. Hard Coated OD 4 25nm Bandpass Filter",87-823,$255,25.00 +0.0/-0.1,1000.00 ,±3 ,25.00 ,±3 ,>90 ,200 - 1500 ,,?4.0 ,21.0 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"1000nm CWL, 50mm Dia. Hard Coated OD 4 25nm Bandpass Filter",87-835,$595,50.00 +0.0/-0.1,1000.00 ,±3 ,25.00 ,±3 ,>90 ,200 - 1500 ,,?4.0 ,45.0 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"1050nm CWL, 12.5mm Dia. Hard Coated OD 4 25nm Bandpass Filter",87-812,$155,12.50 +0.0/-0.1,1050.00 ,±3 ,25.00 ,±3 ,>90 ,200 - 1500 ,,?4.0 ,8.5 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"1050nm CWL, 25mm Dia. Hard Coated OD 4 25nm Bandpass Filter",87-824,$255,25.00 +0.0/-0.1,1050.00 ,±3 ,25.00 ,±3 ,>90 ,200 - 1500 ,,?4.0 ,21.0 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"1050nm CWL, 50mm Dia. Hard Coated OD 4 25nm Bandpass Filter",87-836,$595,50.00 +0.0/-0.1,1050.00 ,±3 ,25.00 ,±3 ,>90 ,200 - 1500 ,,?4.0 ,45.0 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"1100nm CWL, 12.5mm Dia. Hard Coated OD 4 25nm Bandpass Filter",87-813,$155,12.50 +0.0/-0.1,1100.00 ,±3 ,25.00 ,±3 ,>90 ,200 - 1500 ,,?4.0 ,8.5 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"1100nm CWL, 25mm Dia. Hard Coated OD 4 25nm Bandpass Filter",87-825,$255,25.00 +0.0/-0.1,1100.00 ,±3 ,25.00 ,±3 ,>90 ,200 - 1500 ,,?4.0 ,21.0 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"1100nm CWL, 50mm Dia. Hard Coated OD 4 25nm Bandpass Filter",87-837,$595,50.00 +0.0/-0.1,1100.00 ,±3 ,25.00 ,±3 ,>90 ,200 - 1500 ,,?4.0 ,45.0 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"1150nm CWL, 12.5mm Dia. Hard Coated OD 4 25nm Bandpass Filter",87-814,$155,12.50 +0.0/-0.1,1150.00 ,±3 ,25.00 ,±3 ,>90 ,200 - 1500 ,,?4.0 ,8.5 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"1150nm CWL, 25mm Dia. Hard Coated OD 4 25nm Bandpass Filter",87-826,$255,25.00 +0.0/-0.1,1150.00 ,±3 ,25.00 ,±3 ,>90 ,200 - 1500 ,,?4.0 ,21.0 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"1150nm CWL, 50mm Dia. Hard Coated OD 4 25nm Bandpass Filter",87-838,$595,50.00 +0.0/-0.1,1150.00 ,±3 ,25.00 ,±3 ,>90 ,200 - 1500 ,,?4.0 ,45.0 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"1200nm CWL, 12.5mm Dia. Hard Coated OD 4 25nm Bandpass Filter",87-815,$155,12.50 +0.0/-0.1,1200.00 ,±3 ,25.00 ,±3 ,>90 ,200 - 1500 ,,?4.0 ,8.5 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"1200nm CWL, 25mm Dia. Hard Coated OD 4 25nm Bandpass Filter",87-827,$255,25.00 +0.0/-0.1,1200.00 ,±3 ,25.00 ,±3 ,>90 ,200 - 1500 ,,?4.0 ,21.0 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"1200nm CWL, 50mm Dia. Hard Coated OD 4 25nm Bandpass Filter",87-839,$595,50.00 +0.0/-0.1,1200.00 ,±3 ,25.00 ,±3 ,>90 ,200 - 1500 ,,?4.0 ,45.0 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"1250nm CWL, 12.5mm Dia. Hard Coated OD 4 25nm Bandpass Filter",87-816,$155,12.50 +0.0/-0.1,1250.00 ,±3 ,25.00 ,±3 ,>90 ,200 - 1800 ,,?4.0 ,8.5 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"1250nm CWL, 25mm Dia. Hard Coated OD 4 25nm Bandpass Filter",87-828,$255,25.00 +0.0/-0.1,1250.00 ,±3 ,25.00 ,±3 ,>90 ,200 - 1800 ,,?4.0 ,21.0 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"1250nm CWL, 50mm Dia. Hard Coated OD 4 25nm Bandpass Filter",87-840,$595,50.00 +0.0/-0.1,1250.00 ,±3 ,25.00 ,±3 ,>90 ,200 - 1800 ,,?4.0 ,45.0 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"1300nm CWL, 12.5mm Dia. Hard Coated OD 4 25nm Bandpass Filter",87-817,$155,12.50 +0.0/-0.1,1300.00 ,±3 ,25.00 ,±3 ,>90 ,200 - 1800 ,,?4.0 ,8.5 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"1300nm CWL, 25mm Dia. Hard Coated OD 4 25nm Bandpass Filter",87-829,$255,25.00 +0.0/-0.1,1300.00 ,±3 ,25.00 ,±3 ,>90 ,200 - 1800 ,,?4.0 ,21.0 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"1300nm CWL, 50mm Dia. Hard Coated OD 4 25nm Bandpass Filter",87-841,$595,50.00 +0.0/-0.1,1300.00 ,±3 ,25.00 ,±3 ,>90 ,200 - 1800 ,,?4.0 ,45.0 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"1350nm CWL, 12.5mm Dia. Hard Coated OD 4 25nm Bandpass Filter",87-818,$155,12.50 +0.0/-0.1,1350.00 ,±3 ,25.00 ,±3 ,>90 ,200 - 1800 ,,?4.0 ,8.5 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"1350nm CWL, 25mm Dia. Hard Coated OD 4 25nm Bandpass Filter",87-830,$255,25.00 +0.0/-0.1,1350.00 ,±3 ,25.00 ,±3 ,>90 ,200 - 1800 ,,?4.0 ,21.0 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"1350nm CWL, 50mm Dia. Hard Coated OD 4 25nm Bandpass Filter",87-842,$595,50.00 +0.0/-0.1,1350.00 ,±3 ,25.00 ,±3 ,>90 ,200 - 1800 ,,?4.0 ,45.0 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"1400nm CWL, 12.5mm Dia. Hard Coated OD 4 25nm Bandpass Filter",87-819,$155,12.50 +0.0/-0.1,1400.00 ,±3 ,25.00 ,±3 ,>90 ,200 - 1800 ,,?4.0 ,8.5 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"1400nm CWL, 25mm Dia. Hard Coated OD 4 25nm Bandpass Filter",87-831,$255,25.00 +0.0/-0.1,1400.00 ,±3 ,25.00 ,±3 ,>90 ,200 - 1800 ,,?4.0 ,21.0 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"1400nm CWL, 50mm Dia. Hard Coated OD 4 25nm Bandpass Filter",87-843,$595,50.00 +0.0/-0.1,1400.00 ,±3 ,25.00 ,±3 ,>90 ,200 - 1800 ,,?4.0 ,45.0 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"1450nm CWL, 12.5mm Dia. Hard Coated OD 4 25nm Bandpass Filter",87-820,$155,12.50 +0.0/-0.1,1450.00 ,±3 ,25.00 ,±3 ,>90 ,200 - 1800 ,,?4.0 ,8.5 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"1450nm CWL, 25mm Dia. Hard Coated OD 4 25nm Bandpass Filter",87-832,$255,25.00 +0.0/-0.1,1450.00 ,±3 ,25.00 ,±3 ,>90 ,200 - 1800 ,,?4.0 ,21.0 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"1450nm CWL, 50mm Dia. Hard Coated OD 4 25nm Bandpass Filter",87-844,$595,50.00 +0.0/-0.1,1450.00 ,±3 ,25.00 ,±3 ,>90 ,200 - 1800 ,,?4.0 ,45.0 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"1500nm CWL, 12.5mm Dia. Hard Coated OD 4 25nm Bandpass Filter",87-821,$155,12.50 +0.0/-0.1,1500.00 ,±3 ,25.00 ,±3 ,>90 ,200 - 1800 ,,?4.0 ,8.5 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"1500nm CWL, 25mm Dia. Hard Coated OD 4 25nm Bandpass Filter",87-833,$255,25.00 +0.0/-0.1,1500.00 ,±3 ,25.00 ,±3 ,>90 ,200 - 1800 ,,?4.0 ,21.0 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"1500nm CWL, 50mm Dia. Hard Coated OD 4 25nm Bandpass Filter",87-845,$595,50.00 +0.0/-0.1,1500.00 ,±3 ,25.00 ,±3 ,>90 ,200 - 1800 ,,?4.0 ,45.0 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"1550nm CWL, 12.5mm Dia. Hard Coated OD 4 25nm Bandpass Filter",87-822,$155,12.50 +0.0/-0.1,1550.00 ,±3 ,25.00 ,±3 ,>90 ,200 - 1800 ,,?4.0 ,8.5 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"1550nm CWL, 25mm Dia. Hard Coated OD 4 25nm Bandpass Filter",87-834,$255,25.00 +0.0/-0.1,1550.00 ,±3 ,25.00 ,±3 ,>90 ,200 - 1800 ,,?4.0 ,21.0 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"1550nm CWL, 50mm Dia. Hard Coated OD 4 25nm Bandpass Filter",87-846,$595,50.00 +0.0/-0.1,1550.00 ,±3 ,25.00 ,±3 ,>90 ,200 - 1800 ,,?4.0 ,45.0 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
