"","name","price","nm.FWHM","nm.CWL"
"195","U-330 (UV) 25.4mm Dia., Colored Glass Bandpass Filter",63.5,140,330
"196","U-330 (UV) 25mm Square, Colored Glass Bandpass Filter",63.5,140,330
"197","U-330 (UV) 50.8mm Square, Colored Glass Bandpass Filter",145,140,330
"198","U-340 (UV) 12mm Dia., Colored Glass Bandpass Filter",31,85,340
"199","U-340 (UV) 25.4mm Dia., Colored Glass Bandpass Filter",63.5,85,340
"200","U-340 (UV) 25mm Square, Colored Glass Bandpass Filter",63.5,85,340
"201","U-340 (UV) 50.8mm Square, Colored Glass Bandpass Filter",145,85,340
"202","U-360 (UV) 12mm Dia., Colored Glass Bandpass Filter",28.5,45,360
"203","U-340 (UV) 25.4mm Dia., VIS 0° Coated, Colored Glass Bandpass Filter",75,85,340
"204","U-360 (UV) 25.4mm Dia., Colored Glass Bandpass Filter",49,45,360
"205","U-360 (UV) 25mm Square, Colored Glass Bandpass Filter",49,45,360
"206","U-360 (UV) 50.8mm Square, Colored Glass Bandpass Filter",92.5,45,360
"207","UG-1 (UV) 25.4mm Dia., Colored Glass Bandpass Filter",35.5,53,355
"208","UG-1 (UV) 50.8mm Square, Colored Glass Bandpass Filter",69.5,53,355
"209","UG-5 (UV) 25.4mm Dia., Colored Glass Bandpass Filter ",85,175,318
"210","UG-5 (UV) 50.8mm Square, Colored Glass Bandpass Filter ",205,175,318
"211","UG-11 (UV) 25.4mm Dia., Colored Glass Bandpass Filter ",85,110,325
"212","UG-11 (UV) 50.8mm Square, Colored Glass Bandpass Filter ",205,110,325
"213","VG-9 (VIS) 50.8mm Square, Colored Glass Bandpass Filter",69.5,120,526
"214","VG-9 (VIS) 25.4mm Dia., Colored Glass Bandpass Filter",35.5,120,526
"215","122nm, 15.9mm Dia. Deep UV Bandpass Filter",1355,20,122
"216","122nm, 30.5mm Dia. Deep UV Bandpass Filter",1425,20,122
"217","122nm, 56.5mm Dia. Deep UV Bandpass Filter",1850,20,122
"218","193nm, 15.9mm Dia. Deep UV Bandpass Filter",855,20,193
"219","193nm, 30.5mm Dia. Deep UV Bandpass Filter",925,20,193
"220","193nm, 56.5mm Dia. Deep UV Bandpass Filter",995,20,193
"221","248nm, 15.9mm Dia. Deep UV Bandpass Filter",855,20,248
"222","248nm, 30.5mm Dia. Deep UV Bandpass Filter",925,20,248
"223","248nm, 56.5mm Dia. Deep UV Bandpass Filter",995,20,248
"224","308nm, 15.9mm Dia. Deep UV Bandpass Filter",455,20,308
"225","308nm, 30.5mm Dia. Deep UV Bandpass Filter",525,20,308
"226","308nm, 56.5mm Dia. Deep UV Bandpass Filter",625,20,308
"384","193nm, 10nm FWHM, 25mm Dia. First Surface UV Bandpass Filter",295,NA,NA
"385","214nm, 10nm FWHM, 25mm Dia. First Surface UV Bandpass Filter",295,NA,NA
"386","214nm, 22nm FWHM, 25mm Dia. First Surface UV Bandpass Filter",295,NA,NA
"387","220nm, 10nm FWHM, 25mm Dia. First Surface UV Bandpass Filter",295,NA,NA
"388","228nm, 10nm FWHM, 25mm Dia. First Surface UV Bandpass Filter",295,NA,NA
"389","228nm, 25nm FWHM, 25mm Dia. First Surface UV Bandpass Filter",295,NA,NA
"390","232nm, 10nm FWHM, 25mm Dia. First Surface UV Bandpass Filter",295,NA,NA
"391","239nm, 10nm FWHM, 25mm Dia. First Surface UV Bandpass Filter",295,NA,NA
"392","248nm, 10nm FWHM, 25mm Dia. First Surface UV Bandpass Filter",295,NA,NA
"393","253.7nm, 10nm FWHM, 25mm Dia. First Surface UV Bandpass Filter",295,NA,NA
"394","253.7nm, 25nm FWHM, 25mm Dia. First Surface UV Bandpass Filter",295,NA,NA
"395","260nm, 10nm FWHM, 25mm Dia. First Surface UV Bandpass Filter",295,NA,NA
"396","265nm, 10nm FWHM, 25mm Dia. First Surface UV Bandpass Filter",295,NA,NA
"397","280nm, 10nm FWHM, 25mm Dia. First Surface UV Bandpass Filter",295,NA,NA
"398","289nm, 10nm FWHM, 25mm Dia. First Surface UV Bandpass Filter",295,NA,NA
"399","300nm, 10nm FWHM, 25mm Dia. First Surface UV Bandpass Filter",295,NA,NA
"400","313nm, 10nm FWHM, 25mm Dia. First Surface UV Bandpass Filter",295,NA,NA
"401","340nm CWL, 12.5mm Dia, 26nm Bandwidth, OD 6 Fluorescence Filter",195,29,340
"402","340nm CWL, 25mm Dia, 26nm Bandwidth, OD 6 Fluorescence Filter",260,29,340
"403","340nm CWL, 50mm Dia, 26nm Bandwidth, OD 6 Fluorescence Filter",675,29,340
"404","357nm CWL, 12.5mm Dia, 44nm Bandwidth, OD 6 Fluorescence Filter",195,48,357
"405","357nm CWL, 25mm Dia, 44nm Bandwidth, OD 6 Fluorescence Filter",260,48,357
"406","357nm CWL, 50mm Dia, 44nm Bandwidth, OD 6 Fluorescence Filter",675,48,357
"407","370nm CWL, 12.5mm Dia, 36nm Bandwidth, OD 6 Fluorescence Filter",195,40,370
"408","370nm CWL, 25mm Dia, 36nm Bandwidth, OD 6 Fluorescence Filter",260,40,370
"409","370nm CWL, 50mm Dia, 36nm Bandwidth, OD 6 Fluorescence Filter",675,40,370
"410","377nm CWL, 12.5mm Dia, 50nm Bandwidth, OD 6 Fluorescence Filter",195,54,377
"411","377nm CWL, 25mm Dia, 50nm Bandwidth, OD 6 Fluorescence Filter",260,54,377
"412","377nm CWL, 50mm Dia, 50nm Bandwidth, OD 6 Fluorescence Filter",675,54,377
"413","386nm CWL, 12.5mm Dia, 23nm Bandwidth, OD 6 Fluorescence Filter",195,27,386
"414","386nm CWL, 25mm Dia, 23nm Bandwidth, OD 6 Fluorescence Filter",260,27,386
"415","386nm CWL, 50mm Dia, 23nm Bandwidth, OD 6 Fluorescence Filter",675,27,386
"416","387nm CWL, 12.5mm Dia, 11nm Bandwidth, OD 6 Fluorescence Filter",195,15,387
"417","387nm CWL, 25mm Dia, 11nm Bandwidth, OD 6 Fluorescence Filter",260,15,387
"418","387nm CWL, 50mm Dia, 11nm Bandwidth, OD 6 Fluorescence Filter",675,15,387
"419","390nm CWL, 12.5mm Dia, 40nm Bandwidth, OD 6 Fluorescence Filter",195,45,390
