Title,Stock Number,Price,Dia. (mm),Cut-On Wavelength (nm),Reflection Wavelength (nm),Transmission Wavelength (nm),Thickness Tolerance (mm),Wavelength Range (nm),AOI (°),CA (mm),Coating,Substrate,Reflected Laser Wavelength (nm),Reflection (%),Surface Quality,Transmission (%),Transmitted Laser Wavelength (nm),Type,Construction,Durability,"Transmitted Wavefront, RMS",Mount Thickness (mm)
"552nm, 25mm Diameter, Dichroic Laser Beam Combiner",86-393,$195,25.00 +0.0/-0.1,552 ,514.5 - 543.5 ,561.4 - 790 ,±0.1 ,515 - 790 ,45 ,21.3 ,Hard Coated ,Fused Silica ,"514.5, 532, 543.5 ",>98 ,60-40 ,>95 ,"561.4, 568.2, 594.1, 632.8, 635, 647.1, 671, 676.4, 785 ",Dichroic Beam Combiner ,Dichroic ,MIL-C-48497A ,<1? ,3.5 
"613nm, 25mm Diameter, Dichroic Laser Beam Combiner",86-394,$195,25.00 +0.0/-0.1,613 ,561.4 - 564.1 ,632.8 - 790 ,±0.1 ,561 - 790 ,45 ,21.3 ,Hard Coated ,Fused Silica ,"561.4, 568.2, 594.1 ",>98 ,60-40 ,>95 ,"632.8, 635, 647.1, 671, 676.4, 785 ",Dichroic Beam Combiner ,Dichroic ,MIL-C-48497A ,<1? ,3.5 
"659nm, 25mm Diameter, Dichroic Laser Beam Combiner",86-395,$195,25.00 +0.0/-0.1,659 ,632.8 - 647.1 ,671 - 790 ,±0.1 ,633 - 790 ,45 ,21.3 ,Hard Coated ,Fused Silica ,"632.8, 635, 647.1 ",>98 ,60-40 ,>95 ,"671, 676.4, 785 ",Dichroic Beam Combiner ,Dichroic ,MIL-C-48497A ,<1? ,3.5 
"427nm, 50mm Diameter, Dichroic Laser Beam Combiner",86-396,$475,50.00 +0.0/-0.1,427 ,372 - 415 ,439 - 647.1 ,±0.1 ,372 - 647 ,45 ,45.3 ,Hard Coated ,Fused Silica ,"375, 405 ",>98 ,60-40 ,>95 ,"440, 457.9, 473, 488, 514.5, 532, 543.5, 561.4, 568.2, 594.1, 632.8, 635, 647.1 ",Dichroic Beam Combiner ,Dichroic ,MIL-C-48497A ,<1? ,3.5 
"466nm, 50mm Diameter, Dichroic Laser Beam Combiner",86-397,$475,50.00 +0.0/-0.1,466 ,439 - 457.9 ,473 - 647.1 ,±0.1 ,439 - 647 ,45 ,45.3 ,Hard Coated ,Fused Silica ,"440, 457.9 ",>98 ,60-40 ,>95 ,"473, 488, 514.5, 532, 543.5, 561.4, 568.2, 594.1, 632.8, 635, 647.1 ",Dichroic Beam Combiner ,Dichroic ,MIL-C-48497A ,<1? ,3.5 
"480nm, 50mm Diameter, Dichroic Laser Beam Combiner",86-398,$475,50.00 +0.0/-0.1,480 ,457.9 - 473 ,488 - 647.1 ,±0.1 ,458 - 647 ,45 ,45.3 ,Hard Coated ,Fused Silica ,"457.9, 473 ",>98 ,60-40 ,>95 ,"488, 514.5, 532, 543.5, 561.4, 568.2, 594.1, 632.8, 635, 647.1 ",Dichroic Beam Combiner ,Dichroic ,MIL-C-48497A ,<1? ,3.5 
"503nm, 50mm Diameter, Dichroic Laser Beam Combiner",86-399,$475,50.00 +0.0/-0.1,503 ,473 - 491 ,515.5 - 647.1 ,±0.1 ,473 - 647 ,45 ,45.3 ,Hard Coated ,Fused Silica ,"473, 488 ",>98 ,60-40 ,>95 ,"514.5, 532, 543.5, 561.4, 568.2, 594.1, 632.8, 635, 647.1 ",Dichroic Beam Combiner ,Dichroic ,MIL-C-48497A ,<1? ,3.5 
"552nm, 50mm Diameter, Dichroic Laser Beam Combiner",86-400,$475,50.00 +0.0/-0.1,552 ,514.5 - 543.5 ,561.4 - 790 ,±0.1 ,515 - 790 ,45 ,45.3 ,Hard Coated ,Fused Silica ,"514.5, 532, 543.5 ",>98 ,60-40 ,>95 ,"561.4, 568.2, 594.1, 632.8, 635, 647.1, 671, 676.4, 785 ",Dichroic Beam Combiner ,Dichroic ,MIL-C-48497A ,<1? ,3.5 
"613nm, 50mm Diameter, Dichroic Laser Beam Combiner",86-401,$475,50.00 +0.0/-0.1,613 ,561.4 - 564.1 ,632.8 - 790 ,±0.1 ,561 - 790 ,45 ,45.3 ,Hard Coated ,Fused Silica ,"561.4, 568.2, 594.1 ",>98 ,60-40 ,>95 ,"632.8, 635, 647.1, 671, 676.4, 785 ",Dichroic Beam Combiner ,Dichroic ,MIL-C-48497A ,<1? ,3.5 
"659nm, 50mm Diameter, Dichroic Laser Beam Combiner",86-402,$475,50.00 +0.0/-0.1,659 ,632.8 - 647.1 ,671 - 790 ,±0.1 ,633 - 790 ,45 ,45.3 ,Hard Coated ,Fused Silica ,"632.8, 635, 647.1 ",>98 ,60-40 ,>95 ,"671, 676.4, 785 ",Dichroic Beam Combiner ,Dichroic ,MIL-C-48497A ,<1? ,3.5 
