Title,Stock Number,Price,Dia. (mm),CWL (nm),CWL Tolerance (nm),FWHM (nm),FWHM Tolerance (nm),Transmission (%),Blocking Wavelength Range (nm),Compatible Fluorophore,Optical Density OD,CA (mm),Surface Quality,Coating,Mount Thickness (mm),Substrate,Substrate Thickness (mm),Type,Typical Light Sources
"925nm CWL, 12.5mm Dia. Hard Coated OD 4 50nm Bandpass Filter",86-947,$130,12.50 +0.0/-0.1,925.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1200 ,,?4.0 ,8.5 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"925nm CWL, 25mm Dia. Hard Coated OD 4 50nm Bandpass Filter",86-959,$205,25.00 +0.0/-0.1,925.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1200 ,,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"925nm CWL, 50mm Dia. Hard Coated OD 4 50nm Bandpass Filter",86-971,$495,50.00 +0.0/-0.1,925.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1200 ,,?4.0 ,45.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"950nm CWL, 12.5mm Dia. Hard Coated OD 4 50nm Bandpass Filter",84-780,$130,12.50 +0.0/-0.1,950.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1200 ,,?4.0 ,8.5 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,Broadband Illumination Source 
"950nm CWL, 25mm Dia. Hard Coated OD 4 50nm Bandpass Filter",84-792,$205,25.00 +0.0/-0.1,950.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1200 ,,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,Broadband Illumination Source 
"950nm CWL, 50mm Dia. Hard Coated OD 4 50nm Bandpass Filter",84-804,$495,50.00 +0.0/-0.1,950.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1200 ,,?4.0 ,45.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,Broadband Illumination Source 
"975nm CWL, 12.5mm Dia. Hard Coated OD 4 50nm Bandpass Filter",86-948,$130,12.50 +0.0/-0.1,975.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1200 ,,?4.0 ,8.5 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"975nm CWL, 25mm Dia. Hard Coated OD 4 50nm Bandpass Filter",86-960,$205,25.00 +0.0/-0.1,975.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1200 ,,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"975nm CWL, 50mm Dia. Hard Coated OD 4 50nm Bandpass Filter",86-972,$495,50.00 +0.0/-0.1,975.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1200 ,,?4.0 ,45.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"1000nm CWL, 12.5mm Dia. Hard Coated OD 4 50nm Bandpass Filter",85-880,$155,12.50 +0.0/-0.1,1000.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1500 ,,?4.0 ,8.5 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"1000nm CWL, 25mm Dia. Hard Coated OD 4 50nm Bandpass Filter",85-892,$255,25.00 +0.0/-0.1,1000.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1500 ,,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"1000nm CWL, 50mm Dia. Hard Coated OD 4 50nm Bandpass Filter",85-904,$595,50.00 +0.0/-0.1,1000.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1500 ,,?4.0 ,45.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"1025nm CWL, 12.5mm Dia. Hard Coated OD 4 50nm Bandpass Filter",87-847,$155,12.50 +0.0/-0.1,1025.00 ,±5 ,50.00 ,±5 ,>90 ,200 - 1500 ,,?4.0 ,8.5 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"1025nm CWL, 25mm Dia. Hard Coated OD 4 50nm Bandpass Filter",87-860,$255,25.00 +0.0/-0.1,1025.00 ,±5 ,50.00 ,±5 ,>90 ,200 - 1500 ,,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"1025nm CWL, 50mm Dia. Hard Coated OD 4 50nm Bandpass Filter",87-873,$595,50.00 +0.0/-0.1,1025.00 ,±5 ,50.00 ,±5 ,>90 ,200 - 1500 ,,?4.0 ,45.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"1050nm CWL, 12.5mm Dia. Hard Coated OD 4 50nm Bandpass Filter",85-881,$155,12.50 +0.0/-0.1,1050.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1500 ,,?4.0 ,8.5 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"1050nm CWL, 25mm Dia. Hard Coated OD 4 50nm Bandpass Filter",85-893,$255,25.00 +0.0/-0.1,1050.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1500 ,,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"1050nm CWL, 50mm Dia. Hard Coated OD 4 50nm Bandpass Filter",85-905,$595,50.00 +0.0/-0.1,1050.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1500 ,,?4.0 ,45.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"1075nm CWL, 12.5mm Dia. Hard Coated OD 4 50nm Bandpass Filter",87-848,$155,12.50 +0.0/-0.1,1075.00 ,±5 ,50.00 ,±5 ,>90 ,200 - 1500 ,,?4.0 ,8.5 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"1075nm CWL, 25mm Dia. Hard Coated OD 4 50nm Bandpass Filter",87-861,$255,25.00 +0.0/-0.1,1075.00 ,±5 ,50.00 ,±5 ,>90 ,200 - 1500 ,,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"1075nm CWL, 50mm Dia. Hard Coated OD 4 50nm Bandpass Filter",87-874,$595,50.00 +0.0/-0.1,1075.00 ,±5 ,50.00 ,±5 ,>90 ,200 - 1500 ,,?4.0 ,45.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"1100nm CWL, 12.5mm Dia. Hard Coated OD 4 50nm Bandpass Filter",85-882,$155,12.50 +0.0/-0.1,1100.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1500 ,,?4.0 ,8.5 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"1100nm CWL, 25mm Dia. Hard Coated OD 4 50nm Bandpass Filter",85-894,$255,25.00 +0.0/-0.1,1100.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1500 ,,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"1100nm CWL, 50mm Dia. Hard Coated OD 4 50nm Bandpass Filter",85-906,$595,50.00 +0.0/-0.1,1100.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1500 ,,?4.0 ,45.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"1125nm CWL, 12.5mm Dia. Hard Coated OD 4 50nm Bandpass Filter",87-849,$155,12.50 +0.0/-0.1,1125.00 ,±5 ,50.00 ,±5 ,>90 ,200 - 1500 ,,?4.0 ,8.5 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"1125nm CWL, 25mm Dia. Hard Coated OD 4 50nm Bandpass Filter",87-862,$255,25.00 +0.0/-0.1,1125.00 ,±5 ,50.00 ,±5 ,>90 ,200 - 1500 ,,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"1125nm CWL, 50mm Dia. Hard Coated OD 4 50nm Bandpass Filter",87-875,$595,50.00 +0.0/-0.1,1125.00 ,±5 ,50.00 ,±5 ,>90 ,200 - 1500 ,,?4.0 ,45.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"1150nm CWL, 12.5mm Dia. Hard Coated OD 4 50nm Bandpass Filter",85-883,$155,12.50 +0.0/-0.1,1150.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1500 ,,?4.0 ,8.5 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"1150nm CWL, 25mm Dia. Hard Coated OD 4 50nm Bandpass Filter",85-895,$255,25.00 +0.0/-0.1,1150.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1500 ,,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"1150nm CWL, 50mm Dia. Hard Coated OD 4 50nm Bandpass Filter",85-907,$595,50.00 +0.0/-0.1,1150.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1500 ,,?4.0 ,45.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"1175nm CWL, 12.5mm Dia. Hard Coated OD 4 50nm Bandpass Filter",87-850,$155,12.50 +0.0/-0.1,1175.00 ,±5 ,50.00 ,±5 ,>90 ,200 - 1500 ,,?4.0 ,8.5 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"1175nm CWL, 25mm Dia. Hard Coated OD 4 50nm Bandpass Filter",87-863,$255,25.00 +0.0/-0.1,1175.00 ,±5 ,50.00 ,±5 ,>90 ,200 - 1500 ,,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"1175nm CWL, 50mm Dia. Hard Coated OD 4 50nm Bandpass Filter",87-876,$595,50.00 +0.0/-0.1,1175.00 ,±5 ,50.00 ,±5 ,>90 ,200 - 1500 ,,?4.0 ,45.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"1200nm CWL, 12.5mm Dia. Hard Coated OD 4 50nm Bandpass Filter ",85-884,$155,12.50 +0.0/-0.1,1200.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1500 ,,?4.0 ,8.5 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"1200nm CWL, 25mm Dia. Hard Coated OD 4 50nm Bandpass Filter",85-896,$255,25.00 +0.0/-0.1,1200.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1500 ,,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"1200nm CWL, 50mm Dia. Hard Coated OD 4 50nm Bandpass Filter",85-908,$595,50.00 +0.0/-0.1,1200.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1500 ,,?4.0 ,45.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"1225nm CWL, 12.5mm Dia. Hard Coated OD 4 50nm Bandpass Filter",87-851,$155,12.50 +0.0/-0.1,1225.00 ,±5 ,50.00 ,±5 ,>90 ,200 - 1800 ,,?4.0 ,8.5 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"1225nm CWL, 25mm Dia. Hard Coated OD 4 50nm Bandpass Filter",87-864,$255,25.00 +0.0/-0.1,1225.00 ,±5 ,50.00 ,±5 ,>90 ,200 - 1800 ,,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"1225nm CWL, 50mm Dia. Hard Coated OD 4 50nm Bandpass Filter",87-877,$595,50.00 +0.0/-0.1,1225.00 ,±5 ,50.00 ,±5 ,>90 ,200 - 1800 ,,?4.0 ,45.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"1250nm CWL, 12.5mm Dia. Hard Coated OD 4 50nm Bandpass Filter",85-885,$155,12.50 +0.0/-0.1,1250.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1800 ,,?4.0 ,8.5 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"1250nm CWL, 25mm Dia. Hard Coated OD 4 50nm Bandpass Filter",85-897,$255,25.00 +0.0/-0.1,1250.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1800 ,,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"1250nm CWL, 50mm Dia. Hard Coated OD 4 50nm Bandpass Filter",85-909,$595,50.00 +0.0/-0.1,1250.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1800 ,,?4.0 ,45.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"1275nm CWL, 12.5mm Dia. Hard Coated OD 4 50nm Bandpass Filter",87-852,$155,12.50 +0.0/-0.1,1275.00 ,±5 ,50.00 ,±5 ,>90 ,200 - 1800 ,,?4.0 ,8.5 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"1275nm CWL, 25mm Dia. Hard Coated OD 4 50nm Bandpass Filter",87-865,$255,25.00 +0.0/-0.1,1275.00 ,±5 ,50.00 ,±5 ,>90 ,200 - 1800 ,,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"1275nm CWL, 50mm Dia. Hard Coated OD 4 50nm Bandpass Filter",87-878,$595,50.00 +0.0/-0.1,1275.00 ,±5 ,50.00 ,±5 ,>90 ,200 - 1800 ,,?4.0 ,45.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"1300nm CWL, 12.5mm Dia. Hard Coated OD 4 50nm Bandpass Filter",85-886,$155,12.50 +0.0/-0.1,1300.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1800 ,,?4.0 ,8.5 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"1300nm CWL, 25mm Dia. Hard Coated OD 4 50nm Bandpass Filter",85-898,$255,25.00 +0.0/-0.1,1300.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1800 ,,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"1300nm CWL, 50mm Dia. Hard Coated OD 4 50nm Bandpass Filter ",85-910,$595,50.00 +0.0/-0.1,1300.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1800 ,,?4.0 ,45.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"1325nm CWL, 12.5mm Dia. Hard Coated OD 4 50nm Bandpass Filter",87-853,$155,12.50 +0.0/-0.1,1325.00 ,±5 ,50.00 ,±5 ,>90 ,200 - 1800 ,,?4.0 ,8.5 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"1325nm CWL, 25mm Dia. Hard Coated OD 4 50nm Bandpass Filter",87-866,$255,25.00 +0.0/-0.1,1325.00 ,±5 ,50.00 ,±5 ,>90 ,200 - 1800 ,,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"1325nm CWL, 50mm Dia. Hard Coated OD 4 50nm Bandpass Filter",87-879,$595,50.00 +0.0/-0.1,1325.00 ,±5 ,50.00 ,±5 ,>90 ,200 - 1800 ,,?4.0 ,45.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"1350nm CWL, 12.5mm Dia. Hard Coated OD 4 50nm Bandpass Filter",85-887,$155,12.50 +0.0/-0.1,1350.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1800 ,,?4.0 ,8.5 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"1350nm CWL, 25mm Dia. Hard Coated OD 4 50nm Bandpass Filter",85-899,$255,25.00 +0.0/-0.1,1350.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1800 ,,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"1350nm CWL, 50mm Dia. Hard Coated OD 4 50nm Bandpass Filter",85-911,$595,50.00 +0.0/-0.1,1350.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1800 ,,?4.0 ,45.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"1375nm CWL, 12.5mm Dia. Hard Coated OD 4 50nm Bandpass Filter",87-854,$155,12.50 +0.0/-0.1,1375.00 ,±5 ,50.00 ,±5 ,>90 ,200 - 1800 ,,?4.0 ,8.5 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"1375nm CWL, 25mm Dia. Hard Coated OD 4 50nm Bandpass Filter",87-867,$255,25.00 +0.0/-0.1,1375.00 ,±5 ,50.00 ,±5 ,>90 ,200 - 1800 ,,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"1375nm CWL, 50mm Dia. Hard Coated OD 4 50nm Bandpass Filter",87-880,$595,50.00 +0.0/-0.1,1375.00 ,±5 ,50.00 ,±5 ,>90 ,200 - 1800 ,,?4.0 ,45.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"1400nm CWL, 12.5mm Dia. Hard Coated OD 4 50nm Bandpass Filter",85-888,$155,12.50 +0.0/-0.1,1400.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1800 ,,?4.0 ,8.5 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"1400nm CWL, 25mm Dia. Hard Coated OD 4 50nm Bandpass Filter",85-900,$255,25.00 +0.0/-0.1,1400.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1800 ,,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"1400nm CWL, 50mm Dia. Hard Coated OD 4 50nm Bandpass Filter",85-912,$595,50.00 +0.0/-0.1,1400.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1800 ,,?4.0 ,45.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"1425nm CWL, 12.5mm Dia. Hard Coated OD 4 50nm Bandpass Filter",87-855,$155,12.50 +0.0/-0.1,1425.00 ,±5 ,50.00 ,±5 ,>90 ,200 - 1800 ,,?4.0 ,8.5 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"1425nm CWL, 25mm Dia. Hard Coated OD 4 50nm Bandpass Filter",87-868,$255,25.00 +0.0/-0.1,1425.00 ,±5 ,50.00 ,±5 ,>90 ,200 - 1800 ,,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"1425nm CWL, 50mm Dia. Hard Coated OD 4 50nm Bandpass Filter",87-881,$595,50.00 +0.0/-0.1,1425.00 ,±5 ,50.00 ,±5 ,>90 ,200 - 1800 ,,?4.0 ,45.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"1450nm CWL, 12.5mm Dia. Hard Coated OD 4 50nm Bandpass Filter",85-889,$155,12.50 +0.0/-0.1,1450.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1800 ,,?4.0 ,8.5 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"1450nm CWL, 25mm Dia. Hard Coated OD 4 50nm Bandpass Filter",85-901,$255,25.00 +0.0/-0.1,1450.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1800 ,,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"1450nm CWL, 50mm Dia. Hard Coated OD 4 50nm Bandpass Filter",85-913,$595,50.00 +0.0/-0.1,1450.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1800 ,,?4.0 ,45.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"1475nm CWL, 12.5mm Dia. Hard Coated OD 4 50nm Bandpass Filter",87-856,$155,12.50 +0.0/-0.1,1475.00 ,±5 ,50.00 ,±5 ,>90 ,200 - 1800 ,,?4.0 ,8.5 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"1475nm CWL, 25mm Dia. Hard Coated OD 4 50nm Bandpass Filter",87-869,$255,25.00 +0.0/-0.1,1475.00 ,±5 ,50.00 ,±5 ,>90 ,200 - 1800 ,,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"1475nm CWL, 50mm Dia. Hard Coated OD 4 50nm Bandpass Filter",87-882,$595,50.00 +0.0/-0.1,1475.00 ,±5 ,50.00 ,±5 ,>90 ,200 - 1800 ,,?4.0 ,45.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"1500nm CWL, 12.5mm Dia. Hard Coated OD 4 50nm Bandpass Filter",85-890,$155,12.50 +0.0/-0.1,1500.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1800 ,,?4.0 ,8.5 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"1500nm CWL, 25mm Dia. Hard Coated OD 4 50nm Bandpass Filter",85-902,$255,25.00 +0.0/-0.1,1500.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1800 ,,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"1500nm CWL, 50mm Dia. Hard Coated OD 4 50nm Bandpass Filter",85-914,$595,50.00 +0.0/-0.1,1500.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1800 ,,?4.0 ,45.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"1525nm CWL, 12.5mm Dia. Hard Coated OD 4 50nm Bandpass Filter",87-857,$155,12.50 +0.0/-0.1,1525.00 ,±5 ,50.00 ,±5 ,>90 ,200 - 1800 ,,?4.0 ,8.5 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"1525nm CWL, 25mm Dia. Hard Coated OD 4 50nm Bandpass Filter",87-870,$255,25.00 +0.0/-0.1,1525.00 ,±5 ,50.00 ,±5 ,>90 ,200 - 1800 ,,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"1525nm CWL, 50mm Dia. Hard Coated OD 4 50nm Bandpass Filter",87-883,$595,50.00 +0.0/-0.1,1525.00 ,±5 ,50.00 ,±5 ,>90 ,200 - 1800 ,,?4.0 ,45.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"1550nm CWL, 12.5mm Dia. Hard Coated OD 4 50nm Bandpass Filter",85-891,$155,12.50 +0.0/-0.1,1550.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1800 ,,?4.0 ,8.5 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"1550nm CWL, 25mm Dia. Hard Coated OD 4 50nm Bandpass Filter",85-903,$255,25.00 +0.0/-0.1,1550.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1800 ,,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"1550nm CWL, 50mm Dia. Hard Coated OD 4 50nm Bandpass Filter",85-915,$595,50.00 +0.0/-0.1,1550.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1800 ,,?4.0 ,45.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"1575nm CWL, 12.5mm Dia. Hard Coated OD 4 50nm Bandpass Filter",87-858,$155,12.50 +0.0/-0.1,1575.00 ,±5 ,50.00 ,±5 ,>90 ,200 - 1800 ,,?4.0 ,8.5 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"1575nm CWL, 25mm Dia. Hard Coated OD 4 50nm Bandpass Filter",87-871,$255,25.00 +0.0/-0.1,1575.00 ,±5 ,50.00 ,±5 ,>90 ,200 - 1800 ,,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"1575nm CWL, 50mm Dia. Hard Coated OD 4 50nm Bandpass Filter",87-884,$595,50.00 +0.0/-0.1,1575.00 ,±5 ,50.00 ,±5 ,>90 ,200 - 1800 ,,?4.0 ,45.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"1600nm CWL, 12.5mm Dia. Hard Coated OD 4 50nm Bandpass Filter",87-859,$155,12.50 +0.0/-0.1,1600.00 ,±5 ,50.00 ,±5 ,>90 ,200 - 1800 ,,?4.0 ,8.5 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"1600nm CWL, 25mm Dia. Hard Coated OD 4 50nm Bandpass Filter",87-872,$255,25.00 +0.0/-0.1,1600.00 ,±5 ,50.00 ,±5 ,>90 ,200 - 1800 ,,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"1600nm CWL, 50mm Dia. Hard Coated OD 4 50nm Bandpass Filter",87-885,$595,50.00 +0.0/-0.1,1600.00 ,±5 ,50.00 ,±5 ,>90 ,200 - 1800 ,,?4.0 ,45.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
