Title,Stock Number,Price,Dia. (mm),CWL (nm),CWL Tolerance (nm),FWHM (nm),FWHM Tolerance (nm),Minimum Transmission (%),Blocking Wavelength Range (nm),Optical Density OD,CA (mm),Surface Quality,Angle Sensitivity,Coating,Construction,Mount Thickness (mm),Operating Temperature (°C),Thickness Tolerance (mm),Type,Typical Applications
"850nm CWL, 10nm FWHM, 50mm Mounted Diameter",67-919,$265,50.00 +0.00/-0.25,850 ,+3.0/-0.0 ,10.00 ,±2 ,>50 ,200 - Far IR ,?4.0 ,45.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.9 ,-50 to +70 ,±0.1 ,Bandpass Filter ,General Filtering 
"850nm CWL, 40nm FWHM, 12.5mm Mounted Diameter",67-786,$79,12.50 +0.00/-0.25,850 ,+10.0/-0.0 ,40.00 ,±8 ,>50 ,200 - Far IR ,?4.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.9 ,-50 to +70 ,±0.1 ,Bandpass Filter ,General Filtering 
"850nm CWL, 40nm FWHM, 25mm Mounted Diameter",67-853,$120,25.00 +0.00/-0.25,850 ,+10.0/-0.0 ,40.00 ,±8 ,>50 ,200 - Far IR ,?4.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.9 ,-50 to +70 ,±0.1 ,Bandpass Filter ,General Filtering 
"850nm CWL, 40nm FWHM, 50mm Mounted Diameter",67-920,$265,50.00 +0.00/-0.25,850 ,+10.0/-0.0 ,40.00 ,±8 ,>50 ,200 - Far IR ,?4.0 ,45.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.9 ,-50 to +70 ,±0.1 ,Bandpass Filter ,General Filtering 
"852nm CWL, 10nm FWHM, 12.5mm Mounted Diameter",65-666,$79,12.50 +0.00/-0.25,852 ,±2 ,10.00 ,±2 ,?50 ,200 - Far IR ,?3.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,7.5 ,-50 to +75 ,±0.1 ,Bandpass Filter ,Cs Emission Line 
"852nm CWL, 10nm FWHM, 25mm Mounted Diameter",65-726,$120,25.00 +0.00/-0.25,852 ,±2 ,10.00 ,±2 ,?50 ,200 - Far IR ,?3.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,7.5 ,-50 to +75 ,±0.1 ,Bandpass Filter ,Cs Emission Line 
"852nm CWL, 10nm FWHM, 50mm Mounted Diameter",86-638,$265,50.00 +0.00/-0.25 ,852 ,±2  ,10.00 ,±2  ,?50  ,200 - Far IR ,?3.0 ,45.0 ,80-50 ,Intended for Collimated Input  ,Traditional Coated ,Mounted in Black Anodized Ring ,7.5  ,-50 to +75  ,±0.1  ,Bandpass Filter ,Cs Emission Line 
"855nm CWL, 10nm FWHM, 12.5mm Mounted Diameter",65-667,$79,12.50 +0.00/-0.25,855 ,±2 ,10.00 ,±2 ,?50 ,200 - Far IR ,?3.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,7.5 ,-50 to +75 ,±0.1 ,Bandpass Filter ,GaAlAs Laser Diode 
"855nm CWL, 10nm FWHM, 25mm Mounted Diameter",65-727,$120,25.00 +0.00/-0.25,855 ,±2 ,10.00 ,±2 ,?50 ,200 - Far IR ,?3.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,7.5 ,-50 to +75 ,±0.1 ,Bandpass Filter ,GaAlAs Laser Diode 
"860nm CWL, 10nm FWHM, 12.5mm Mounted Diameter",67-787,$79,12.50 +0.00/-0.25,860 ,+3.0/-0.0 ,10.00 ,±2 ,>50 ,200 - Far IR ,?4.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.9 ,-50 to +70 ,±0.1 ,Bandpass Filter ,General Filtering 
"860nm CWL, 10nm FWHM, 25mm Mounted Diameter",67-854,$120,25.00 +0.00/-0.25,860 ,+3.0/-0.0 ,10.00 ,±2 ,>50 ,200 - Far IR ,?4.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.9 ,-50 to +70 ,±0.1 ,Bandpass Filter ,General Filtering 
"860nm CWL, 10nm FWHM, 50mm Mounted Diameter",67-921,$265,50.00 +0.00/-0.25,860 ,+3.0/-0.0 ,10.00 ,±2 ,>50 ,200 - Far IR ,?4.0 ,45.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.9 ,-50 to +70 ,±0.1 ,Bandpass Filter ,General Filtering 
"870nm CWL, 10nm FWHM, 12.5mm Mounted Diameter",67-788,$79,12.50 +0.00/-0.25,870 ,+3.0/-0.0 ,10.00 ,±2 ,>50 ,200 - Far IR ,?4.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.9 ,-50 to +70 ,±0.1 ,Bandpass Filter ,General Filtering 
"870nm CWL, 10nm FWHM, 25mm Mounted Diameter",67-855,$120,25.00 +0.00/-0.25,870 ,+3.0/-0.0 ,10.00 ,±2 ,>50 ,200 - Far IR ,?4.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.9 ,-50 to +70 ,±0.1 ,Bandpass Filter ,General Filtering 
"870nm CWL, 10nm FWHM, 50mm Mounted Diameter",67-922,$265,50.00 +0.00/-0.25,870 ,+3.0/-0.0 ,10.00 ,±2 ,>50 ,200 - Far IR ,?4.0 ,45.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.9 ,-50 to +70 ,±0.1 ,Bandpass Filter ,General Filtering 
"880nm CWL, 10nm FWHM, 12.5mm Mounted Diameter",65-668,$79,12.50 +0.00/-0.25,880 ,±2 ,10.00 ,±2 ,?50 ,200 - Far IR ,?3.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,7.5 ,-50 to +75 ,±0.1 ,Bandpass Filter ,LED/Laser Cleanup 
"880nm CWL, 10nm FWHM, 25mm Mounted Diameter",65-728,$120,25.00 +0.00/-0.25,880 ,±2 ,10.00 ,±2 ,?50 ,200 - Far IR ,?3.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,7.5 ,-50 to +75 ,±0.1 ,Bandpass Filter ,LED/Laser Cleanup 
"880nm CWL, 50nm FWHM, 12.5mm Mounted Diameter",65-739,$79,12.50 +0.00/-0.25,880 ,±15 ,50.00 ,±15 ,?55 ,200 - Far IR ,?3.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,7.5 ,-50 to +75 ,±0.1 ,Bandpass Filter ,LED/Laser Cleanup 
"880nm CWL, 50nm FWHM, 25mm Mounted Diameter",65-748,$120,25.00 +0.00/-0.25,880 ,±15 ,50.00 ,±15 ,?55 ,200 - Far IR ,?3.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,7.5 ,-50 to +75 ,±0.1 ,Bandpass Filter ,LED/Laser Cleanup 
"880nm CWL, 50nm FWHM, 50mm Mounted Diameter",87-195,$265,50.00 +0.00/-0.25 ,880 ,±15 ,50.00 ,±15 ,?55 ,200 - Far IR ,?3.0 ,45.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,7.5  ,-50 to +75  ,±0.1  ,Bandpass Filter ,LED/Laser Cleanup 
"890nm CWL, 10nm FWHM, 12.5mm Mounted Diameter",67-789,$79,12.50 +0.00/-0.25,890 ,+3.0/-0.0 ,10.00 ,±2 ,>50 ,200 - Far IR ,?4.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.9 ,-50 to +70 ,±0.1 ,Bandpass Filter ,General Filtering 
"890nm CWL, 10nm FWHM, 25mm Mounted Diameter",67-856,$120,25.00 +0.00/-0.25,890 ,+3.0/-0.0 ,10.00 ,±2 ,>50 ,200 - Far IR ,?4.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.9 ,-50 to +70 ,±0.1 ,Bandpass Filter ,General Filtering 
"890nm CWL, 10nm FWHM, 50mm Mounted Diameter",67-923,$265,50.00 +0.00/-0.25,890 ,+3.0/-0.0 ,10.00 ,±2 ,>50 ,200 - Far IR ,?4.0 ,45.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.9 ,-50 to +70 ,±0.1 ,Bandpass Filter ,General Filtering 
"900nm CWL, 10nm FWHM, 12.5mm Mounted Diameter",67-790,$79,12.50 +0.00/-0.25,900 ,+3.0/-0.0 ,10.00 ,±2 ,>50 ,200 - Far IR ,?4.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.9 ,-50 to +70 ,±0.1 ,Bandpass Filter ,General Filtering 
"900nm CWL, 10nm FWHM, 25mm Mounted Diameter",67-857,$120,25.00 +0.00/-0.25,900 ,+3.0/-0.0 ,10.00 ,±2 ,>50 ,200 - Far IR ,?4.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.9 ,-50 to +70 ,±0.1 ,Bandpass Filter ,General Filtering 
"900nm CWL, 10nm FWHM, 50mm Mounted Diameter",67-924,$265,50.00 +0.00/-0.25,900 ,+3.0/-0.0 ,10.00 ,±2 ,>50 ,200 - Far IR ,?4.0 ,45.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.9 ,-50 to +70 ,±0.1 ,Bandpass Filter ,General Filtering 
"900nm CWL, 40nm FWHM, 12.5mm Mounted Diameter",67-791,$79,12.50 +0.00/-0.25,900 ,+10.0/-0.0 ,40.00 ,±8 ,>50 ,200 - Far IR ,?4.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.9 ,-50 to +70 ,±0.1 ,Bandpass Filter ,General Filtering 
"900nm CWL, 40nm FWHM, 25mm Mounted Diameter",67-858,$120,25.00 +0.00/-0.25,900 ,+10.0/-0.0 ,40.00 ,±8 ,>50 ,200 - Far IR ,?4.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.9 ,-50 to +70 ,±0.1 ,Bandpass Filter ,General Filtering 
"900nm CWL, 40nm FWHM, 50mm Mounted Diameter",67-925,$265,50.00 +0.00/-0.25,900 ,+10.0/-0.0 ,40.00 ,±8 ,>50 ,200 - Far IR ,?4.0 ,45.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.9 ,-50 to +70 ,±0.1 ,Bandpass Filter ,General Filtering 
"905nm CWL, 10nm FWHM, 12.5mm Mounted Diameter",65-669,$79,12.50 +0.00/-0.25,905 ,±2 ,10.00 ,±2 ,?50 ,200 - Far IR ,?3.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,7.5 ,-50 to +75 ,±0.1 ,Bandpass Filter ,InGaAs 
"905nm CWL, 10nm FWHM, 25mm Mounted Diameter",65-729,$120,25.00 +0.00/-0.25,905 ,±2 ,10.00 ,±2 ,?50 ,200 - Far IR ,?3.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,7.5 ,-50 to +75 ,±0.1 ,Bandpass Filter ,InGaAs 
"910nm CWL, 10nm FWHM, 12.5mm Mounted Diameter",67-792,$79,12.50 +0.00/-0.25,910 ,+3.0/-0.0 ,10.00 ,±2 ,>50 ,200 - Far IR ,?4.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.9 ,-50 to +70 ,±0.1 ,Bandpass Filter ,General Filtering 
"910nm CWL, 10nm FWHM, 25mm Mounted Diameter",67-859,$120,25.00 +0.00/-0.25,910 ,+3.0/-0.0 ,10.00 ,±2 ,>50 ,200 - Far IR ,?4.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.9 ,-50 to +70 ,±0.1 ,Bandpass Filter ,General Filtering 
"910nm CWL, 10nm FWHM, 50mm Mounted Diameter",67-926,$265,50.00 +0.00/-0.25,910 ,+3.0/-0.0 ,10.00 ,±2 ,>50 ,200 - Far IR ,?4.0 ,45.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.9 ,-50 to +70 ,±0.1 ,Bandpass Filter ,General Filtering 
"920nm CWL, 10nm FWHM, 12.5mm Mounted Diameter",67-793,$79,12.50 +0.00/-0.25,920 ,+3.0/-0.0 ,10.00 ,±2 ,>50 ,200 - Far IR ,?4.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.9 ,-50 to +70 ,±0.1 ,Bandpass Filter ,General Filtering 
"920nm CWL, 10nm FWHM, 25mm Mounted Diameter",67-860,$120,25.00 +0.00/-0.25,920 ,+3.0/-0.0 ,10.00 ,±2 ,>50 ,200 - Far IR ,?4.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.9 ,-50 to +70 ,±0.1 ,Bandpass Filter ,General Filtering 
"920nm CWL, 10nm FWHM, 50mm Mounted Diameter",67-927,$265,50.00 +0.00/-0.25,920 ,+3.0/-0.0 ,10.00 ,±2 ,>50 ,200 - Far IR ,?4.0 ,45.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.9 ,-50 to +70 ,±0.1 ,Bandpass Filter ,General Filtering 
"930nm CWL, 10nm FWHM, 12.5mm Mounted Diameter",67-794,$79,12.50 +0.00/-0.25,930 ,+3.0/-0.0 ,10.00 ,±2 ,>50 ,200 - Far IR ,?4.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.9 ,-50 to +70 ,±0.1 ,Bandpass Filter ,General Filtering 
"930nm CWL, 10nm FWHM, 25mm Mounted Diameter",67-861,$120,25.00 +0.00/-0.25,930 ,+3.0/-0.0 ,10.00 ,±2 ,>50 ,200 - Far IR ,?4.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.9 ,-50 to +70 ,±0.1 ,Bandpass Filter ,General Filtering 
"930nm CWL, 10nm FWHM, 50mm Mounted Diameter",67-928,$265,50.00 +0.00/-0.25,930 ,+3.0/-0.0 ,10.00 ,±2 ,>50 ,200 - Far IR ,?4.0 ,45.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.9 ,-50 to +70 ,±0.1 ,Bandpass Filter ,General Filtering 
"940nm CWL, 10nm FWHM, 12.5mm Mounted Diameter",65-670,$79,12.50 +0.00/-0.25,940 ,±2 ,10.00 ,±2 ,?50 ,200 - Far IR ,?3.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,7.5 ,-50 to +75 ,±0.1 ,Bandpass Filter ,InGaAs 
"940nm CWL, 10nm FWHM, 25mm Mounted Diameter",65-730,$120,25.00 +0.00/-0.25,940 ,±2 ,10.00 ,±2 ,?50 ,200 - Far IR ,?3.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,7.5 ,-50 to +75 ,±0.1 ,Bandpass Filter ,InGaAs 
"940nm CWL, 10nm FWHM, 50mm Mounted Diameter",86-639,$265,50.00 +0.00/-0.25 ,940 ,±2  ,10.00 ,±2  ,?50  ,200 - Far IR ,?3.0 ,45.0 ,80-50 ,Intended for Collimated Input  ,Traditional Coated ,Mounted in Black Anodized Ring ,7.5  ,-50 to +75  ,±0.1  ,Bandpass Filter ,InGaAs 
"950nm CWL, 10nm FWHM, 12.5mm Mounted Diameter",67-795,$79,12.50 +0.00/-0.25,950 ,+3.0/-0.0 ,10.00 ,±2 ,>50 ,200 - Far IR ,?4.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.9 ,-50 to +70 ,±0.1 ,Bandpass Filter ,General Filtering 
"950nm CWL, 10nm FWHM, 25mm Mounted Diameter",67-862,$120,25.00 +0.00/-0.25,950 ,+3.0/-0.0 ,10.00 ,±2 ,>50 ,200 - Far IR ,?4.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.9 ,-50 to +70 ,±0.1 ,Bandpass Filter ,General Filtering 
"950nm CWL, 10nm FWHM, 50mm Mounted Diameter",67-929,$265,50.00 +0.00/-0.25,950 ,+3.0/-0.0 ,10.00 ,±2 ,>50 ,200 - Far IR ,?4.0 ,45.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.9 ,-50 to +70 ,±0.1 ,Bandpass Filter ,General Filtering 
"950nm CWL, 50nm FWHM, 12.5mm Mounted Diameter",65-740,$79,12.50 +0.00/-0.25,950 ,±15 ,50.00 ,±15 ,?55 ,200 - Far IR ,?3.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,7.5 ,-50 to +75 ,±0.1 ,Bandpass Filter ,InGaAs 
"950nm CWL, 50nm FWHM, 25mm Mounted Diameter",65-749,$120,25.00 +0.00/-0.25,950 ,±15 ,50.00 ,±15 ,?55 ,200 - Far IR ,?3.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,7.5 ,-50 to +75 ,±0.1 ,Bandpass Filter ,InGaAs 
"950nm CWL, 50nm FWHM, 50mm Mounted Diameter",87-196,$265,50.00 +0.00/-0.25 ,950 ,±15 ,50.00 ,±15 ,?55 ,200 - Far IR ,?3.0 ,45.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,7.5  ,-50 to +75  ,±0.1  ,Bandpass Filter ,InGaAs 
"960nm CWL, 10nm FWHM, 12.5mm Mounted Diameter",67-796,$79,12.50 +0.00/-0.25,960 ,+3.0/-0.0 ,10.00 ,±2 ,>50 ,200 - Far IR ,?4.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.9 ,-50 to +70 ,±0.1 ,Bandpass Filter ,General Filtering 
"960nm CWL, 10nm FWHM, 25mm Mounted Diameter",67-863,$120,25.00 +0.00/-0.25,960 ,+3.0/-0.0 ,10.00 ,±2 ,>50 ,200 - Far IR ,?4.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.9 ,-50 to +70 ,±0.1 ,Bandpass Filter ,General Filtering 
"960nm CWL, 10nm FWHM, 50mm Mounted Diameter",67-930,$265,50.00 +0.00/-0.25,960 ,+3.0/-0.0 ,10.00 ,±2 ,>50 ,200 - Far IR ,?4.0 ,45.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.9 ,-50 to +70 ,±0.1 ,Bandpass Filter ,General Filtering 
"970nm CWL, 10nm FWHM, 12.5mm Mounted Diameter",67-797,$79,12.50 +0.00/-0.25,970 ,+3.0/-0.0 ,10.00 ,±2 ,>50 ,200 - Far IR ,?4.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.9 ,-50 to +70 ,±0.1 ,Bandpass Filter ,General Filtering 
"970nm CWL, 10nm FWHM, 25mm Mounted Diameter",67-864,$120,25.00 +0.00/-0.25,970 ,+3.0/-0.0 ,10.00 ,±2 ,>50 ,200 - Far IR ,?4.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.9 ,-50 to +70 ,±0.1 ,Bandpass Filter ,General Filtering 
"970nm CWL, 10nm FWHM, 50mm Mounted Diameter",67-931,$265,50.00 +0.00/-0.25,970 ,+3.0/-0.0 ,10.00 ,±2 ,>50 ,200 - Far IR ,?4.0 ,45.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.9 ,-50 to +70 ,±0.1 ,Bandpass Filter ,General Filtering 
"990nm CWL, 10nm FWHM, 12.5mm Mounted Diameter",67-798,$79,12.50 +0.00/-0.25,990 ,+3.0/-0.0 ,10.00 ,±2 ,>50 ,200 - Far IR ,?4.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.9 ,-50 to +70 ,±0.1 ,Bandpass Filter ,General Filtering 
"990nm CWL, 10nm FWHM, 25mm Mounted Diameter",67-865,$120,25.00 +0.00/-0.25,990 ,+3.0/-0.0 ,10.00 ,±2 ,>50 ,200 - Far IR ,?4.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.9 ,-50 to +70 ,±0.1 ,Bandpass Filter ,General Filtering 
"990nm CWL, 10nm FWHM, 50mm Mounted Diameter",67-932,$265,50.00 +0.00/-0.25,990 ,+3.0/-0.0 ,10.00 ,±2 ,>50 ,200 - Far IR ,?4.0 ,45.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.9 ,-50 to +70 ,±0.1 ,Bandpass Filter ,General Filtering 
"1064nm CWL, 10nm FWHM, 12.5mm Mounted Diameter",65-671,$95,12.50 +0.00/-0.25,1064 ,±2 ,10 ,±2 ,?50 ,200 - Far IR ,?3.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,7.5 ,-50 to +75 ,±0.1 ,Bandpass Filter ,Nd:YAG Laser Line 
"1064nm CWL, 10nm FWHM, 25mm Mounted Diameter",65-731,$179,25.00 +0.00/-0.25,1064 ,±2 ,10 ,±2 ,?50 ,200 - Far IR ,?3.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,7.5 ,-50 to +75 ,±0.1 ,Bandpass Filter ,Nd:YAG Laser Line 
"1064nm CWL, 10nm FWHM, 50mm Mounted Diameter",87-006,$365,50.00 +0.00/-0.25,1064 ,±2 ,10 ,±2 ,?50 ,200 - Far IR ,?3.0 ,45.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,7.5 ,-50 to +75 ,±0.1 ,Bandpass Filter ,Nd:YAG Laser Line 
"1100nm CWL, 10nm FWHM, 12.5mm Mounted Diameter",65-770,$95,12.50 +0.00/-0.25,1100 ,±2 ,10 ,±2 ,>70 ,200 - Far IR ,?4.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,7.5 ,-50 to +75 ,+0.0/-0.20 ,Bandpass Filter ,Clinical Chemistry 
"1100nm CWL, 10nm FWHM, 25mm Mounted Diameter",65-784,$179,25.00 +0.00/-0.25,1100 ,±2 ,12 ,±2 ,>70 ,200 - Far IR ,?4.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,7.5 ,-50 to +75 ,+0.0/-0.20 ,Bandpass Filter ,Clinical Chemistry 
"1150nm CWL, 10nm FWHM, 12.5mm Mounted Diameter",65-771,$95,12.50 +0.00/-0.25,1150 ,+4.0/-0.0 ,10 ,±2 ,>70 ,200 - Far IR ,?4.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,7.5 ,-50 to +75 ,+0.0/-0.20 ,Bandpass Filter ,Clinical Chemistry 
"1150nm CWL, 10nm FWHM, 25mm Mounted Diameter",65-785,$179,25.00 +0.00/-0.25,1150 ,+4.0/-0.0 ,12 ,±2 ,>70 ,200 - Far IR ,?4.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,7.5 ,-50 to +75 ,+0.0/-0.20 ,Bandpass Filter ,Clinical Chemistry 
"1200nm CWL, 10nm FWHM, 12.5mm Mounted Diameter",65-772,$95,12.50 +0.00/-0.25,1200 ,±2 ,10 ,±2 ,>70 ,200 - Far IR ,?4.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,7.5 ,-50 to +75 ,+0.0/-0.20 ,Bandpass Filter ,Clinical Chemistry 
"1200nm CWL, 10nm FWHM, 25mm Mounted Diameter",65-786,$179,25.00 +0.00/-0.25,1200 ,±2 ,12 ,±2 ,>70 ,200 - Far IR ,?4.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,7.5 ,-50 to +75 ,+0.0/-0.20 ,Bandpass Filter ,Clinical Chemistry 
"1250nm CWL, 10nm FWHM, 12.5mm Mounted Diameter",65-773,$95,12.50 +0.00/-0.25,1250 ,±2 ,10 ,±2 ,>70 ,200 - Far IR ,?4.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,7.5 ,-50 to +75 ,+0.0/-0.20 ,Bandpass Filter ,Clinical Chemistry 
"1250nm CWL, 10nm FWHM, 25mm Mounted Diameter",65-787,$179,25.00 +0.00/-0.25,1250 ,±2 ,12 ,±2 ,>70 ,200 - Far IR ,?4.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,7.5 ,-50 to +75 ,+0.0/-0.20 ,Bandpass Filter ,Clinical Chemistry 
"1300nm CWL, 12nm FWHM, 12.5mm Mounted Diameter",65-774,$95,12.50 +0.00/-0.25,1300 ,±2.5 ,12 ,±2 ,>70 ,200 - Far IR ,?4.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,7.5 ,-50 to +75 ,+0.0/-0.20 ,Bandpass Filter ,Laser Diode Cleanup 
"1300nm CWL, 12nm FWHM, 25mm Mounted Diameter",65-788,$179,25.00 +0.00/-0.25,1300 ,±2.5 ,12 ,±2 ,>70 ,200 - Far IR ,?4.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,7.5 ,-50 to +75 ,+0.0/-0.20 ,Bandpass Filter ,Laser Diode Cleanup 
"1350nm CWL, 12nm FWHM, 12.5mm Mounted Diameter",65-775,$95,12.50 +0.00/-0.25,1350 ,±2.5 ,12 ,±2 ,>70 ,200 - Far IR ,?4.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,7.5 ,-50 to +75 ,+0.0/-0.20 ,Bandpass Filter ,Clinical Chemistry 
"1350nm CWL, 12nm FWHM, 25mm Mounted Diameter",65-789,$179,25.00 +0.00/-0.25,1350 ,±2.5 ,12 ,±2 ,>70 ,200 - Far IR ,?4.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,7.5 ,-50 to +75 ,+0.0/-0.20 ,Bandpass Filter ,Clinical Chemistry 
