Title,Stock Number,Price,Dia. (mm),CWL (nm),CWL Tolerance (nm),FWHM (nm),FWHM Tolerance (nm),Minimum Transmission (%),Blocking Wavelength Range (nm),Optical Density OD,CA (mm),Surface Quality,Angle Sensitivity,Coating,Construction,Mount Thickness (mm),Operating Temperature (°C),Thickness Tolerance (mm),Type,Typical Applications
"730nm CWL, 10nm FWHM, 12.5mm Mounted Diameter",65-661,$79,12.50 +0.00/-0.25,730 ,±2 ,10.00 ,±2 ,?50 ,200 - Far IR ,?3.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,7.5 ,-50 to +75 ,±0.1 ,Bandpass Filter ,GaAlAs Laser Diode 
"730nm CWL, 10nm FWHM, 25mm Mounted Diameter",65-721,$120,25.00 +0.00/-0.25,730 ,±2 ,10.00 ,±2 ,?50 ,200 - Far IR ,?3.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,7.5 ,-50 to +75 ,±0.1 ,Bandpass Filter ,GaAlAs Laser Diode 
"740nm CWL, 10nm FWHM, 12.5mm Mounted Diameter",67-774,$79,12.50 +0.00/-0.25,740 ,+3.0/-0.0 ,10.00 ,±2 ,>55 ,200 - Far IR ,?4.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.9 ,-50 to +70 ,±0.1 ,Bandpass Filter ,General Filtering 
"740nm CWL, 10nm FWHM, 25mm Mounted Diameter",67-841,$120,25.00 +0.00/-0.25,740 ,+3.0/-0.0 ,10.00 ,>55 ,>55 ,200 - Far IR ,?4.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.9 ,-50 to +70 ,±0.1 ,Bandpass Filter ,General Filtering 
"740nm CWL, 10nm FWHM, 50mm Mounted Diameter",67-908,$265,50.00 +0.00/-0.25,740 ,+3.0/-0.0 ,10.00 ,±2 ,>55 ,200 - Far IR ,?4.0 ,45.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.9 ,-50 to +70 ,±0.1 ,Bandpass Filter ,General Filtering 
"750nm CWL, 10nm FWHM, 12.5mm Mounted Diameter",67-775,$79,12.50 +0.00/-0.25,750 ,+3.0/-0.0 ,10.00 ,±2 ,>50 ,200 - Far IR ,?4.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.9 ,-50 to +70 ,±0.1 ,Bandpass Filter ,General Filtering 
"750nm CWL, 10nm FWHM, 25mm Mounted Diameter",67-842,$120,25.00 +0.00/-0.25,750 ,+3.0/-0.0 ,10.00 ,>50 ,>50 ,200 - Far IR ,?4.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.9 ,-50 to +70 ,±0.1 ,Bandpass Filter ,General Filtering 
"750nm CWL, 10nm FWHM, 50mm Mounted Diameter",67-909,$265,50.00 +0.00/-0.25,750 ,+3.0/-0.0 ,10.00 ,±2 ,>50 ,200 - Far IR ,?4.0 ,45.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.9 ,-50 to +70 ,±0.1 ,Bandpass Filter ,General Filtering 
"750nm CWL, 40nm FWHM, 12.5mm Mounted Diameter",67-776,$79,12.50 +0.00/-0.25,750 ,±5 ,40.00 ,±8 ,>40 ,200 - Far IR ,?4.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.9 ,-50 to +70 ,±0.1 ,Bandpass Filter ,General Filtering 
"750nm CWL, 40nm FWHM, 25mm Mounted Diameter",67-843,$120,25.00 +0.00/-0.25,750 ,±5 ,40.00 ,>40 ,>40 ,200 - Far IR ,?4.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.9 ,-50 to +70 ,±0.1 ,Bandpass Filter ,General Filtering 
"750nm CWL, 40nm FWHM, 50mm Mounted Diameter",67-910,$265,50.00 +0.00/-0.25,750 ,±5 ,40.00 ,±5 ,>40 ,200 - Far IR ,?4.0 ,45.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.9 ,-50 to +70 ,±0.1 ,Bandpass Filter ,General Filtering 
"760nm CWL, 10nm FWHM, 12.5mm Mounted Diameter",67-777,$79,12.50 +0.00/-0.25,760 ,+3.0/-0.0 ,10.00 ,±2 ,>50 ,200 - Far IR ,?4.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.9 ,-50 to +70 ,±0.1 ,Bandpass Filter ,General Filtering 
"760nm CWL, 10nm FWHM, 25mm Mounted Diameter",67-844,$120,25.00 +0.00/-0.25,760 ,+3.0/-0.0 ,10.00 ,>50 ,>50 ,200 - Far IR ,?4.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.9 ,-50 to +70 ,±0.1 ,Bandpass Filter ,General Filtering 
"760nm CWL, 10nm FWHM, 50mm Mounted Diameter",67-911,$265,50.00 +0.00/-0.25,760 ,+3.0/-0.0 ,10.00 ,±2 ,>50 ,200 - Far IR ,?4.0 ,45.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.9 ,-50 to +70 ,±0.1 ,Bandpass Filter ,General Filtering 
"766nm CWL, 10nm FWHM, 12.5mm Mounted Diameter",65-662,$79,12.50 +0.00/-0.25,766 ,±2 ,10.00 ,±2 ,?50 ,200 - Far IR ,?3.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,7.5 ,-50 to +75 ,±0.1 ,Bandpass Filter ,K Emission Line 
"766nm CWL, 10nm FWHM, 25mm Mounted Diameter",65-722,$120,25.00 +0.00/-0.25,766 ,±2 ,10.00 ,±2 ,?50 ,200 - Far IR ,?3.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,7.5 ,-50 to +75 ,±0.1 ,Bandpass Filter ,K Emission Line 
"770nm CWL, 10nm FWHM, 12.5mm Mounted Diameter",67-778,$79,12.50 +0.00/-0.25,770 ,+3.0/-0.0 ,10.00 ,±2 ,>50 ,200 - Far IR ,?4.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.9 ,-50 to +70 ,±0.1 ,Bandpass Filter ,General Filtering 
"770nm CWL, 10nm FWHM, 25mm Mounted Diameter",67-845,$120,25.00 +0.00/-0.25,770 ,+3.0/-0.0 ,10.00 ,±2 ,>50 ,200 - Far IR ,?4.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.9 ,-50 to +70 ,±0.1 ,Bandpass Filter ,General Filtering 
"770nm CWL, 10nm FWHM, 50mm Mounted Diameter",67-912,$265,50.00 +0.00/-0.25,770 ,+3.0/-0.0 ,10.00 ,±2 ,>50 ,200 - Far IR ,?4.0 ,45.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.9 ,-50 to +70 ,±0.1 ,Bandpass Filter ,General Filtering 
"780nm CWL, 10nm FWHM, 12.5mm Mounted Diameter",65-663,$79,12.50 +0.00/-0.25,780 ,±2 ,10.00 ,±2 ,?50 ,200 - Far IR ,?3.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,7.5 ,-50 to +75 ,±0.1 ,Bandpass Filter ,GaAlAs Laser Diode 
"780nm CWL, 10nm FWHM, 25mm Mounted Diameter",65-723,$120,25.00 +0.00/-0.25,780 ,±2 ,10.00 ,±2 ,?50 ,200 - Far IR ,?3.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,7.5 ,-50 to +75 ,±0.1 ,Bandpass Filter ,GaAlAs Laser Diode 
"780nm CWL, 10nm FWHM, 50mm Mounted Diameter ",86-637,$265,50.00 +0.00/-0.25 ,780 ,±2  ,10.00 ,±2  ,?50  ,200 - Far IR ,?3.0 ,45.0 ,80-50 ,Intended for Collimated Input  ,Traditional Coated ,Mounted in Black Anodized Ring ,7.5  ,-50 to +75  ,±0.1  ,Bandpass Filter ,GaAlAs Laser Diode 
"790nm CWL, 10nm FWHM, 12.5mm Mounted Diameter",67-779,$79,12.50 +0.00/-0.25,790 ,+3.0/-0.0 ,10.00 ,±2 ,>50 ,200 - Far IR ,?4.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.9 ,-50 to +70 ,±0.1 ,Bandpass Filter ,General Filtering 
"790nm CWL, 10nm FWHM, 25mm Mounted Diameter",67-846,$120,25.00 +0.00/-0.25,790 ,+3.0/-0.0 ,10.00 ,±2 ,>50 ,200 - Far IR ,?4.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.9 ,-50 to +70 ,±0.1 ,Bandpass Filter ,General Filtering 
"790nm CWL, 10nm FWHM, 50mm Mounted Diameter",67-913,$265,50.00 +0.00/-0.25,790 ,+3.0/-0.0 ,10.00 ,±2 ,>50 ,200 - Far IR ,?4.0 ,45.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.9 ,-50 to +70 ,±0.1 ,Bandpass Filter ,General Filtering 
"795nm CWL, 10nm FWHM, 12.5mm Mounted Diameter",67-780,$79,12.50 +0.00/-0.25,795 ,+2.0/-0.0 ,10.00 ,±2 ,>50 ,200 - Far IR ,?4.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.9 ,-50 to +70 ,±0.1 ,Bandpass Filter ,Rb Emission 
"795nm CWL, 10nm FWHM, 25mm Mounted Diameter",67-847,$120,25.00 +0.00/-0.25,795 ,+2.0/-0.0 ,10.00 ,±2 ,>50 ,200 - Far IR ,?4.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.9 ,-50 to +70 ,±0.1 ,Bandpass Filter ,Rb Emission 
"795nm CWL, 10nm FWHM, 50mm Mounted Diameter",67-914,$265,50.00 +0.00/-0.25,795 ,+2.0/-0.0 ,10.00 ,±2 ,>50 ,200 - Far IR ,?4.0 ,45.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.9 ,-50 to +70 ,±0.1 ,Bandpass Filter ,Rb Emission 
"800nm CWL, 10nm FWHM, 12.5mm Mounted Diameter",65-664,$79,12.50 +0.00/-0.25,800 ,±2 ,10.00 ,±2 ,?50 ,200 - Far IR ,?3.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,7.5 ,-50 to +75 ,±0.1 ,Bandpass Filter ,Ar Emission 
"800nm CWL, 10nm FWHM, 25mm Mounted Diameter",65-724,$120,25.00 +0.00/-0.25,800 ,±2 ,10.00 ,±2 ,?50 ,200 - Far IR ,?3.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,7.5 ,-50 to +75 ,±0.1 ,Bandpass Filter ,Ar Emission 
"800nm CWL, 40nm FWHM, 12.5mm Mounted Diameter",67-781,$79,12.50 +0.00/-0.25,800 ,+10.0/-0.0 ,40.00 ,±8 ,>50 ,200 - Far IR ,?4.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.9 ,-50 to +70 ,±0.1 ,Bandpass Filter ,Ar Emission 
"800nm CWL, 40nm FWHM, 25mm Mounted Diameter",67-848,$120,25.00 +0.00/-0.25,800 ,+10.0/-0.0 ,40.00 ,±8 ,>50 ,200 - Far IR ,?4.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.9 ,-50 to +70 ,±0.1 ,Bandpass Filter ,Ar Emission 
"800nm CWL, 40nm FWHM, 50mm Mounted Diameter",67-915,$265,50.00 +0.00/-0.25,800 ,+10/-0 ,40.00 ,±8 ,>50 ,200 - Far IR ,?4.0 ,45.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.9 ,-50 to +70 ,±0.1 ,Bandpass Filter ,Ar Emission 
"810nm CWL, 10nm FWHM, 12.5mm Mounted Diameter",67-782,$79,12.50 +0.00/-0.25,810 ,+3.0/-0.0 ,10.00 ,±2 ,>50 ,200 - Far IR ,?4.0 ,9.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.9 ,-50 to +70 ,±0.1 ,Bandpass Filter ,Laser Diode Cleanup 
"810nm CWL, 10nm FWHM, 25mm Mounted Diameter",67-849,$120,25.00 +0.00/-0.25,810 ,+3.0/-0.0 ,10.00 ,±2 ,>50 ,200 - Far IR ,?4.0 ,21.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.9 ,-50 to +70 ,±0.1 ,Bandpass Filter ,Laser Diode Cleanup 
"810nm CWL, 10nm FWHM, 50mm Mounted Diameter",67-916,$265,50.00 +0.00/-0.25,810 ,+3.0/-0.0 ,10.00 ,±2 ,>50 ,200 - Far IR ,?4.0 ,45.0 ,80-50 ,Intended for Collimated Input ,Traditional Coated ,Mounted in Black Anodized Ring ,5.9 ,-50 to +70 ,±0.1 ,Bandpass Filter ,Laser Diode Cleanup 
