Title,Stock Number,Price,Dia. (mm),Dimensions (mm),Dimensional Tolerance (mm),Glass/Filter Number,Cut-On Wavelength (nm),Thickness (mm),Thickness Tolerance (mm),Coating,Color,Cut-Off Position ?c (nm),Density (g/cm3),Substrate,Passband Limit 1 ?p1 (nm),Passband Limit 2 ?p2 (nm),Spectral Transmittance tip (%),Stopband Limit ?s(nm),Surface Quality,Transformation Temperature (°C),Type,Wavelength,Reflection Factor Pd
"RG-665, 50mm Dia. Longpass Filter",66-099,$72.5,50.00 ,,±0.38 ,Schott RG-665 ,665 ,3.00 ,±0.2 ,Uncoated ,Red ,665±6 ,2.77 ,Colored Glass ,750.00 ,,96.00 ,580.00 ,80-50 ,527.00 ,Longpass Filter ,VIS ,0.91 
"RG-695, 12.5mm Dia. Longpass Filter",54-660,$25,12.50 ,,±0.38 ,Schott RG-695 ,695 ,3.00 ,±0.2 ,Uncoated ,Black ,695±6 ,2.76 ,Colored Glass ,780.00 ,,96.00 ,610.00 ,80-50 ,532.00 ,Longpass Filter ,IR ,0.91 
"RG-695, 25.4mm Dia. Longpass Filter",32-756,$35,25.40 ,,±0.38 ,Schott RG-695 ,695 ,3.00 ,±0.2 ,Uncoated ,Black ,695±6 ,2.76 ,Colored Glass ,780.00 ,,96.00 ,610.00 ,80-50 ,532.00 ,Longpass Filter ,IR ,0.91 
"RG-695, 50.8mm Sq. Longpass Filter",32-766,$72.5,,50.8 x 50.8 ,±0.38 ,Schott RG-695 ,695 ,3.00 ,±0.2 ,Uncoated ,Black ,695±6 ,2.76 ,Colored Glass ,780.00 ,,96.00 ,610.00 ,80-50 ,532.00 ,Longpass Filter ,IR ,0.91 
"RG-695, 50mm Dia. Longpass Filter",66-100,$72.5,50.00 ,,±0.38 ,Schott RG-695 ,695 ,3.00 ,±0.2 ,Uncoated ,Black ,695±6 ,2.76 ,Colored Glass ,780.00 ,,96.00 ,610.00 ,80-50 ,532.00 ,Longpass Filter ,VIS ,0.91 
"RG-715, 12.5mm Dia. Longpass Filter",54-661,$25,12.50 ,,±0.38 ,Schott RG-715 ,715 ,3.00 ,±0.2 ,Uncoated ,Black ,715±9 ,2.76 ,Colored Glass ,810.00 ,,96.00 ,620.00 ,80-50 ,532.00 ,Longpass Filter ,IR ,0.91 
"RG-715, 25.4mm Dia. Longpass Filter",46-065,$35,25.40 ,,±0.38 ,Schott RG-715 ,715 ,3.00 ,±0.2 ,Uncoated ,Black ,715±9 ,2.76 ,Colored Glass ,810.00 ,,96.00 ,620.00 ,80-50 ,532.00 ,Longpass Filter ,IR ,0.91 
"RG-715, 50.8mm Sq. Longpass Filter",46-066,$72.5,,50.8 x 50.8 ,±0.38 ,Schott RG-715 ,715 ,3.00 ,±0.2 ,Uncoated ,Black ,715±9 ,2.76 ,Colored Glass ,810.00 ,,96.00 ,620.00 ,80-50 ,532.00 ,Longpass Filter ,IR ,0.91 
"RG-715, 50mm Dia. Longpass Filter",66-101,$72.5,50.00 ,,±0.38 ,Schott RG-715 ,715 ,3.00 ,±0.2 ,Uncoated ,Black ,715±9 ,2.76 ,Colored Glass ,810.00 ,,96.00 ,620.00 ,80-50 ,532.00 ,Longpass Filter ,IR ,0.91 
"R-72 (720nm), 12.5mm Dia. Longpass Filter",66-046,$25,12.50 ,, +0/-0.25 ,Hoya R-72 ,720 ,2.50 ,±0.2 ,Uncoated ,Black ,720±9 ,2.86 ,Colored Glass ,750.00 ,,93.00 ,648.00 ,80-50 ,525.00 ,Longpass Filter ,IR ,0.92 
"R-72 (720nm), 25.4mm Dia. Longpass Filter",66-057,$35,25.40 ,, +0/-0.25 ,Hoya R-72 ,720 ,2.50 ,±0.2 ,Uncoated ,Black ,720±9 ,2.86 ,Colored Glass ,750.00 ,,93.00 ,648.00 ,80-50 ,525.00 ,Longpass Filter ,IR ,0.92 
"R-72 (720nm), 50.8mm Sq. Longpass Filter",66-068,$72.5,,50.8 x 50.8 , +0/-0.25 ,Hoya R-72 ,720 ,2.50 ,±0.2 ,Uncoated ,Black ,720±9 ,2.86 ,Colored Glass ,750.00 ,,93.00 ,648.00 ,80-50 ,525.00 ,Longpass Filter ,IR ,0.92 
"R-72 (720nm), 50mm Dia. Longpass Filter",66-102,$72.5,50.00 ,, +0/-0.25 ,Hoya R-72 ,720 ,2.50 ,±0.2 ,Uncoated ,Black ,720±9 ,2.86 ,Colored Glass ,750.00 ,,93.00 ,648.00 ,80-50 ,525.00 ,Longpass Filter ,IR ,0.92 
"IR-76 (760nm), 12.5mm Dia. Longpass Filter",66-047,$25,12.50 ,, +0/-0.25 ,Hoya IR-76 ,760 ,2.50 ,±0.2 ,Uncoated ,Black ,760±9 ,2.84 ,Colored Glass ,800.00 ,,94.00 ,700.00 ,80-50 ,495.00 ,Longpass Filter ,IR ,0.92 
"IR-76 (760nm), 25.4mm Dia. Longpass Filter",66-058,$35,25.40 ,, +0/-0.25 ,Hoya IR-76 ,760 ,2.50 ,±0.2 ,Uncoated ,Black ,760±9 ,2.84 ,Colored Glass ,800.00 ,,94.00 ,700.00 ,80-50 ,495.00 ,Longpass Filter ,IR ,0.92 
"IR-76 (760nm), 50.8mm Sq. Longpass Filter",66-069,$72.5,,50.8 x 50.8 , +0/-0.25 ,Hoya IR-76 ,760 ,2.50 ,±0.2 ,Uncoated ,Black ,760±9 ,2.84 ,Colored Glass ,800.00 ,,94.00 ,700.00 ,80-50 ,495.00 ,Longpass Filter ,IR ,0.92 
"IR-76 (760nm), 50mm Dia. Longpass Filter",66-103,$72.5,50.00 ,, +0/-0.25 ,Hoya IR-76 ,760 ,2.50 ,±0.2 ,Uncoated ,Black ,760±9 ,2.84 ,Colored Glass ,800.00 ,,94.00 ,700.00 ,80-50 ,495.00 ,Longpass Filter ,IR ,0.92 
"RG-780, 12.5mm Dia. Longpass Filter",54-662,$25,12.50 ,,±0.38 ,Schott RG-780 ,780 ,3.00 ,±0.2 ,Uncoated ,Black ,780±9 ,2.94 ,Colored Glass ,900.00 ,900.00 ,97.00 ,610.00 ,80-50 ,552.00 ,Longpass Filter ,IR ,0.91 
"RG-780, 25.4mm Dia. Longpass Filter",32-757,$35,25.40 ,,±0.38 ,Schott RG-780 ,780 ,3.00 ,±0.2 ,Uncoated ,Black ,780±9 ,2.94 ,Colored Glass ,900.00 ,900.00 ,97.00 ,610.00 ,80-50 ,552.00 ,Longpass Filter ,IR ,0.91 
"RG-780, 50.8mm Sq. Longpass Filter",32-767,$72.5,,50.8 x 50.8 ,±0.38 ,Schott RG-780 ,780 ,3.00 ,±0.2 ,Uncoated ,Black ,780±9 ,2.94 ,Colored Glass ,900.00 ,900.00 ,97.00 ,610.00 ,80-50 ,552.00 ,Longpass Filter ,IR ,0.91 
"RG-780, 50mm Dia. Longpass Filter",66-104,$72.5,50.00 ,,±0.38 ,Schott RG-780 ,780 ,3.00 ,±0.2 ,Uncoated ,Black ,780±9 ,2.94 ,Colored Glass ,900.00 ,,97.00 ,610.00 ,80-50 ,552.00 ,Longpass Filter ,IR ,0.91 
"IR-80 (800nm), 12.5mm Dia. Longpass Filter",66-048,$25,12.50 ,, +0/-0.25 ,Hoya IR-80 ,800 ,2.50 ,±0.2 ,Uncoated ,Black ,800±9 ,2.85 ,Colored Glass ,850.00 ,,96.00 ,740.00 ,80-50 ,495.00 ,Longpass Filter ,IR ,0.92 
"IR-80 (800nm), 25.4mm Dia. Longpass Filter",66-059,$35,25.40 ,, +0/-0.25 ,Hoya IR-80 ,800 ,2.50 ,±0.2 ,Uncoated ,Black ,800±9 ,2.85 ,Colored Glass ,850.00 ,,96.00 ,740.00 ,80-50 ,495.00 ,Longpass Filter ,IR ,0.92 
"IR-80 (800nm), 50.8mm Sq. Longpass Filter",66-070,$72.5,,50.8 x 50.8 , +0/-0.25 ,Hoya IR-80 ,800 ,2.50 ,±0.2 ,Uncoated ,Black ,800±9 ,2.85 ,Colored Glass ,850.00 ,,96.00 ,740.00 ,80-50 ,495.00 ,Longpass Filter ,IR ,0.92 
"IR-80 (800nm), 50mm Dia. Longpass Filter",66-105,$72.5,50.00 ,, +0/-0.25 ,Hoya IR-80 ,800 ,2.50 ,±0.2 ,Uncoated ,Black ,800±9 ,2.85 ,Colored Glass ,850.00 ,,96.00 ,740.00 ,80-50 ,495.00 ,Longpass Filter ,IR ,0.92 
"RG-830, 12.5mm Dia. Longpass Filter",54-663,$25,12.50 ,,±0.38 ,Schott RG-830 ,830 ,3.00 ,±0.2 ,Uncoated ,Black ,830±9 ,2.94 ,Colored Glass ,950.00 ,1100.00 ,97.00 ,670.00 ,80-50 ,554.00 ,Longpass Filter ,IR ,0.91 
"RG-830, 25.4mm Dia. Longpass Filter",32-758,$35,25.40 ,,±0.38 ,Schott RG-830 ,830 ,3.00 ,±0.2 ,Uncoated ,Black ,830±9 ,2.94 ,Colored Glass ,950.00 ,1100.00 ,97.00 ,670.00 ,80-50 ,554.00 ,Longpass Filter ,IR ,0.91 
"RG-830, 50.8mm Sq. Longpass Filter",32-768,$72.5,,50.8 x 50.8 ,±0.38 ,Schott RG-830 ,830 ,3.00 ,±0.2 ,Uncoated ,Black ,830±9 ,2.94 ,Colored Glass ,950.00 ,1100.00 ,97.00 ,670.00 ,80-50 ,554.00 ,Longpass Filter ,IR ,0.91 
"RG-830, 50mm Dia. Longpass Filter",66-106,$72.5,50.00 ,,±0.38 ,Schott RG-830 ,830 ,3.00 ,±0.2 ,Uncoated ,Black ,830±9 ,2.94 ,Colored Glass ,950.00 ,,97.00 ,670.00 ,80-50 ,554.00 ,Longpass Filter ,IR ,0.91 
"RG-850, 12.5mm Dia. Longpass Filter",54-664,$25,12.50 ,,±0.38 ,Schott RG-850 ,850 ,3.00 ,±0.2 ,Uncoated ,Black ,850±9 ,2.93 ,Colored Glass ,1200.00 ,1200.00 ,97.00 ,700.00 ,80-50 ,554.00 ,Longpass Filter ,IR ,0.91 
"RG-850, 25.4mm Dia. Longpass Filter",32-759,$35,25.40 ,,±0.38 ,Schott RG-850 ,850 ,3.00 ,±0.2 ,Uncoated ,Black ,850±9 ,2.93 ,Colored Glass ,120.00 ,1200.00 ,97.00 ,700.00 ,80-50 ,554.00 ,Longpass Filter ,IR ,0.91 
"RG-850, 50.8mm Sq. Longpass Filter",32-769,$72.5,,50.8 x 50.8 ,±0.38 ,Schott RG-850 ,850 ,3.00 ,±0.2 ,Uncoated ,Black ,850±9 ,2.93 ,Colored Glass ,120.00 ,1200.00 ,97.00 ,700.00 ,80-50 ,554.00 ,Longpass Filter ,IR ,0.91 
"RG-850, 50mm Dia. Longpass Filter",66-107,$72.5,50.00 ,,±0.38 ,Schott RG-850 ,850 ,3.00 ,±0.2 ,Uncoated ,Black ,850±9 ,2.93 ,Colored Glass ,1200.00 ,,97.00 ,700.00 ,80-50 ,554.00 ,Longpass Filter ,IR ,0.91 
"RG-1000, 12.5mm Dia. Longpass Filter",54-665,$25,12.50 ,,±0.38 ,Schott RG-1000 ,1000 ,3.00 ,±0.2 ,Uncoated ,Black ,1000±6 ,2.73 ,Colored Glass ,1300.00 ,,90.00 ,730.00 ,80-50 ,476.00 ,Longpass Filter ,IR ,0.91 
"RG-1000, 25.4mm Dia. Longpass Filter",32-760,$35,25.40 ,,±0.38 ,Schott RG-1000 ,1000 ,3.00 ,±0.2 ,Uncoated ,Black ,1000±6 ,2.73 ,Colored Glass ,1300.00 ,,90.00 ,730.00 ,80-50 ,476.00 ,Longpass Filter ,IR ,0.91 
"RG-1000, 50.8mm Sq. Longpass Filter",32-770,$72.5,,50.8 x 50.8 ,±0.38 ,Schott RG-1000 ,1000 ,3.00 ,±0.2 ,Uncoated ,Black ,1000±6 ,2.73 ,Colored Glass ,1300.00 ,,90.00 ,730.00 ,80-50 ,476.00 ,Longpass Filter ,IR ,0.91 
"RG-1000, 50mm Dia. Longpass Filter",66-108,$72.5,50.00 ,,±0.38 ,Schott RG-1000 ,1000 ,3.00 ,±0.2 ,Uncoated ,Black ,1000±6 ,2.73 ,Colored Glass ,1300.00 ,,90.00 ,730.00 ,80-50 ,476.00 ,Longpass Filter ,IR ,0.91 
