Title,Stock Number,Price,Dia. (mm),CWL (nm),CWL Tolerance (nm),FWHM (nm),FWHM Tolerance (nm),Minimum Transmission (%),Blocking Wavelength Range (nm),Optical Density OD,CA (mm),Surface Quality,Coating,Mount Thickness (mm),Substrate,Substrate Thickness (mm),Thickness Tolerance (mm),Type,Typical Applications
"270nm CWL, 50mm Dia., Hard Coated OD 4 10nm Bandpass Filter",35-887,$550,50.00 +0.0/-0.1,270 ,±2.0 ,10 ,±2.0 ,>60 ,200 - 650 ,?4.0 ,45.3 ,80-50 ,Hard Coated ,5.0 ,Fused Silica ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,Nucleic Acid Quantitation 
"280nm CWL, 12.5mm Dia., Hard Coated OD 4 10nm Bandpass Filter",35-874,$155,12.50 +0.0/-0.1,280 ,±2.0 ,10 ,±2.0 ,>60 ,200 - 650 ,?4.0 ,8.8 ,80-50 ,Hard Coated ,5.0 ,Fused Silica ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,Protein Absorption - Tyr & Trp 
"280nm CWL, 25mm Dia., Hard Coated OD 4 10nm Bandpass Filter",35-881,$255,25.00 +0.0/-0.1,280 ,±2.0 ,10 ,±2.0 ,>60 ,200 - 650 ,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Fused Silica ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,Protein Absorption - Tyr & Trp 
"280nm CWL, 50mm Dia., Hard Coated OD 4 10nm Bandpass Filter",35-888,$550,50.00 +0.0/-0.1,280 ,±2.0 ,10 ,±2.0 ,>60 ,200 - 650 ,?4.0 ,45.3 ,80-50 ,Hard Coated ,5.0 ,Fused Silica ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,Protein Absorption - Tyr & Trp 
"285nm CWL, 12.5mm Dia., Hard Coated OD 4 10nm Bandpass Filter",35-875,$155,12.50 +0.0/-0.1,285 ,±2.0 ,10 ,±2.0 ,>65 ,200 - 650 ,?4.0 ,8.8 ,80-50 ,Hard Coated ,5.0 ,Fused Silica ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,SO2 Absorption Band 
"285nm CWL, 25mm Dia., Hard Coated OD 4 10nm Bandpass Filter",35-882,$255,25.00 +0.0/-0.1,285 ,±2.0 ,10 ,±2.0 ,>65 ,200 - 650 ,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Fused Silica ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,SO2 Absorption Band 
"285nm CWL, 50mm Dia., Hard Coated OD 4 10nm Bandpass Filter",35-889,$550,50.00 +0.0/-0.1,285 ,±2.0 ,10 ,±2.0 ,>65 ,200 - 650 ,?4.0 ,45.3 ,80-50 ,Hard Coated ,5.0 ,Fused Silica ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,SO2 Absorption Band 
"290nm CWL, 12.5mm Dia., Hard Coated OD 4 10nm Bandpass Filter",35-876,$155,12.50 +0.0/-0.1,290 ,±2.0 ,10 ,±2.0 ,>70 ,200 - 700 ,?4.0 ,8.8 ,80-50 ,Hard Coated ,5.0 ,Fused Silica ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,Ethanal Peak 
"290nm CWL, 25mm Dia., Hard Coated OD 4 10nm Bandpass Filter",35-883,$255,25.00 +0.0/-0.1,290 ,±2.0 ,10 ,±2.0 ,>70 ,200 - 700 ,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Fused Silica ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,Ethanal Peak 
"290nm CWL, 50mm Dia., Hard Coated OD 4 10nm Bandpass Filter",35-890,$550,50.00 +0.0/-0.1,290 ,±2.0 ,10 ,±2.0 ,>70 ,200 - 700 ,?4.0 ,45.3 ,80-50 ,Hard Coated ,5.0 ,Fused Silica ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,Ethanal Peak 
"300nm CWL, 12.5mm Dia., Hard Coated OD 4 10nm Bandpass Filter",35-877,$155,12.50 +0.0/-0.1,300 ,±2.0 ,10 ,±2.0 ,>75 ,200 - 700 ,?4.0 ,8.8 ,80-50 ,Hard Coated ,5.0 ,Fused Silica ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,Protein Absorption - Tyr & Trp 
"300nm CWL, 25mm Dia., Hard Coated OD 4 10nm Bandpass Filter",35-884,$255,25.00 +0.0/-0.1,300 ,±2.0 ,10 ,±2.0 ,>75 ,200 - 700 ,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Fused Silica ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,Protein Absorption - Tyr & Trp 
"300nm CWL, 50mm Dia., Hard Coated OD 4 10nm Bandpass Filter",35-891,$550,50.00 +0.0/-0.1,300 ,±2.0 ,10 ,±2.0 ,>75 ,200 - 700 ,?4.0 ,45.3 ,80-50 ,Hard Coated ,5.0 ,Fused Silica ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,Protein Absorption - Tyr & Trp 
"310nm CWL, 12.5mm Dia., Hard Coated OD 4 10nm Bandpass Filter",34-972,$130,12.50 +0.0/-0.1,310 ,±2.0 ,10 ,±2.0 ,?70 ,200 - 1200 ,?4.0 ,8.8 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,XeCl Excimer Laser (UV-B) 
"310nm CWL, 25mm Dia., Hard Coated OD 4 10nm Bandpass Filter",34-976,$205,25.00 +0.0/-0.1,310 ,±2.0 ,10 ,±2.0 ,?70 ,200 - 1200 ,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,XeCl Excimer Laser (UV-B) 
"310nm CWL, 50mm Dia., Hard Coated OD 4 10nm Bandpass Filter",34-980,$495,50.00 +0.0/-0.1,310 ,±2.0 ,10 ,±2.0 ,?70 ,200 - 1200 ,?4.0 ,45.3 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,XeCl Excimer Laser (UV-B) 
"313nm CWL, 12.5mm Dia., Hard Coated OD 4 10nm Bandpass Filter",34-973,$130,12.50 +0.0/-0.1,313 ,±2.0 ,10 ,±2.0 ,?75 ,200 - 1200 ,?4.0 ,8.8 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,Mercury Emission Line 
"313nm CWL, 25mm Dia., Hard Coated OD 4 10nm Bandpass Filter",34-977,$205,25.00 +0.0/-0.1,313 ,±2.0 ,10 ,±2.0 ,?75 ,200 - 1200 ,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,Mercury Emission Line 
"313nm CWL, 50mm Dia., Hard Coated OD 4 10nm Bandpass Filter",34-981,$495,50.00 +0.0/-0.1,313 ,±2.0 ,10 ,±2.0 ,?75 ,200 - 1200 ,?4.0 ,45.3 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,Mercury Emission Line 
"320nm CWL, 12.5mm Dia., Hard Coated OD 4 10nm Bandpass Filter",34-974,$130,12.50 +0.0/-0.1,320 ,±2.0 ,10 ,±2.0 ,?75 ,200 - 1200 ,?4.0 ,8.8 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,Brilliant Ultraviolet (BUV) Excitation 
"320nm CWL, 25mm Dia., Hard Coated OD 4 10nm Bandpass Filter",34-978,$205,25.00 +0.0/-0.1,320 ,±2.0 ,10 ,±2.0 ,?75 ,200 - 1200 ,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,Brilliant Ultraviolet (BUV) Excitation 
"320nm CWL, 50mm Dia., Hard Coated OD 4 10nm Bandpass Filter",34-982,$495,50.00 +0.0/-0.1,320 ,±2.0 ,10 ,±2.0 ,?75 ,200 - 1200 ,?4.0 ,45.3 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,Brilliant Ultraviolet (BUV) Excitation 
"330nm CWL, 12.5mm Dia., Hard Coated OD 4 10nm Bandpass Filter",34-975,$130,12.50 +0.0/-0.1,330 ,±2.0 ,10 ,±2.0 ,?75 ,200 - 1200 ,?4.0 ,8.8 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,FluoroGold Excitation 
"330nm CWL, 25mm Dia., Hard Coated OD 4 10nm Bandpass Filter",34-979,$205,25.00 +0.0/-0.1,330 ,±2.0 ,10 ,±2.0 ,?75 ,200 - 1200 ,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,FluoroGold Excitation 
