"","wave","value"
"1",339.483,-24.31
"2",339.86,-20.89
"3",340.237,-17.25
"4",340.615,-13.97
"5",340.992,-11.78
"6",341.37,-9.31
"7",341.747,-5.19
"8",342.124,-1.04
"9",342.501,2.72
"10",342.878,5.32
"11",343.256,6.99
"12",343.633,7.42
"13",344.01,7.26
"14",344.387,6.01
"15",344.764,4.32
"16",345.141,2.43
"17",345.518,-0.41
"18",345.895,-2.86
"19",346.272,-5.9
"20",346.649,-8.73
"21",347.025,-9.69
"22",347.402,-12.27
"23",347.779,-14.82
"24",348.156,-17.65
"25",348.532,-19.95
"26",348.909,-21.99
"27",349.286,-23.75
"28",349.662,-25.42
"29",350.039,-27.31
"30",350.415,-26.32
"31",350.792,-27.29
"32",351.168,-30.08
"33",351.545,-30.96
"34",351.921,-31.6
"35",352.297,-31.97
"36",352.674,-32.36
"37",353.05,-33.25
"38",353.426,-33.67
"39",353.803,-34.17
"40",354.179,-34.34
"41",354.555,-36.3
"42",354.931,-36.36
"43",355.307,-36.02
"44",355.683,-35.59
"45",356.059,-35.26
"46",356.435,-35.06
"47",356.811,-35.25
"48",357.187,-34.4
"49",357.563,-34.35
"50",357.939,-33.95
"51",358.315,-33.51
"52",358.691,-33.54
"53",359.066,-32.5
"54",359.442,-32.47
"55",359.818,-32.52
"56",360.194,-32.75
"57",360.569,-32.33
"58",360.945,-31.97
"59",361.32,-32.59
"60",361.696,-32.12
"61",362.071,-31.49
"62",362.447,-31.43
"63",362.822,-31.8
"64",363.198,-32.91
"65",363.573,-32.92
"66",363.948,-32.98
"67",364.324,-32.79
"68",364.699,-33.14
"69",365.074,-31.87
"70",365.449,-31.48
"71",365.825,-31.29
"72",366.2,-31.63
"73",366.575,-31.99
"74",366.95,-32.03
"75",367.325,-32.09
"76",367.7,-32.16
"77",368.075,-32.4
"78",368.45,-32.32
"79",368.825,-32.2
"80",369.2,-33.01
"81",369.575,-33.01
"82",369.949,-33.21
"83",370.324,-32.79
"84",370.699,-32.63
"85",371.074,-32.25
"86",371.448,-32.13
"87",371.823,-31.56
