"","wave","value"
"1",339.483,-179.25
"2",339.86,-148.4
"3",340.237,-95.15
"4",340.615,-78.94
"5",340.992,-88.93
"6",341.37,-94.04
"7",341.747,-92.1
"8",342.124,-82.65
"9",342.501,-69.29
"10",342.878,-53.48
"11",343.256,-54.05
"12",343.633,-23.16
"13",344.01,39
"14",344.387,67.02
"15",344.764,101.62
"16",345.141,312.71
"17",345.518,303.89
"18",345.895,301.23
"19",346.272,260.47
"20",346.649,236.52
"21",347.025,257.29
"22",347.402,227.23
"23",347.779,211.78
"24",348.156,174.31
"25",348.532,346.06
"26",348.909,371
"27",349.286,368.55
"28",349.662,371.79
"29",350.039,367.61
"30",350.415,361.45
"31",350.792,360.46
"32",351.168,347.15
"33",351.545,338.86
"34",351.921,296.64
"35",352.297,288.08
"36",352.674,317.15
"37",353.05,146.24
"38",353.426,165.29
"39",353.803,203.43
"40",354.179,244.92
"41",354.555,263.13
"42",354.931,242.16
"43",355.307,270.49
"44",355.683,260.42
"45",356.059,267.67
"46",356.435,105.64
"47",356.811,100.58
"48",357.187,181.67
"49",357.563,176.98
"50",357.939,186.06
"51",358.315,189.19
"52",358.691,194.14
"53",359.066,210.06
"54",359.442,209.43
"55",359.818,234.75
"56",360.194,270.91
"57",360.569,241.27
"58",360.945,222.06
"59",361.32,200.41
"60",361.696,171.7
"61",362.071,150.83
"62",362.447,126.77
"63",362.822,127.14
"64",363.198,192.42
"65",363.573,217.84
"66",363.948,243.77
"67",364.324,240.38
"68",364.699,221.7
"69",365.074,133.97
"70",365.449,136.95
"71",365.825,134.81
"72",366.2,121.76
"73",366.575,114.82
"74",366.95,97.91
"75",367.325,142.53
"76",367.7,142.79
"77",368.075,141.75
"78",368.45,179.27
"79",368.825,195.97
"80",369.2,193.88
"81",369.575,184.86
"82",369.949,207.76
"83",370.324,199.1
"84",370.699,195.19
"85",371.074,103.45
"86",371.448,80.85
"87",371.823,40.3
"88",372.197,14.1
"89",372.572,182.09
"90",372.947,212.57
"91",373.321,214.29
"92",373.695,195.87
"93",374.07,187.78
"94",374.444,165.86
"95",374.819,163.88
"96",375.193,197.85
"97",375.567,184.54
"98",375.942,189.55
"99",376.316,143.11
"100",376.69,131.31
"101",377.064,167.37
"102",377.438,178.59
"103",377.812,217.52
"104",378.186,232.19
"105",378.56,246.54
"106",378.934,247.84
"107",379.308,244.4
"108",379.682,256.3
"109",380.056,279.99
"110",380.43,102.09
"111",380.804,101.1
"112",381.178,89.51
"113",381.551,93.9
"114",381.925,144.78
"115",382.299,168.05
"116",382.672,170.19
"117",383.046,96.97
"118",383.42,111.95
"119",383.793,90.29
"120",384.167,125.68
"121",384.54,121.45
"122",384.914,88.05
"123",385.287,76.94
"124",385.66,2.2
"125",386.034,376.43
"126",386.407,390.42
"127",386.78,378.15
"128",387.154,373.19
"129",387.527,369.07
"130",387.9,366.62
"131",388.273,387.23
"132",388.646,370.38
"133",389.019,383.74
"134",389.392,379.82
"135",389.765,333.01
"136",390.138,312.4
"137",390.511,335.31
"138",390.884,356.18
"139",391.257,333.17
"140",391.63,326.17
"141",392.003,315.53
"142",392.375,336.92
"143",392.748,340.68
"144",393.121,335.1
"145",393.493,343.19
"146",393.866,-41.37
"147",394.239,-71.74
"148",394.611,-54.16
"149",394.984,-15.75
"150",395.356,4.61
"151",395.729,3.61
"152",396.101,46.25
"153",396.473,75.21
"154",396.846,74.9
"155",397.218,101.93
"156",397.59,105.59
"157",397.963,111.33
"158",398.335,224.46
"159",398.707,228.85
"160",399.079,224.31
"161",399.451,226.86
"162",399.823,200.04
"163",400.195,206.15
"164",400.567,288.76
"165",400.939,291.78
"166",401.311,296.53
"167",401.683,297.84
"168",402.055,292.98
"169",402.427,300.97
"170",402.799,398.45
"171",403.17,421.36
"172",403.542,425.01
"173",403.914,405.81
"174",404.285,484.82
"175",404.657,484.45
"176",405.029,470.42
"177",405.4,958.46
"178",405.772,986.59
"179",406.143,871.31
"180",406.514,845.89
"181",406.886,856.07
"182",407.257,848.35
"183",407.629,842.24
"184",408,813.85
"185",408.371,747.47
"186",408.742,760.05
"187",409.114,754.83
"188",409.485,742.51
"189",409.856,739.12
"190",410.227,740.27
"191",410.598,608.92
"192",410.969,587
"193",411.34,588.93
"194",411.711,579.28
"195",412.082,485.34
"196",412.453,469.01
"197",412.824,457.27
"198",413.194,-11.15
"199",413.565,-48
"200",413.936,-59.01
"201",414.307,-54.26
"202",414.677,-35.79
"203",415.048,-34.74
"204",415.418,-18.25
"205",415.789,-4.06
"206",416.159,-31.92
"207",416.53,-33.8
"208",416.9,-19.92
"209",417.271,-3.74
"210",417.641,6.95
"211",418.012,-16.53
"212",418.382,-10.42
"213",418.752,-24.93
"214",419.122,-26.18
"215",419.493,-53.48
"216",419.863,-64.28
"217",420.233,-71.53
"218",420.603,-26.91
"219",420.973,-30.52
"220",421.343,-27.38
"221",421.713,-38.55
"222",422.083,-27.12
