"","wave","value"
"1",339.483,-8.62
"2",339.86,-9.11
"3",340.237,-9.73
"4",340.615,-10.58
"5",340.992,-10.62
"6",341.37,-11.16
"7",341.747,-11.83
"8",342.124,-12.46
"9",342.501,-12.8
"10",342.878,-13.46
"11",343.256,-13.8
"12",343.633,-14.31
"13",344.01,-14.86
"14",344.387,-15.31
"15",344.764,-15.86
"16",345.141,-16.5
"17",345.518,-16.86
"18",345.895,-17.3
"19",346.272,-17.7
"20",346.649,-17.88
"21",347.025,-18.25
"22",347.402,-18.57
"23",347.779,-19.06
"24",348.156,-19.2
"25",348.532,-19.28
"26",348.909,-19.51
"27",349.286,-19.82
"28",349.662,-19.87
"29",350.039,-20
"30",350.415,-20.32
"31",350.792,-20.36
"32",351.168,-20.39
"33",351.545,-20.39
"34",351.921,-20.45
"35",352.297,-20.5
"36",352.674,-20.55
"37",353.05,-20.83
"38",353.426,-21.44
"39",353.803,-22.07
"40",354.179,-22.61
"41",354.555,-23.19
"42",354.931,-23.94
"43",355.307,-24.44
"44",355.683,-25.05
"45",356.059,-25.44
"46",356.435,-26.03
"47",356.811,-26.64
"48",357.187,-27.21
"49",357.563,-27.84
"50",357.939,-28.33
"51",358.315,-28.66
"52",358.691,-29.16
"53",359.066,-29.49
"54",359.442,-29.95
"55",359.818,-30.02
"56",360.194,-30.25
"57",360.569,-30.54
"58",360.945,-30.69
"59",361.32,-30.89
"60",361.696,-31.16
"61",362.071,-31.21
"62",362.447,-31.48
"63",362.822,-31.59
"64",363.198,-31.61
"65",363.573,-31.5
"66",363.948,-31.76
"67",364.324,-31.77
"68",364.699,-31.66
"69",365.074,-31.17
"70",365.449,-31.32
"71",365.825,-31.35
"72",366.2,-31.33
"73",366.575,-31.3
"74",366.95,-31.19
"75",367.325,-31.11
"76",367.7,-30.71
"77",368.075,-30.45
"78",368.45,-30.46
"79",368.825,-30.42
"80",369.2,-30.25
"81",369.575,-30.26
"82",369.949,-30.2
"83",370.324,-29.93
"84",370.699,-29.78
"85",371.074,-29.8
"86",371.448,-29.93
"87",371.823,-29.9
"88",372.197,-29.8
"89",372.572,-29.98
"90",372.947,-30.16
"91",373.321,-30.04
"92",373.695,-30.18
"93",374.07,-30.23
"94",374.444,-30.23
"95",374.819,-30.24
"96",375.193,-30.31
"97",375.567,-30.54
"98",375.942,-30.63
"99",376.316,-30.73
"100",376.69,-30.79
"101",377.064,-31.03
"102",377.438,-31.09
"103",377.812,-31.2
"104",378.186,-31.28
"105",378.56,-31.48
"106",378.934,-31.66
"107",379.308,-31.59
"108",379.682,-31.8
"109",380.056,-32.01
"110",380.43,-32.14
"111",380.804,-32.17
"112",381.178,-32.03
"113",381.551,-31.8
"114",381.925,-31.66
"115",382.299,-31.55
"116",382.672,-31.53
"117",383.046,-31.56
"118",383.42,-31.68
"119",383.793,-31.81
"120",384.167,-31.69
"121",384.54,-31.35
"122",384.914,-31.3
"123",385.287,-31.28
"124",385.66,-31.32
"125",386.034,-31.41
"126",386.407,-31.25
"127",386.78,-31.21
"128",387.154,-31.41
"129",387.527,-31.45
"130",387.9,-31.88
"131",388.273,-31.93
"132",388.646,-31.79
"133",389.019,-31.95
"134",389.392,-31.94
"135",389.765,-31.83
"136",390.138,-31.71
"137",390.511,-32.09
"138",390.884,-31.93
"139",391.257,-31.78
"140",391.63,-31.72
"141",392.003,-31.78
"142",392.375,-31.7
"143",392.748,-31.7
"144",393.121,-31.76
"145",393.493,-31.73
"146",393.866,-31.82
"147",394.239,-31.79
"148",394.611,-31.82
"149",394.984,-31.8
"150",395.356,-31.43
"151",395.729,-31.22
"152",396.101,-31.21
"153",396.473,-31.08
"154",396.846,-30.81
"155",397.218,-31
"156",397.59,-31.1
"157",397.963,-30.09
"158",398.335,-29.8
"159",398.707,-29.84
"160",399.079,-29.86
