"","wave","value"
"1",339.483,-23.75
"2",339.86,-20.66
"3",340.237,-16.92
"4",340.615,-13.75
"5",340.992,-11.77
"6",341.37,-9.33
"7",341.747,-5.27
"8",342.124,-1.16
"9",342.501,2.45
"10",342.878,5.19
"11",343.256,6.82
"12",343.633,7.26
"13",344.01,7.28
"14",344.387,6.05
"15",344.764,4.39
"16",345.141,2.83
"17",345.518,0.12
"18",345.895,-2.25
"19",346.272,-5.3
"20",346.649,-7.89
"21",347.025,-8.94
"22",347.402,-11.4
"23",347.779,-14
"24",348.156,-16.59
"25",348.532,-18.91
"26",348.909,-21
"27",349.286,-22.74
"28",349.662,-24.49
"29",350.039,-26.4
"30",350.415,-27.5
"31",350.792,-28.59
"32",351.168,-31.26
"33",351.545,-32.05
"34",351.921,-32.65
"35",352.297,-32.92
"36",352.674,-33.33
"37",353.05,-33.86
"38",353.426,-34.39
"39",353.803,-34.73
"40",354.179,-35.05
"41",354.555,-34.78
"42",354.931,-34.92
"43",355.307,-34.77
"44",355.683,-34.44
"45",356.059,-34.05
"46",356.435,-34.08
"47",356.811,-34.12
"48",357.187,-33.47
"49",357.563,-33.5
"50",357.939,-33.04
"51",358.315,-32.34
"52",358.691,-32.52
"53",359.066,-31.38
"54",359.442,-31.33
"55",359.818,-31.44
"56",360.194,-31.69
"57",360.569,-31.47
"58",360.945,-31.21
"59",361.32,-31.78
"60",361.696,-31.36
"61",362.071,-31.02
"62",362.447,-31.28
"63",362.822,-31.53
"64",363.198,-32.59
"65",363.573,-32.42
"66",363.948,-32.16
"67",364.324,-32.23
"68",364.699,-32.35
"69",365.074,-31.12
"70",365.449,-30.81
"71",365.825,-30.53
"72",366.2,-30.69
"73",366.575,-30.5
"74",366.95,-30.54
"75",367.325,-30.38
"76",367.7,-30.32
"77",368.075,-30.55
"78",368.45,-30.36
"79",368.825,-30.54
"80",369.2,-31.51
"81",369.575,-31.56
"82",369.949,-31.58
"83",370.324,-31.26
"84",370.699,-31.44
"85",371.074,-31.28
"86",371.448,-31.39
"87",371.823,-31.09
"88",372.197,-31.03
"89",372.572,-31.26
"90",372.947,-30.82
"91",373.321,-31.2
"92",373.695,-31.46
"93",374.07,-31.95
"94",374.444,-30.48
"95",374.819,-30.36
"96",375.193,-30.21
"97",375.567,-30.31
"98",375.942,-30.89
"99",376.316,-31
"100",376.69,-31.06
"101",377.064,-30.58
"102",377.438,-30.54
"103",377.812,-30.01
"104",378.186,-29.86
"105",378.56,-31.88
"106",378.934,-31.59
"107",379.308,-31.63
"108",379.682,-30.72
"109",380.056,-30.37
"110",380.43,-30.14
"111",380.804,-29.9
"112",381.178,-30.81
"113",381.551,-30.89
"114",381.925,-30.93
"115",382.299,-31.2
"116",382.672,-30.89
"117",383.046,-31.2
"118",383.42,-31.22
"119",383.793,-31.49
"120",384.167,-31.46
"121",384.54,-31.81
"122",384.914,-31.91
"123",385.287,-31.41
"124",385.66,-31.1
"125",386.034,-31.17
"126",386.407,-30.96
"127",386.78,-31.2
"128",387.154,-31.24
"129",387.527,-31.33
"130",387.9,-27.6
"131",388.273,-27.44
"132",388.646,-27.28
"133",389.019,-27.31
"134",389.392,-27.42
"135",389.765,-27.47
"136",390.138,-27.55
"137",390.511,-27.33
"138",390.884,-27.26
"139",391.257,-27.26
"140",391.63,-27.28
"141",392.003,-31.46
"142",392.375,-31.68
"143",392.748,-31.37
"144",393.121,-31.27
"145",393.493,-31.53
"146",393.866,-31.52
"147",394.239,-31.51
"148",394.611,-31.57
"149",394.984,-31.84
"150",395.356,-31.72
"151",395.729,-31.62
"152",396.101,-31.85
"153",396.473,-31.75
"154",396.846,-31.8
"155",397.218,-31.69
"156",397.59,-31.46
"157",397.963,-31.25
"158",398.335,-31.01
"159",398.707,-31.03
"160",399.079,-30.39
"161",399.451,-30.57
"162",399.823,-30.57
"163",400.195,-29.78
"164",400.567,-29.86
"165",400.939,-30.28
"166",401.311,-30.42
"167",401.683,-30.66
"168",402.055,-30.79
"169",402.427,-29.93
"170",402.799,-29.98
"171",403.17,-30.32
"172",403.542,-30.3
"173",403.914,-30.47
"174",404.285,-30.66
"175",404.657,-29.38
"176",405.029,-28.64
"177",405.4,-28.32
"178",405.772,-27.79
"179",406.143,-26.66
"180",406.514,-27.8
"181",406.886,-27.72
"182",407.257,-26.74
"183",407.629,-26.48
"184",408,-26.26
"185",408.371,-26.65
"186",408.742,-27.9
"187",409.114,-28.53
"188",409.485,-28.95
"189",409.856,-29.53
"190",410.227,-30.55
"191",410.598,-30.57
"192",410.969,-30.67
"193",411.34,-31.78
"194",411.711,-32.16
"195",412.082,-31.85
"196",412.453,-31.99
"197",412.824,-31.87
"198",413.194,-31.55
"199",413.565,-31.02
"200",413.936,-30.76
"201",414.307,-31.3
"202",414.677,-31.45
"203",415.048,-31.16
"204",415.418,-31.15
"205",415.789,-31.04
"206",416.159,-31.26
"207",416.53,-30.91
"208",416.9,-31.19
"209",417.271,-31.26
"210",417.641,-31.35
"211",418.012,-31.6
"212",418.382,-31.22
"213",418.752,-30.88
"214",419.122,-31.06
"215",419.493,-31.02
"216",419.863,-30.95
"217",420.233,-31.11
"218",420.603,-31.36
"219",420.973,-31.04
"220",421.343,-31.26
"221",421.713,-31.33
"222",422.083,-31.35
"223",422.453,-31.08
"224",422.823,-30.98
"225",423.193,-31.09
"226",423.562,-31.23
"227",423.932,-31.17
"228",424.302,-31.09
"229",424.672,-31.11
"230",425.041,-31.59
"231",425.411,-31.48
"232",425.78,-31.61
"233",426.15,-31.56
"234",426.52,-32
"235",426.889,-32.41
"236",427.258,-32.29
"237",427.628,-32.09
"238",427.997,-31.94
"239",428.367,-31.32
"240",428.736,-31.19
"241",429.105,-30.24
"242",429.474,-30.1
"243",429.844,-29.84
"244",430.213,-29.73
"245",430.582,-29.75
"246",430.951,-29.58
"247",431.32,-29.52
"248",431.689,-29.56
"249",432.058,-29.75
"250",432.427,-29.84
"251",432.796,-28.75
"252",433.165,-29.25
"253",433.534,-29.53
"254",433.902,-29.69
"255",434.271,-29.48
"256",434.64,-29.39
"257",435.009,-29.18
"258",435.377,-29.02
