"","wave","value"
"1",339.483,-40.12
"2",339.86,-35.2
"3",340.237,-28.48
"4",340.615,-22.56
"5",340.992,-19.81
"6",341.37,-14.77
"7",341.747,-8.52
"8",342.124,-1.24
"9",342.501,4.6
"10",342.878,8.48
"11",343.256,11.78
"12",343.633,12.25
"13",344.01,12.87
"14",344.387,11.43
"15",344.764,9.32
"16",345.141,7.9
"17",345.518,3.25
"18",345.895,1.86
"19",346.272,-2.67
"20",346.649,-5.62
"21",347.025,0.55
"22",347.402,-1.87
"23",347.779,-4.46
"24",348.156,-8.04
"25",348.532,-10.75
"26",348.909,-12.59
"27",349.286,-14.17
"28",349.662,-16.04
"29",350.039,-19.74
"30",350.415,-18.36
"31",350.792,-18.91
"32",351.168,-28.82
"33",351.545,-29.19
"34",351.921,-29.74
"35",352.297,-29.37
"36",352.674,-29.31
"37",353.05,-31.57
"38",353.426,-32.62
"39",353.803,-33.29
"40",354.179,-33.69
"41",354.555,-34.47
"42",354.931,-34.76
"43",355.307,-33.19
"44",355.683,-31.55
"45",356.059,-30
"46",356.435,-29.48
"47",356.811,-30.64
"48",357.187,-27.58
"49",357.563,-27.84
"50",357.939,-26.94
"51",358.315,-24.94
"52",358.691,-25.71
"53",359.066,-21.85
"54",359.442,-23.03
"55",359.818,-24.23
"56",360.194,-25.34
"57",360.569,-24.76
"58",360.945,-23.98
"59",361.32,-26.81
"60",361.696,-25.07
"61",362.071,-23.63
"62",362.447,-24.54
"63",362.822,-25.99
"64",363.198,-30.43
"65",363.573,-29.63
"66",363.948,-29.94
"67",364.324,-30.35
"68",364.699,-31.57
"69",365.074,-25.78
"70",365.449,-24.42
"71",365.825,-23.67
"72",366.2,-24.08
"73",366.575,-24.51
"74",366.95,-24.9
"75",367.325,-24.72
"76",367.7,-24.67
"77",368.075,-25.38
"78",368.45,-24.58
"79",368.825,-25.1
"80",369.2,-29.13
"81",369.575,-29.07
"82",369.949,-29.27
"83",370.324,-27.91
"84",370.699,-27.15
"85",371.074,-26.38
"86",371.448,-26.4
"87",371.823,-25.08
"88",372.197,-25.11
"89",372.572,-26.05
"90",372.947,-24.77
"91",373.321,-27.13
"92",373.695,-28.73
"93",374.07,-30.87
"94",374.444,-23.74
"95",374.819,-23.03
"96",375.193,-22.4
"97",375.567,-22.41
"98",375.942,-24.97
"99",376.316,-25.15
"100",376.69,-25.95
"101",377.064,-22.66
"102",377.438,-22.21
"103",377.812,-19.24
"104",378.186,-18.69
"105",378.56,-28.19
"106",378.934,-27.6
"107",379.308,-27.24
"108",379.682,-22.81
"109",380.056,-21.73
"110",380.43,-20.71
"111",380.804,-19.18
"112",381.178,-23.76
"113",381.551,-24.19
"114",381.925,-25.37
"115",382.299,-26.1
"116",382.672,-25.1
"117",383.046,-27.06
"118",383.42,-27.7
"119",383.793,-29.86
"120",384.167,-29.22
"121",384.54,-30.33
"122",384.914,-31.08
"123",385.287,-29.26
"124",385.66,-28.58
"125",386.034,-27.78
"126",386.407,-27.19
"127",386.78,-28.11
"128",387.154,-27.69
"129",387.527,-27.93
"130",387.9,-18.47
"131",388.273,-18.18
"132",388.646,-17.54
"133",389.019,-18.21
"134",389.392,-19.64
"135",389.765,-19.31
"136",390.138,-20.53
"137",390.511,-20.16
"138",390.884,-19.75
"139",391.257,-20.32
"140",391.63,-20.59
"141",392.003,-32.63
"142",392.375,-33.46
"143",392.748,-32.29
"144",393.121,-31.66
"145",393.493,-31.28
"146",393.866,-30.57
"147",394.239,-30.25
"148",394.611,-30.12
"149",394.984,-31.01
"150",395.356,-30.35
"151",395.729,-29.92
"152",396.101,-29.98
"153",396.473,-29.41
"154",396.846,-29.18
"155",397.218,-27.93
"156",397.59,-26.69
"157",397.963,-25.95
"158",398.335,-25
"159",398.707,-24.86
"160",399.079,-22.83
"161",399.451,-23.31
"162",399.823,-23.27
"163",400.195,-20.45
"164",400.567,-20.24
"165",400.939,-22.22
"166",401.311,-22.91
"167",401.683,-24.33
"168",402.055,-25.31
"169",402.427,-21.58
"170",402.799,-22.42
"171",403.17,-23.34
"172",403.542,-23.29
"173",403.914,-23.84
"174",404.285,-24.58
"175",404.657,-18.29
"176",405.029,-15.03
"177",405.4,-14.1
"178",405.772,-11.9
"179",406.143,-6.53
"180",406.514,-11.25
"181",406.886,-9.77
"182",407.257,0.58
"183",407.629,2.22
"184",408,3.28
"185",408.371,1.67
"186",408.742,-5.29
"187",409.114,-7.84
"188",409.485,-9.74
"189",409.856,-12.16
"190",410.227,-17.1
"191",410.598,-17.06
"192",410.969,-17.53
"193",411.34,-29.25
"194",411.711,-31.33
"195",412.082,-30.23
"196",412.453,-30.69
"197",412.824,-30.24
"198",413.194,-29.24
"199",413.565,-27.2
"200",413.936,-25.84
"201",414.307,-27.61
"202",414.677,-28.41
"203",415.048,-27.76
"204",415.418,-27.43
"205",415.789,-26.78
"206",416.159,-28.06
"207",416.53,-26.39
"208",416.9,-27.49
"209",417.271,-27.89
"210",417.641,-28.47
"211",418.012,-29.62
"212",418.382,-28.65
"213",418.752,-27.08
"214",419.122,-27.76
"215",419.493,-27.58
"216",419.863,-27.27
"217",420.233,-27.82
"218",420.603,-28.67
"219",420.973,-27.21
"220",421.343,-27.96
"221",421.713,-28.16
"222",422.083,-28.58
"223",422.453,-26.81
"224",422.823,-27.29
"225",423.193,-27.73
"226",423.562,-27.98
"227",423.932,-27.3
"228",424.302,-26.87
"229",424.672,-27.17
"230",425.041,-28.63
"231",425.411,-28.43
"232",425.78,-28.11
"233",426.15,-27.79
"234",426.52,-29.94
"235",426.889,-31.2
"236",427.258,-30.66
"237",427.628,-29.86
"238",427.997,-29.94
"239",428.367,-26.61
"240",428.736,-26.25
"241",429.105,-22.27
"242",429.474,-21.36
"243",429.844,-20.66
"244",430.213,-20.38
"245",430.582,-20.6
"246",430.951,-19.68
"247",431.32,-19.26
"248",431.689,-19.87
"249",432.058,-19.93
"250",432.427,-21.07
"251",432.796,-15.36
"252",433.165,-17.65
"253",433.534,-18.46
"254",433.902,-18.39
"255",434.271,-17.1
"256",434.64,-16.73
"257",435.009,-16.41
"258",435.377,-16.13
"259",435.746,-15.4
"260",436.114,-15.26
"261",436.483,-17.86
"262",436.852,-23.58
"263",437.22,-24.57
"264",437.588,-23.7
"265",437.957,-24.62
"266",438.325,-25.68
"267",438.694,-22.95
"268",439.062,-22.69
"269",439.43,-24.01
"270",439.798,-23.6
"271",440.166,-25.1
"272",440.535,-24.39
"273",440.903,-24.66
"274",441.271,-25.3
"275",441.639,-24.38
"276",442.007,-25.1
"277",442.375,-23.72
"278",442.743,-26.67
"279",443.111,-27.7
"280",443.479,-27.57
