"","wave","value"
"1",339.483,-24.71
"2",339.86,-21.58
"3",340.237,-18.13
"4",340.615,-15.02
"5",340.992,-12.6
"6",341.37,-10.11
"7",341.747,-6.06
"8",342.124,-1.78
"9",342.501,2.23
"10",342.878,4.87
"11",343.256,6.72
"12",343.633,7.36
"13",344.01,7.54
"14",344.387,6.65
"15",344.764,5.21
"16",345.141,3.52
"17",345.518,1.08
"18",345.895,-1.05
"19",346.272,-3.77
"20",346.649,-6.49
"21",347.025,-7.62
"22",347.402,-10.19
"23",347.779,-12.75
"24",348.156,-15.21
"25",348.532,-17.27
"26",348.909,-19.24
"27",349.286,-21.18
"28",349.662,-23.03
"29",350.039,-25.04
"30",350.415,-24.77
"31",350.792,-25.8
"32",351.168,-28.25
"33",351.545,-28.91
"34",351.921,-29.72
"35",352.297,-30.28
"36",352.674,-30.98
"37",353.05,-31.75
"38",353.426,-32.09
"39",353.803,-32.32
"40",354.179,-32.4
"41",354.555,-33.79
"42",354.931,-33.91
"43",355.307,-33.76
"44",355.683,-33.55
"45",356.059,-33
"46",356.435,-32.92
"47",356.811,-33.13
"48",357.187,-32.48
"49",357.563,-32.47
"50",357.939,-32.27
"51",358.315,-31.78
"52",358.691,-31.94
"53",359.066,-31.35
"54",359.442,-31.61
"55",359.818,-31.77
"56",360.194,-32.1
"57",360.569,-31.84
"58",360.945,-31.28
"59",361.32,-31.72
"60",361.696,-31.4
"61",362.071,-31.15
"62",362.447,-31.63
"63",362.822,-31.64
"64",363.198,-32.29
"65",363.573,-31.92
"66",363.948,-31.86
"67",364.324,-31.79
"68",364.699,-31.93
"69",365.074,-31.03
"70",365.449,-30.78
"71",365.825,-30.71
"72",366.2,-30.69
"73",366.575,-30.57
"74",366.95,-30.77
"75",367.325,-30.54
"76",367.7,-30.55
"77",368.075,-30.76
"78",368.45,-30.67
"79",368.825,-30.79
"80",369.2,-31.42
"81",369.575,-31.44
"82",369.949,-31.42
"83",370.324,-31.28
"84",370.699,-31.07
"85",371.074,-30.86
"86",371.448,-31.22
"87",371.823,-31.08
"88",372.197,-30.95
"89",372.572,-31.01
"90",372.947,-30.78
"91",373.321,-31.42
"92",373.695,-31.58
"93",374.07,-31.85
"94",374.444,-30.48
"95",374.819,-30.25
"96",375.193,-30.24
"97",375.567,-29.88
"98",375.942,-30.21
"99",376.316,-30.15
"100",376.69,-30.35
"101",377.064,-29.82
"102",377.438,-29.64
"103",377.812,-29.34
"104",378.186,-29.23
"105",378.56,-31.06
"106",378.934,-31.04
"107",379.308,-30.95
"108",379.682,-30.34
"109",380.056,-30.12
"110",380.43,-29.98
"111",380.804,-29.58
"112",381.178,-30.4
"113",381.551,-30.41
"114",381.925,-30.46
"115",382.299,-30.59
"116",382.672,-30.27
"117",383.046,-30.53
"118",383.42,-30.64
"119",383.793,-31.08
"120",384.167,-31.12
"121",384.54,-31.41
"122",384.914,-31.55
"123",385.287,-31.04
"124",385.66,-31.01
"125",386.034,-30.89
"126",386.407,-30.81
"127",386.78,-30.99
"128",387.154,-30.85
"129",387.527,-30.89
"130",387.9,-27.7
"131",388.273,-27.45
"132",388.646,-27.44
"133",389.019,-27.43
"134",389.392,-27.67
"135",389.765,-27.32
"136",390.138,-27.42
"137",390.511,-27.43
"138",390.884,-27.2
"139",391.257,-27.26
"140",391.63,-27.3
"141",392.003,-30.87
"142",392.375,-30.97
"143",392.748,-30.54
"144",393.121,-30.69
"145",393.493,-30.73
"146",393.866,-30.9
"147",394.239,-30.94
"148",394.611,-30.82
"149",394.984,-31.02
"150",395.356,-31.01
"151",395.729,-30.86
"152",396.101,-30.86
"153",396.473,-30.88
"154",396.846,-30.94
"155",397.218,-30.65
"156",397.59,-30.39
"157",397.963,-30.14
"158",398.335,-29.91
"159",398.707,-29.87
"160",399.079,-29.46
"161",399.451,-29.63
"162",399.823,-29.69
"163",400.195,-29.2
"164",400.567,-29.24
"165",400.939,-29.65
"166",401.311,-29.87
"167",401.683,-29.93
"168",402.055,-30.04
"169",402.427,-29.31
"170",402.799,-29.58
"171",403.17,-29.96
"172",403.542,-29.87
"173",403.914,-29.86
"174",404.285,-30.09
"175",404.657,-29.13
"176",405.029,-28.7
"177",405.4,-28.39
"178",405.772,-28.33
"179",406.143,-27.34
"180",406.514,-28.51
"181",406.886,-28.03
"182",407.257,-23.46
"183",407.629,-23.06
"184",408,-23.02
"185",408.371,-23.07
"186",408.742,-23.96
"187",409.114,-24.27
"188",409.485,-24.71
"189",409.856,-25.24
"190",410.227,-26.29
"191",410.598,-26.13
"192",410.969,-26.33
"193",411.34,-30.99
"194",411.711,-31.45
"195",412.082,-31.13
"196",412.453,-31.33
"197",412.824,-31.32
"198",413.194,-31.15
"199",413.565,-30.74
"200",413.936,-30.33
"201",414.307,-30.65
"202",414.677,-30.77
"203",415.048,-30.77
"204",415.418,-30.71
"205",415.789,-30.46
"206",416.159,-30.65
"207",416.53,-30.32
"208",416.9,-30.6
"209",417.271,-30.61
"210",417.641,-30.74
"211",418.012,-30.98
"212",418.382,-30.7
"213",418.752,-30.38
"214",419.122,-30.32
"215",419.493,-30.28
"216",419.863,-30.26
"217",420.233,-30.6
"218",420.603,-30.69
"219",420.973,-30.46
"220",421.343,-30.62
"221",421.713,-30.55
"222",422.083,-30.56
"223",422.453,-30.4
"224",422.823,-30.7
"225",423.193,-30.87
"226",423.562,-31.15
"227",423.932,-31.13
"228",424.302,-30.89
"229",424.672,-31.02
"230",425.041,-31.12
"231",425.411,-31.2
"232",425.78,-31.19
"233",426.15,-31.11
"234",426.52,-31.37
"235",426.889,-31.43
"236",427.258,-31.38
"237",427.628,-31.14
"238",427.997,-31.2
"239",428.367,-30.77
"240",428.736,-30.77
"241",429.105,-30.32
"242",429.474,-30.04
"243",429.844,-30.11
"244",430.213,-30.14
"245",430.582,-30.09
"246",430.951,-29.96
"247",431.32,-29.71
"248",431.689,-29.74
"249",432.058,-29.73
"250",432.427,-29.96
"251",432.796,-28.93
"252",433.165,-29.19
"253",433.534,-29.21
"254",433.902,-28.98
"255",434.271,-28.76
"256",434.64,-28.74
"257",435.009,-28.54
"258",435.377,-28.59
"259",435.746,-28.52
"260",436.114,-28.42
"261",436.483,-28.79
"262",436.852,-29.93
"263",437.22,-30.05
"264",437.588,-29.89
"265",437.957,-30.12
"266",438.325,-30.22
"267",438.694,-29.72
"268",439.062,-29.77
"269",439.43,-30.07
"270",439.798,-29.84
"271",440.166,-30.04
"272",440.535,-29.98
"273",440.903,-29.78
"274",441.271,-29.84
"275",441.639,-29.8
"276",442.007,-29.95
"277",442.375,-29.79
"278",442.743,-30.4
"279",443.111,-30.64
"280",443.479,-30.66
"281",443.846,-30.78
"282",444.214,-30.53
"283",444.582,-30.47
"284",444.95,-30.5
"285",445.317,-30.35
"286",445.685,-30.63
"287",446.052,-30.03
"288",446.42,-30.18
"289",446.788,-30.29
"290",447.155,-30.06
"291",447.523,-29.87
"292",447.89,-29.49
"293",448.257,-29.62
"294",448.625,-29.54
"295",448.992,-29.58
"296",449.359,-29.55
"297",449.726,-29.36
"298",450.094,-29.63
"299",450.461,-29.44
"300",450.828,-29.22
"301",451.195,-29.17
"302",451.562,-29.04
"303",451.929,-29.32
"304",452.296,-27.05
"305",452.663,-26.7
"306",453.03,-26.34
"307",453.397,-26.51
"308",453.764,-26.64
"309",454.13,-26.31
"310",454.497,-26.28
"311",454.864,-26.24
"312",455.231,-26.4
"313",455.597,-26.53
"314",455.964,-26.53
"315",456.33,-28.71
"316",456.697,-29.22
"317",457.063,-29.65
"318",457.43,-29.89
"319",457.796,-28.92
"320",458.163,-29.41
"321",458.529,-29.31
"322",458.895,-29.19
"323",459.262,-29.1
"324",459.628,-29.3
"325",459.994,-29.3
"326",460.36,-29.37
"327",460.726,-29.51
"328",461.092,-29.22
"329",461.458,-29.08
"330",461.824,-30
"331",462.19,-29.85
"332",462.556,-30.25
"333",462.922,-30.14
"334",463.288,-30.03
"335",463.654,-29.51
"336",464.02,-29.62
"337",464.385,-29.56
"338",464.751,-29.43
"339",465.117,-29.43
"340",465.482,-29.39
"341",465.848,-29.55
"342",466.214,-29.77
"343",466.579,-29.32
"344",466.945,-29.73
"345",467.31,-29.84
"346",467.675,-30.28
"347",468.041,-30.45
"348",468.406,-30.61
"349",468.772,-30.48
"350",469.137,-30.62
"351",469.502,-30.41
"352",469.867,-30.05
"353",470.232,-29.67
"354",470.597,-30.32
"355",470.963,-30.1
"356",471.328,-29.98
"357",471.693,-29.26
"358",472.058,-28.81
"359",472.422,-28.62
"360",472.787,-28.47
"361",473.152,-28.11
"362",473.517,-28.11
"363",473.882,-28.3
"364",474.246,-28.61
"365",474.611,-28.6
"366",474.976,-28.75
"367",475.34,-28.93
"368",475.705,-29.58
"369",476.07,-29.89
"370",476.434,-29.83
"371",476.799,-29.75
"372",477.163,-29.83
"373",477.527,-29.9
"374",477.892,-29.46
"375",478.256,-29.36
"376",478.62,-29.12
"377",478.985,-28.97
"378",479.349,-28.78
"379",479.713,-28.1
"380",480.077,-27.77
"381",480.441,-27.7
"382",480.805,-28.01
"383",481.169,-28.13
"384",481.533,-27.93
"385",481.897,-28.31
"386",482.261,-28.33
"387",482.625,-28.26
"388",482.989,-28.39
"389",483.353,-28.28
"390",483.716,-28.88
"391",484.08,-29.17
"392",484.444,-29.14
"393",484.807,-29.2
"394",485.171,-29.15
"395",485.534,-29.32
"396",485.898,-28.85
"397",486.261,-28.97
"398",486.625,-29.03
"399",486.988,-28.88
"400",487.352,-28.83
"401",487.715,-28.7
"402",488.078,-25.59
"403",488.442,-25.52
"404",488.805,-25.26
"405",489.168,-25.32
"406",489.531,-25.43
"407",489.894,-25.39
"408",490.257,-25.19
"409",490.62,-23.7
"410",490.983,-23.46
"411",491.346,-23.65
"412",491.709,-23.81
"413",492.072,-26.68
"414",492.435,-26.73
"415",492.798,-26.67
"416",493.16,-26.12
"417",493.523,-25.68
"418",493.886,-26.36
"419",494.248,-26.41
"420",494.611,-27.85
"421",494.973,-28.04
"422",495.336,-28.02
"423",495.698,-28
"424",496.061,-28.22
"425",496.423,-28.45
"426",496.786,-28.12
"427",497.148,-28.79
"428",497.51,-29.19
"429",497.873,-28.83
"430",498.235,-28.61
"431",498.597,-28.61
"432",498.959,-28.36
"433",499.321,-28.44
"434",499.683,-28.14
"435",500.045,-27.24
"436",500.407,-27.24
"437",500.769,-27.67
"438",501.131,-27.52
"439",501.493,-27.26
"440",501.855,-27.25
"441",502.217,-27.34
"442",502.578,-27.22
"443",502.94,-27.65
"444",503.302,-27.72
"445",503.663,-27.8
"446",504.025,-28.49
"447",504.386,-28.4
"448",504.748,-28.29
"449",505.109,-28.45
"450",505.471,-28.75
"451",505.832,-29.02
"452",506.194,-29.05
"453",506.555,-28.89
"454",506.916,-28.84
"455",507.277,-28.61
"456",507.639,-28.74
"457",508,-28.34
"458",508.361,-28.14
"459",508.722,-28.22
"460",509.083,-28.02
"461",509.444,-27.82
"462",509.805,-27.54
"463",510.166,-27.65
"464",510.527,-27.48
"465",510.888,-27.32
"466",511.248,-27.24
"467",511.609,-27.05
"468",511.97,-27.52
"469",512.331,-27.63
"470",512.691,-27.36
"471",513.052,-27.22
"472",513.412,-27.09
"473",513.773,-27.11
"474",514.133,-26.82
"475",514.494,-26.91
"476",514.854,-26.83
"477",515.215,-26.7
"478",515.575,-26.9
"479",515.935,-25.81
"480",516.296,-25.81
"481",516.656,-25.99
"482",517.016,-25.63
"483",517.376,-25.77
"484",517.736,-25.87
"485",518.096,-25.68
"486",518.456,-25.78
"487",518.816,-25.59
"488",519.176,-25.33
"489",519.536,-24.74
"490",519.896,-25.3
"491",520.256,-25.16
"492",520.616,-24.82
"493",520.975,-24.8
"494",521.335,-24.52
"495",521.695,-23.62
"496",522.054,-23.67
"497",522.414,-23.42
"498",522.773,-23.25
"499",523.133,-23.47
"500",523.492,-23.39
"501",523.852,-23.06
"502",524.211,-22.62
"503",524.571,-22.62
"504",524.93,-22.9
"505",525.289,-21.66
"506",525.648,-21.9
"507",526.007,-21.99
"508",526.367,-21.68
"509",526.726,-21.2
"510",527.085,-20.94
"511",527.444,-21.06
"512",527.803,-21.35
"513",528.162,-21.6
"514",528.521,-21.75
"515",528.88,-21.64
"516",529.238,-22.85
"517",529.597,-23.2
"518",529.956,-22.99
"519",530.315,-23.21
"520",530.673,-23.66
"521",531.032,-23.38
"522",531.39,-23.1
"523",531.749,-23.18
"524",532.107,-23.2
"525",532.466,-23.08
"526",532.824,-21.68
"527",533.183,-21.24
"528",533.541,-20.95
"529",533.899,-21.12
"530",534.258,-20.64
